브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
방콕익스프레스,(주)와이에스에프엔비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
헬로베트남 쌀국수,디티푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
우마이라무,에이비씨팜(ABCFARM),0,0,0,0,0,"0
(0.00)","0
(0.00)"
배달의쌀국수,바음푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
홍대쌀국수,홍대쌀국수,0,0,0,0,0,"0
(0.00)","0
(0.00)"
보나끼,(주)어니스트초이스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
왕가탕후루,(주)제니하우스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
마스터쌀국수,무지네생선,0,0,0,0,0,"0
(0.00)","0
(0.00)"
샌드위밋,(주)존쿡,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아경면선,(주)퀴클리코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아로이타이(AroiThai),아로이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
포베이,(주)포베이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
chefdog,(주)디에이치그룹,0,0,0,0,0,"0
(0.00)","0
(0.00)"
싸와디식당,(주)위드런,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스테이크어스,(주)이랜드이츠,0,0,0,0,0,"0
(0.00)","0
(0.00)"
핵밥,㈜핵가족,0,0,0,0,0,"0
(0.00)","0
(0.00)"
게이트나인(GATE9),(주)게이트에프앤비,0,0,0,1,0,"0
(0.00)","0
(0.00)"
타코맨,인터베이스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
뎁짜이,(주)엔씨코리아푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
트로이카 (TROIKA),트로이카,0,0,0,0,0,"0
(0.00)","0
(0.00)"
벱비엣(BEPVIET),(주)벱비엣,0,0,0,0,0,"0
(0.00)","0
(0.00)"
존쿡델리미트,㈜존쿡,0,0,0,0,0,"0
(0.00)","0
(0.00)"
포센,(주)엘에이치지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오늘은카레,(주)샵인샵딜리버리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
돈부리 파스타,(주)에디블,0,0,0,0,0,"0
(0.00)","0
(0.00)"
크래프트브루,크래프트브루(CRAFTBREW),0,0,0,0,0,"0
(0.00)","0
(0.00)"
63도카츠,㈜하나컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
신머이,신머이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
겟커리인타이,그레야마더지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
퍼틴(phothin),(주)퍼틴코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
포슈아,네모푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
망고오믈렛,(주)에버리치에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
컴포(co'm PHO),컴포,0,0,0,0,0,"0
(0.00)","0
(0.00)"
