브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
와플킹,(주)서래스터,1,0,0,2,0,"0
(0.00)","0
(0.00)"
바른식빵,(주)바른식빵,1,0,0,0,0,"0
(0.00)","0
(0.00)"
권실장 참마 찹쌀 꽈배기,케이스푸드,1,0,0,0,0,"0
(0.00)","0
(0.00)"
라베또,주식회사 라베또,0,0,0,0,0,"0
(0.00)","0
(0.00)"
천안명물호도원,(주)호도원,0,0,0,0,0,"0
(0.00)","0
(0.00)"
케이크만들기단하나(DANHANA),(주)파티시에,0,0,0,0,0,"0
(0.00)","0
(0.00)"
베이커스필드,(주)베이커스필드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
도담도담식빵,도담도담플랜,0,0,0,0,0,"0
(0.00)","0
(0.00)"
베이크스토리,(주)스토리뱅크,0,0,0,0,0,"0
(0.00)","0
(0.00)"
슈케익하우스(Chou Cake House),슈케익하우스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
꽈배기마법사,(주)부광,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쁘띠렌,(주)파티시에,0,0,0,0,0,"0
(0.00)","0
(0.00)"
반월당고로케,(주)반고푸드시스템,0,0,0,0,0,"0
(0.00)","0
(0.00)"
꽈쉑,(주)쉐프진,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아우어베이커리(OUR Bakery),(주)씨앤피베이커리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
Wetzel's Pretzels(웻즐스프레즐),(주)낙산에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
위드파오(WITH PAO),(주)행복생활건강,0,0,0,1,0,"0
(0.00)","0
(0.00)"
내가만든미케익,케익타르트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
그여행(B.H.F.H),그여행(B.H.F.H),0,0,0,0,0,"0
(0.00)","0
(0.00)"
버거스페이스(BURGER SPACE),(주)비에스그룹,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에그몬(EGGMON),(주)에이지리테일,0,0,0,0,0,"0
(0.00)","0
(0.00)"
더베리와플,더베리와플,0,0,0,0,0,"0
(0.00)","0
(0.00)"
메리안나,메리안나,0,0,0,0,0,"0
(0.00)","0
(0.00)"
한나식빵,디에이치컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
METEOR(메테오),디에이치컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
팔래스도우넛,(주)팔래스코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
도너츠윤,도너츠윤가맹사업본부,0,0,0,0,0,"0
(0.00)","0
(0.00)"
라라브레드,(주)라라브레드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
이화당,(주)엘에이치지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
뺵다방베이커리,(주)더본코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
크로와플,제이에스푸드(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
박사단팥빵,(주)중안,0,0,0,0,0,"0
(0.00)","0
(0.00)"
서울도넛츠,(주)천운컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
사람과 연근,농업회사법인㈜사람과연근플러스자연,0,0,0,0,0,"0
(0.00)","0
(0.00)"
호두당,(주)그린문컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
더 베이커스 가든(The Baker's Garden),(주)올앤컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
뜰방네 효소 꽈배기,올리고(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
청담동꿀꽈배기,(주)에이치앤디,0,0,0,0,0,"0
(0.00)","0
(0.00)"
도넛킬러,㈜도넛킬러,0,0,0,0,0,"0
(0.00)","0
(0.00)"
79파운야드(79 FOUNYARD),(주)에이알피에프엔비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
타르데마(TARDEMAH)베이커리,(주)하코카빔,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쏠뱅(SOLVANG),(주)쏠뱅,0,0,0,0,0,"0
(0.00)","0
(0.00)"
더브라운,(주)프리스코,0,0,0,0,0,"0
(0.00)","0
(0.00)"
삼송빵집,(주)삼송비엔씨(BNC),0,0,0,0,0,"0
(0.00)","0
(0.00)"
더착한베이커리카페,(주)정명에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
티니호박,티니호박,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스윗디저트카페루시카토,(주)루시카토,0,0,0,1,0,"0
(0.00)","0
(0.00)"
행복한찹쌀,정이당,0,0,0,0,0,"0
(0.00)","0
(0.00)"
