브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
레꼬마 피자&타코,레꼬마피자,9,9,0,0,0,"0
(0.00)","0
(0.00)"
화덕피자 파숑,(주)열정과배려,8,0,0,4,1,"97,935
(0.42)","5,318
(0.02)"
미사랑임실치즈피자,(주)세인에프앤씨,8,0,2,0,1,"57,819
(0.25)","4,176
(0.02)"
낙원스낵,(주)낙원그룹,8,1,0,1,0,"378,630
(1.63)","19,982
(0.09)"
피자닷,피자닷,8,8,0,0,0,"178,681
(0.77)","8,784
(0.04)"
엘리펀트피자(ELEPHANT PIZZA),엘리펀트피자,7,3,0,0,0,"256,187
(1.11)","18,787
(0.08)"
PIZZA BOX(피자박스),피자박스,7,3,0,1,0,"322,286
(1.39)","28,590
(0.12)"
맥주를구한피자,맥주를구한피자전포직영점,7,7,0,0,0,"0
(0.00)","0
(0.00)"
피스타키친(PISTAR KITCHEN),피스타키친(PISTARKITCHEN),6,6,0,0,0,"176,000
(0.76)","13,200
(0.06)"
Port' Albs 피자굼터,(주)멀티푸드시스템,6,0,0,2,0,"70,217
(0.30)","7,081
(0.03)"
피자몰,(주)이랜드이츠,6,0,0,1,0,"473,914
(2.04)","11,489
(0.05)"
올스타피자,올스타피자,5,5,0,0,2,"0
(0.00)","0
(0.00)"
1830피자,1830피자협동조합,5,1,0,0,0,"194,673
(0.84)","8,769
(0.04)"
나루에프엔비톰스(나루F&B톰스),나루에프엔비,5,0,2,0,0,"121,023
(0.52)","8,139
(0.04)"
피자인,피자인,5,5,0,0,0,"0
(0.00)","0
(0.00)"
헬로피자,헬로F&B,4,2,0,0,0,"0
(0.00)","0
(0.00)"
닭쟁이 피자쟁이,제이제이푸드,4,0,0,0,0,"0
(0.00)","0
(0.00)"
윤검푸드 봉수아피자,(주)윤검푸드,4,4,0,0,0,"0
(0.00)","0
(0.00)"
피자네버슬립스,피자네버슬립스,3,3,0,0,0,"0
(0.00)","0
(0.00)"
피자야,피자야,3,3,0,0,0,"0
(0.00)","0
(0.00)"
왕손피자,(주)왕손,3,3,0,0,0,"0
(0.00)","0
(0.00)"
하이스트피자,하이스트피자,3,3,0,0,0,"0
(0.00)","0
(0.00)"
꼬꼬번피자&치킨,에스에스엠코리아체인사업부,3,3,0,0,0,"0
(0.00)","0
(0.00)"
피자 마켓 컴퍼니(pizza market company),피자마켓컴패니(PIZZAMARKETCOMPANY),3,3,0,0,0,"0
(0.00)","0
(0.00)"
인앤피자,(주)훌랄라,3,3,0,0,0,"0
(0.00)","0
(0.00)"
피자와치킨,(주)바이올푸드글로벌,2,2,0,0,0,"0
(0.00)","0
(0.00)"
블랙캡피자,블랙캡컴퍼니,2,2,0,0,0,"0
(0.00)","0
(0.00)"
피자메카,피자메카컴퍼스,2,2,0,0,0,"0
(0.00)","0
(0.00)"
꾸버스피자,꾸버스피자,2,2,0,0,0,"0
(0.00)","0
(0.00)"
브로스피자&파스타,브로스피자&파스타본사,2,2,0,0,0,"0
(0.00)","0
(0.00)"
치즈쇼피자,스카이하이(주),1,1,0,0,0,"0
(0.00)","0
(0.00)"
900달러,900달러,1,0,0,1,1,"0
(0.00)","0
(0.00)"
피자네플러스,다인에프씨(주),1,1,0,0,0,"0
(0.00)","0
(0.00)"
피자시대,(주)시대푸드,1,1,0,0,0,"0
(0.00)","0
(0.00)"
시그널피자,시그널피자,1,1,0,0,0,"0
(0.00)","0
(0.00)"
BIGZZA(빅짜),㈜제이유코리아,1,0,0,0,0,"0
(0.00)","0
(0.00)"
오즈앙,오즈앙피자청주점,1,1,0,0,0,"0
(0.00)","0
(0.00)"
피맥하우스(PIMAc HOUSE New York Style Pizza Pub),㈜오엠케이컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
덤덤뉴욕스타일(DUM DUM New York Style),덤덤피자,0,0,0,0,0,"0
(0.00)","0
(0.00)"
수앤미피자,수앤미피자,0,0,0,0,0,"0
(0.00)","0
(0.00)"
서오릉피자,서오릉피자,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피자꾼,피자꾼,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쌀로만피자,쌀로만피자,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피자오래,피자오래,0,0,0,0,0,"0
(0.00)","0
(0.00)"
청년피자,청년피자가맹본부,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피자엠소마,JK푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
파파밸리피자,(주)파파밸리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
낭만피자,㈜에스엠푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
핏제리아오,(주)희스토리푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바이 더 피자 앤 치킨,54번가푸드컨설팅,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피자어셈블,한결푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
땡스피자,(주)땡스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피제리아 라르도,라르도,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피자앰플러,승탁푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
청년피자 EXPRESS,청년피자가맹본부,0,0,0,0,0,"0
(0.00)","0
(0.00)"
Crew Pizza(크루피자),크루피자,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피자투어,54번가푸드컨설팅,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피자이탈리,피자이탈리가맹사업본부,0,0,0,0,0,"0
(0.00)","0
(0.00)"
굿바이브(GOOD VIBE),굿바이브,0,0,0,0,0,"0
(0.00)","0
(0.00)"
한명숙피자치킨,"한명숙피자,치킨",0,0,0,0,0,"0
(0.00)","0
(0.00)"
마스터 피자쏭,피자쏭,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피자팬팬,피자팬팬,0,0,0,0,0,"0
(0.00)","0
(0.00)"
AMERICAN PIZZA(아메리칸피자),(주)복스아메리칸피자,0,0,0,0,0,"0
(0.00)","0
(0.00)"
