브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
공화춘,(주)디딤,0,0,0,0,0,"0
(0.00)","0
(0.00)"
짬뽕빡쓰,모란푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
우리밀동우,(유)우리밀동우,0,0,0,0,0,"0
(0.00)","0
(0.00)"
찐짬뽕&찐코야,(주)더함코리아에프씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
츠츠허허,(주)디딤,0,0,0,0,0,"0
(0.00)","0
(0.00)"
조선짬뽕,(유)케이앤에스오로지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
마라공방,에이치와이코리아(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
라홍방 마라탕,(주)라홍에프엔비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
루이팡,(주)인생에프엔비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
뽕사부,(주)뽕사부컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
대기만성,(주)대기만성홀딩스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
미래식부,(주)미래글로벌코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
장가게 튀김료리집,(주)대한비앤에프,0,0,0,0,0,"0
(0.00)","0
(0.00)"
콰이찬,(주)콰이찬,0,0,0,0,0,"0
(0.00)","0
(0.00)"
신차이,(주)유방녕,0,0,0,0,0,"0
(0.00)","0
(0.00)"
미스터 향,(주)에이치에스푸드컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
짜짜왕,(주)훌랄라,0,0,0,0,0,"0
(0.00)","0
(0.00)"
서울마라,서울마라,0,0,0,0,0,"0
(0.00)","0
(0.00)"
호야짬뽕1650,바른창업연구소,0,0,0,0,0,"0
(0.00)","0
(0.00)"
탕수육본능,(주)놀부,0,0,0,0,0,"0
(0.00)","0
(0.00)"
천상마라탕,천상유통,0,0,0,0,0,"0
(0.00)","0
(0.00)"
만추,(주)유방녕,0,0,0,0,0,"0
(0.00)","0
(0.00)"
명장반점,(주)유방녕,0,0,0,0,0,"0
(0.00)","0
(0.00)"
짬뽕갑,짬뽕갑,0,0,0,0,0,"0
(0.00)","0
(0.00)"
용오름짬뽕전문,(주)케이에프씨앤씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
마라하오,(주)훠궈하오,0,0,0,0,0,"0
(0.00)","0
(0.00)"
백미원,(주)서서가,0,0,0,0,0,"0
(0.00)","0
(0.00)"
장인반점,장인,0,0,0,0,0,"0
(0.00)","0
(0.00)"
삐싱궈,(주)음식생각,0,0,0,0,0,"0
(0.00)","0
(0.00)"
밀포유 in 차이나,밀포유,0,0,0,0,0,"0
(0.00)","0
(0.00)"
