브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
대동,(유)대동상회,80,35,0,3,4,"394,530
(1.02)","14,630
(0.04)"
불막열삼,(주)꿈을실현하는사람들,79,14,0,7,3,"208,789
(0.54)","8,297
(0.02)"
돈통마늘보쌈,(주)코리아푸딩,77,6,9,0,6,"315,111
(0.81)","30,377
(0.08)"
꽃마름,(주)에스에프에프에스,77,4,0,11,5,"719,619
(1.86)","6,889
(0.02)"
THE진국,(주)섬김과나눔,76,21,1,9,7,"452,088
(1.17)","14,754
(0.04)"
맛나감자탕,리브가푸드시스템(주),76,3,0,2,1,"516,581
(1.33)","6,169
(0.02)"
한끼한죽,우수한형제들,76,77,0,1,0,"0
(0.00)","0
(0.00)"
김충기꽃삼겹,로드다이닝(주),72,46,0,11,10,"157,994
(0.41)","12,176
(0.03)"
유가네 한우곰탕,(주)유가네,72,34,0,19,0,"117,425
(0.30)","11,945
(0.03)"
마통삼(마스터통삼겹),지에이치컴퍼니,71,39,4,6,2,"168,369
(0.43)","7,633
(0.02)"
방일해장국,(주)방일에프씨,70,1,0,4,4,"204,563
(0.53)","5,067
(0.01)"
남다른감자탕(男다른감子탕),(주)보하라,70,4,0,10,5,"631,245
(1.63)","8,557
(0.02)"
지호한방삼계탕,(주)지호,68,6,0,2,5,"413,563
(1.07)","8,981
(0.02)"
원플러스원 찌개&볶음,할매손집밥,67,79,0,12,2,"11,368
(0.03)","598
(0.00)"
진배기 원조할매국밥,진배기,65,0,5,0,0,"283,061
(0.73)","7,431
(0.02)"
참이맛감자탕,(주)참이맛,63,5,12,2,10,"454,055
(1.17)","9,660
(0.02)"
차돌풍,농부의마음,62,36,0,6,0,"679,720
(1.75)","19,413
(0.05)"
북창동순두부,(주)디코레,62,3,2,1,7,"449,761
(1.16)","11,738
(0.03)"
엉터리생고기,(주)엉터리,61,0,0,10,3,"613,348
(1.58)","11,759
(0.03)"
밥통령,(주)미식주,60,30,0,8,2,"98,387
(0.25)","2,599
(0.01)"
5.5닭갈비,(주)오점오,60,4,0,3,2,"73,164
(0.19)","1,910
(0.00)"
누리마을감자탕,(주)영일유통,59,0,0,6,8,"341,071
(0.88)","3,410
(0.01)"
고집센그집갈비탕,그집푸드,58,14,0,3,5,"419,137
(1.08)","12,841
(0.03)"
한방전주콩나물국밥,(주)한사랑푸드,58,3,0,0,0,"398,355
(1.03)","12,095
(0.03)"
자성화 맛집 코다리네,(주)자성화,58,23,0,10,5,"504,031
(1.30)","11,151
(0.03)"
자연정가 양평해장국,(유)전라도푸드에프앤씨,57,6,0,6,9,"423,790
(1.09)","8,137
(0.02)"
굿맘할매순대국&양선지해장국,(주)인화티에프에스,56,7,0,7,4,"367,974
(0.95)","15,336
(0.04)"
빚은,(주)에스피씨삼립,55,5,0,15,2,"173,369
(0.45)","100,578
(0.26)"
홍익궁중전통육개장,(주)홍익푸드,55,4,6,9,3,"363,090
(0.94)","8,137
(0.02)"
조선화로집,(주)이바돔,55,41,0,5,3,"1,421,451
(3.67)","11,226
(0.03)"
임창정의 모서리족발,(주)예스아이엠에프앤비,55,52,0,5,2,"378,467
(0.98)","11,807
(0.03)"
바우네 나주곰탕,(주)엠지에이치,53,18,17,0,9,"281,883
(0.73)","9,162
(0.02)"
갈통삼,(주)드림위드에프씨,53,30,3,4,2,"186,212
(0.48)","11,606
(0.03)"
"고기,원칙",(주)반반한행복,52,35,0,1,0,"470,886
(1.21)","13,979
(0.04)"
명동칼국수샤브샤브,(주)명동,52,5,11,0,4,"335,186
(0.86)","7,710
(0.02)"
오복미역,(주)오복푸드,52,4,4,6,2,"541,683
(1.40)","10,230
(0.03)"
시루향기,(주)향기나는사람들,51,0,0,13,2,"393,211
(1.01)","10,485
(0.03)"
돈가네김치찌개,(주)에프앤씨돈가네,50,2,0,0,0,"0
(0.00)","0
(0.00)"
삼겹파티,(주)엠지에이치,50,1,0,9,6,"250,617
(0.65)","7,586
(0.02)"
배달삼겹직구삼,(주)모두여는세상,50,20,0,5,0,"399,627
(1.03)","34,931
(0.09)"
울엄마 양평해장국,(주)울엄마푸드,49,6,0,14,0,"333,739
(0.86)","7,707
(0.02)"
옥이네김치찌개와직화삼겹,(주)엔티,49,49,0,0,0,"25,425
(0.07)","2,213
(0.01)"
The 진한 나주곰탕 1인용,(주)비앤비몬스터푸드,49,57,0,8,5,"67,307
(0.17)","4,092
(0.01)"
쌈촌,(주)쌈촌패밀리,49,1,0,1,1,"286,798
(0.74)","4,735
(0.01)"
