브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
쌀통닭,(주)퐁텐,91,6,21,0,91,"172,419
(0.89)","10,662
(0.06)"
DK Chicken (디케이치킨),디케이팩토리(DKFACTORY),86,79,0,3,1,"198,937
(1.03)","14,107
(0.07)"
미쳐버린파닭,(주)수정,85,4,0,12,2,"103,652
(0.54)","5,222
(0.03)"
이춘봉인생치킨,(주)마스터아이디,83,48,0,5,5,"171,188
(0.89)","9,540
(0.05)"
치킨678,(주)육칠팔,80,0,0,29,7,"190,033
(0.98)","3,512
(0.02)"
브이에프씨치킨파티(VFC치킨파티),선진VFC,76,19,2,1,2,"82,929
(0.43)","6,892
(0.04)"
꼬꼬아찌,(주)세경에프앤비,75,2,0,27,15,"180,420
(0.93)","7,022
(0.04)"
경아두마리치킨,(주)다시만난사람들,72,26,0,12,10,"154,867
(0.80)","10,293
(0.05)"
치킨과 바람피자,치킨과바람피자,65,36,0,9,5,"254,014
(1.32)","12,602
(0.07)"
아웃닭,(주)테즈,64,9,0,0,2,"553,944
(2.87)","19,191
(0.10)"
못말리는파닭,(주)엠엔글로벌,62,3,18,0,0,"151,605
(0.79)","11,016
(0.06)"
8800켄터키치킨,(주)현인에프앤디,61,12,0,2,7,"218,658
(1.13)","10,456
(0.05)"
치킨뱅이,(주)원우푸드,60,0,0,5,0,"285,013
(1.48)","11,304
(0.06)"
전설의치킨,(주)시원전설의푸드,60,8,6,4,8,"165,538
(0.86)","10,525
(0.05)"
아주커,(주)에이에프씨코리아,57,3,0,8,2,"241,479
(1.25)","25,711
(0.13)"
종국이두마리치킨,종국이두마리치킨체인본부,56,4,5,4,3,"156,839
(0.81)","12,720
(0.07)"
허갈닭강정,(주)유성에프앤비,56,9,0,12,4,"82,338
(0.43)","7,819
(0.04)"
오늘통닭,(주)대현푸드빌,55,19,9,4,0,"220,328
(1.14)","8,474
(0.04)"
양계장집아들,(주)양계장집아들,55,8,0,10,4,"144,457
(0.75)","9,706
(0.05)"
만땅치킨,(주)서호에프앤비,54,17,0,13,0,"81,415
(0.42)","6,902
(0.04)"
림스치킨,림스상사,53,4,0,4,2,"83,123
(0.43)","4,132
(0.02)"
동근이숯불두마리치킨,동근이숯불두마리치킨,51,17,2,7,0,"241,231
(1.25)","17,099
(0.09)"
범프리카인생치킨,범프리카인생치킨,51,31,0,6,0,"314,520
(1.63)","24,950
(0.13)"
김스타치킨,김스타푸드,49,16,6,3,1,"208,524
(1.08)","9,291
(0.05)"
오태식해바라기치킨,(주)서호에프앤비,49,49,0,0,0,"79,966
(0.41)","0
(0.00)"
수상한탕수육,(주)채움푸드,49,2,0,45,3,"11,269
(0.06)","750
(0.00)"
Mr.짱닭치킨,내맘대로골라먹는맛있는짱닭치킨,48,6,0,6,3,"204,522
(1.06)","13,617
(0.07)"
놀부옛날통닭,(주)놀부,43,18,13,0,6,"113,330
(0.59)","7,299
(0.04)"
꾸브라꼬 숯불 두마리 치킨,제이케이유통,42,25,1,2,4,"274,658
(1.42)","20,403
(0.11)"
만년닭강정,(주)만년푸드,42,9,0,9,8,"147,377
(0.76)","10,485
(0.05)"
닭장수후라이드和,(주)주완푸드,40,14,0,0,2,"230,146
(1.19)","14,190
(0.07)"
계림원누릉지통닭구이,(주)동천에프앤비,40,16,0,7,1,"256,194
(1.33)","8,796
(0.05)"
사쿠사쿠,(주)계미락,37,1,4,3,4,"171,913
(0.89)","8,666
(0.04)"
오부장치킨,(주)본에스디코리아,37,5,0,3,4,"224,020
(1.16)","13,443
(0.07)"
진미대왕통닭,대왕통닭,37,24,0,1,0,"201,686
(1.04)","15,969
(0.08)"
추닭집,패밀리에프앤씨,36,25,0,2,3,"259,166
(1.34)","21,105
(0.11)"
씨에프숯불바베큐치킨,(주)씨에프,36,0,6,0,0,"53,252
(0.28)","4,221
(0.02)"
두리아,(주)두리아,35,2,0,15,2,"151,908
(0.79)","7,710
(0.04)"
본초불닭발,(주)미래원에프앤씨,35,10,16,1,0,"63,042
(0.33)","4,445
(0.02)"
큰통치킨,(주)태산유통,34,1,0,1,4,"51,029
(0.26)","3,472
(0.02)"
달봉이치킨,㈜달봉엔터프라이즈,34,27,2,5,4,"205,254
(1.06)","11,444
(0.06)"
조선의 옛날통닭,제이에프앤씨,34,2,3,1,3,"74,977
(0.39)","4,293
(0.02)"
봉구통닭,보고싶다(주),34,34,0,0,0,"0
(0.00)","0
(0.00)"
쌀쌀맞은닭,(주)바름,32,9,0,4,5,"173,002
(0.90)","7,268
(0.04)"
한앤둘치킨,(주)더콥,32,6,4,0,3,"184,048
(0.95)","24,006
(0.12)"
쭈노치킨가게,(주)쭈노에프앤비,32,3,0,9,1,"86,727
(0.45)","4,531
(0.02)"
야들리애,(주)제이케이글로벌,31,3,0,10,3,"203,884
(1.06)","9,775
(0.05)"
국제통닭,(주)국제에프씨,31,10,5,0,1,"185,356
(0.96)","9,129
(0.05)"
조커닭 (Jokerdark),(주)코코브릿지,31,29,0,0,0,"0
(0.00)","0
(0.00)"
치킨퐁,(주)비어프랜드,31,1,0,11,1,"246,834
(1.28)","6,750
(0.03)"
치킨멤버,닭촌축산,30,11,8,3,2,"112,394
(0.58)","7,239
(0.04)"
치순이통닭,엘제이유통(유),30,14,0,1,6,"138,278
(0.72)","6,172
(0.03)"
상문이두마리숯불양념치킨,푸드메이트,30,2,0,3,4,"137,117
(0.71)","6,945
(0.04)"
아이벗치킨,아이프랜드,30,9,0,3,4,"130,255
(0.67)","9,953
(0.05)"
DDC치킨,삼미유통,29,6,1,6,1,"40,918
(0.21)","1,891
(0.01)"
치킨삼파전,이온유통,28,10,0,4,0,"156,371
(0.81)","8,160
(0.04)"
무봤나 촌닭,(주)무촌식품,28,0,0,6,5,"303,731
(1.57)","11,235
(0.06)"
안심치킨,(주)안심푸드,28,8,2,8,2,"148,118
(0.77)","6,612
(0.03)"
철인7호,(주)철인에프앤비,28,8,0,5,0,"214,406
(1.11)","10,560
(0.05)"
온고지신 통닭元,민푸드,28,3,0,7,3,"199,439
(1.03)","16,901
(0.09)"
화르화르,(주)에이치브라더스,28,0,0,0,0,"0
(0.00)","0
(0.00)"
하이꼬꼬,(주)귀남,27,8,1,4,3,"285,721
(1.48)","13,380
(0.07)"
지랄닭발,(주)더기푸드,26,26,0,0,0,"301,094
(1.56)","18,880
(0.10)"
김진철동래통닭,(주)태진에프앤디,25,3,0,7,2,"247,724
(1.28)","6,948
(0.04)"
더기발한치킨(The기발한치킨),(주)더기발한,25,1,0,5,1,"159,737
(0.83)","7,153
(0.04)"
치킨89(치킨팔구),(주)우분트,25,13,0,3,2,"172,837
(0.90)","13,618
(0.07)"
해두리치킨,(주)지와이푸드,25,6,3,6,10,"248,112
(1.29)","10,997
(0.06)"
BRD백록담,BRD백록담,25,0,6,0,0,"0
(0.00)","0
(0.00)"
명랑한찜닭,그레이프컴퍼니(주),25,25,0,5,0,"172,025
(0.89)","10,836
(0.06)"
빅원치킨,(주)빅원,25,26,0,4,0,"107,780
(0.56)","8,698
(0.05)"
삼십구치킨,39치킨본부,24,2,2,0,2,"58,654
(0.30)","4,389
(0.02)"
파-닭에파무쳐,에스엠푸드(주),24,1,0,1,5,"247,278
(1.28)","16,439
(0.09)"
치킨주막,(주)치킨주막,24,0,4,0,0,"236,999
(1.23)","11,880
(0.06)"
삼통치킨,(주)삼통치킨,24,1,5,0,0,"357,179
(1.85)","11,670
(0.06)"
조선CH.S치킨,(주)씨에스,24,2,0,3,3,"161,417
(0.84)","7,417
(0.04)"
칠칠켄터키,(주)더쉐프,23,1,4,0,1,"356,657
(1.85)","9,227
(0.05)"
후라이드바삭킹,도움,23,23,0,0,0,"274,827
(1.42)","27,645
(0.14)"
아이러브피자&치킨,㈜더난푸드,22,9,0,3,0,"286,563
(1.48)","16,222
(0.08)"
깜꼬치킨,위더스FC,22,7,0,0,0,"50,374
(0.26)","3,072
(0.02)"
매드후라이치킨,(주)에스씨에프,22,8,0,7,1,"252,559
(1.31)","8,977
(0.05)"
94번가,(주)디토코리아,22,1,1,8,1,"183,251
(0.95)","6,441
(0.03)"
치킨선생,치킨선생,22,11,0,2,5,"369,260
(1.91)","38,293
(0.20)"
허대구 대구통닭,(주)디티에프앤비,22,4,2,1,2,"340,911
(1.77)","9,910
(0.05)"
맥켄치킨,(주)한일팜스,22,0,1,0,1,"85,527
(0.44)","5,459
(0.03)"
꼬레랑,(주)맛나푸드,22,6,0,3,0,"136,800
(0.71)","8,383
(0.04)"
낭만치킨,(주)로맨틱에프엔비,22,6,0,4,1,"235,941
(1.22)","16,985
(0.09)"
부여통닭,(주)에카,22,6,3,1,1,"220,814
(1.14)","18,592
(0.10)"
땡큐맘치킨,(주)이루에프씨,21,0,0,6,0,"147,396
(0.76)","0
(0.00)"
모던통닭,(주)모던키친컴퍼니,21,5,0,10,0,"359,935
(1.86)","12,899
(0.07)"
하우스홀드,푸드피아,21,0,2,0,0,"62,876
(0.33)","5,454
(0.03)"
치킨히어로,티오엘드림,21,0,0,4,2,"159,925
(0.83)","8,234
(0.04)"
징기스칸치킨,(자)징기스칸,20,2,0,0,0,"61,481
(0.32)","4,504
(0.02)"
백년가마솥옛날통닭,현성식품(주),20,11,0,1,0,"113,316
(0.59)","7,678
(0.04)"
one&two깻잎두마리치킨 (원앤투깻잎두마리치킨),흥성,20,20,0,26,0,"11,530
(0.06)","770
(0.00)"
김성구의성마늘치킨,김성구의성마늘치킨,20,7,0,1,2,"75,955
(0.39)","3,777
(0.02)"
소담치킨,(주)정성푸드마스타,20,3,0,8,0,"117,295
(0.61)","5,002
(0.03)"
투가이즈(TWO GUYS),투가이즈,19,13,0,0,4,"225,569
(1.17)","14,445
(0.07)"
굽는치킨,계산씨케이,18,0,4,0,0,"44,580
(0.23)","3,156
(0.02)"
명동닭튀김,명동닭튀김,18,3,0,2,0,"112,515
(0.58)","5,087
(0.03)"
아리아리닭강정,(주)세원,17,3,0,5,0,"46,324
(0.24)","6,827
(0.04)"
One&Two깻잎두마리치킨,흥성에프디,17,17,0,0,0,"292,979
(1.52)","21,375
(0.11)"
존슨켄터키,(주)비브라더스,17,0,1,0,0,"91,332
(0.47)","4,952
(0.03)"
태권치킨,(주)티케이푸드,17,1,0,0,4,"224,523
(1.16)","7,643
(0.04)"
꿀마니 닭강정,(주)진성푸드,17,11,0,0,0,"0
(0.00)","0
(0.00)"
더썬치킨,(주)더썬컴퍼니,16,2,0,13,1,"130,824
(0.68)","5,912
(0.03)"
처갓집플러스케이준치킨,(주)한국일오삼,16,0,0,2,0,"219,469
(1.14)","20,475
(0.11)"
아침닭,(주)홈앤치킨,16,6,4,15,0,"109,352
(0.57)","9,773
(0.05)"
대박나자 부자치킨,(주)알피,16,4,0,0,4,"87,481
(0.45)","4,084
(0.02)"
부뚜막치킨,(주)태풍에프앤비,16,3,4,1,0,"125,005
(0.65)","8,299
(0.04)"
치르치르,리치푸드(주),15,0,0,13,1,"293,883
(1.52)","8,678
(0.04)"
무성구어바베큐치킨,(주)시즌푸드,15,2,0,1,1,"70,849
(0.37)","12,351
(0.06)"
또또닭강정,(주)홈앤치킨,15,15,0,0,0,"0
(0.00)","0
(0.00)"
도담치킨,(주)아지트메이커,15,0,0,6,0,"262,904
(1.36)","13,015
(0.07)"
불촌두마리치킨,신미푸드시스템,14,1,5,0,3,"51,060
(0.26)","4,616
(0.02)"
코만도,(주)보배식품,14,0,0,0,0,"0
(0.00)","0
(0.00)"
수준이 다른 치킨,오복가,14,9,0,1,1,"406,900
(2.11)","18,407
(0.10)"
836숯불바베큐치킨,팔삼육산업(주),14,2,0,2,0,"123,678
(0.64)","5,310
(0.03)"
정직한통닭,닭대표,13,1,0,2,5,"95,442
(0.49)","5,038
(0.03)"
마슬랜,마슬랜,13,3,0,1,0,"174,232
(0.90)","6,970
(0.04)"
맛데이,(주)엘에이치지,13,0,15,0,0,"88,628
(0.46)","4,170
(0.02)"
김순례 닭강정,(주)인푸드,13,9,0,0,0,"251,266
(1.30)","53,304
(0.28)"
갓튀긴후라이드,(주)갓에프엔비,12,11,0,0,0,"0
(0.00)","0
(0.00)"
에디슨치킨,(주)참여텍,12,0,0,1,0,"29,247
(0.15)","2,076
(0.01)"
세븐치킨,굿웰푸드(세븐치킨),12,12,0,0,0,"0
(0.00)","0
(0.00)"
대한맥주집,대한컴퍼니,12,2,0,2,0,"246,175
(1.28)","9,277
(0.05)"
청춘명랑치킨,(주)그루터기,11,11,0,0,0,"342,922
(1.78)","19,945
(0.10)"
브라운치킨,(주)비지씨푸드,11,0,6,0,0,"163,171
(0.85)","6,029
(0.03)"
용범이네 노상통닭,(주)김승용에프에스,11,11,0,0,0,"0
(0.00)","0
(0.00)"
냠냠숯불두마리치킨,금화푸드.냠냠숯불두마리치킨,11,11,0,0,0,"271,714
(1.41)","26,416
(0.14)"
오빠담치킨,호림푸드,11,4,0,10,1,"109,256
(0.57)","5,521
(0.03)"
투마리나,(주)삼정코리아,11,9,0,13,1,"104,511
(0.54)","6,830
(0.04)"
닭꾸버,(주)케이디엔푸드,10,3,0,0,0,"103,784
(0.54)","7,983
(0.04)"
닭강정 맛 가격 5반하다,(주)아주푸드,10,5,2,0,0,"0
(0.00)","0
(0.00)"
닭깡,(주)네비스,10,4,0,0,3,"98,183
(0.51)","9,878
(0.05)"
별별치킨,농업회사법인(주)별난사람들,10,2,0,5,1,"134,961
(0.70)","6,234
(0.03)"
용달통닭,용달푸드,10,1,1,2,1,"174,788
(0.91)","6,384
(0.03)"
치칵치칵,씨케이푸드,10,6,0,0,0,"340,890
(1.77)","20,052
(0.10)"
전국3대치킨 오성통닭,오복가,10,4,0,1,1,"178,933
(0.93)","11,809
(0.06)"
둘마니치킨,엠앤에이치에프씨,10,0,0,1,0,"106,320
(0.55)","7,435
(0.04)"
치뽁(CHIPPOK),(주)제이투케이에프앤비,10,10,0,0,0,"129,487
(0.67)","9,511
(0.05)"
거성치킨,(주)이수푸드빌,10,1,0,4,0,"0
(0.00)","0
(0.00)"
사바사바치킨앤비어,(주)마세다린,10,0,0,3,0,"245,644
(1.27)","9,286
(0.05)"
지붕위에,지원푸드,10,0,0,4,1,"34,400
(0.18)","2,889
(0.01)"
꼬꼬봉투통닭,(주)더콥,10,5,5,0,0,"51,093
(0.26)","5,698
(0.03)"
진도담찜닭(珍도담찜닭),(주)도담에프엔디,10,10,0,0,0,"0
(0.00)","0
(0.00)"
몽키스비어,설원식품,9,0,2,0,0,"192,631
(1.00)","10,689
(0.06)"
똥집의 달인,똥집의달인,9,1,0,0,1,"87,691
(0.45)","6,029
(0.03)"
앗싸마늘닭,앗싸푸드,9,10,0,10,0,"142,810
(0.74)","4,698
(0.02)"
닭권브이,닭권브이,9,0,0,1,0,"54,421
(0.28)","1,817
(0.01)"
마파치킨,(주)한국창업경제연구소,9,0,0,1,1,"237,760
(1.23)","12,432
(0.06)"
두마리치킨마당,마당엘푸드,9,8,0,3,0,"297,079
(1.54)","14,035
(0.07)"
치킨처럼,(주)엠에스코리아,9,0,0,6,0,"281,107
(1.46)","26,090
(0.14)"
똥꼬치킨,(주)에이치와이지푸드,9,9,0,0,0,"0
(0.00)","0
(0.00)"
닭광정,(주)한국인,9,9,0,0,1,"0
(0.00)","0
(0.00)"
두레옛날통닭,(주)도담에프앤에스,8,8,0,0,0,"299,239
(1.55)","28,669
(0.15)"
