브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
쉐프의부대찌개,(주)케이더블유프랜차이즈,56,4,0,12,0,"175,219
(0.50)","4,847
-"
징기스,(주)이에이치컴퍼니,54,0,0,5,1,"584,471
(1.66)","18,497
-"
목우촌웰빙마을,(주)농협목우촌,54,3,0,11,0,"364,792
(1.04)","14,931
-"
육회지존,인터푸드플래닝,53,6,0,17,4,"295,198
(0.84)","10,552
-"
WITCH COFFEE & Witch's Stick,(주)위치,51,13,0,13,4,"53,919
(0.15)","3,640
-"
월남선생,(주)이든에프엔씨,50,4,18,4,5,"158,022
(0.45)","7,992
-"
화포식당,(주)다이닝에스엠,49,4,7,0,1,"96,495
(0.27)","2,436
-"
산쪼메,(주)엠엔에스코리아,49,1,0,15,1,"207,647
(0.59)","11,915
-"
대패가1900,대패가1900,48,29,0,0,8,"147,715
(0.42)","6,624
-"
소한마리몽땅무쏘,(주)바른미트,48,17,0,17,3,"559,276
(1.59)","8,231
-"
개성집,(주)바름,47,7,15,0,1,"391,820
(1.11)","6,156
-"
최고당돈가스,(주)빅토리어스,46,25,0,0,2,"282,032
(0.80)","11,483
-"
착한낙지,푸드이노베이션,46,5,0,3,0,"0
(0.00)","0
-"
쪽갈비전문점 예감,(주)와이지인더스트리,46,7,0,11,5,"156,378
(0.44)","7,049
-"
커피스미스,커피스미스에프씨(주),45,7,1,6,3,"404,243
(1.15)","14,907
-"
1943,(주)위벨롭먼트,45,45,0,0,0,"1,536,915
(4.37)","17,313
-"
정정아식당,정정아푸드(주),44,9,4,1,5,"0
(0.00)","0
-"
병천황토방순대,(주)병천아우내식품,43,3,0,4,0,"139,417
(0.40)","5,016
-"
추오정,(주)아정푸드시스템,43,4,0,2,4,"606,623
(1.72)","7,917
-"
하늘보리피자,(주)웰가코리아,42,1,0,11,2,"78,307
(0.22)","6,952
-"
도쿄스테이크,해피브릿지협동조합,42,5,0,6,4,"415,646
(1.18)","14,003
-"
33떡볶이,성백F&S,40,13,0,2,3,"250,807
(0.71)","23,886
-"
선굼터,(주)선굼터,39,7,0,13,4,"0
(0.00)","0
-"
미스터빠삭,(주)마코푸드시스템,39,28,2,0,2,"127,610
(0.36)","10,893
-"
육장갈비,(주)마루에프씨,39,12,0,2,0,"371,660
(1.06)","7,437
-"
비에뜨반미,(주)비에뜨반미,39,12,0,8,3,"107,764
(0.31)","7,912
-"
브라더탕수,FBFOOD에프비푸드,39,31,0,5,0,"74,676
(0.21)","4,739
-"
명동칼국수,(주)명동푸드,38,6,8,0,0,"0
(0.00)","0
-"
용호동낙지,(주)봉푸드,38,16,0,12,0,"785,504
(2.23)","18,905
-"
홍대개미,(주)후니에프앤비,38,6,0,0,1,"652,779
(1.85)","22,589
-"
대구우야지막창,(주)대구우야지막창,38,3,0,1,4,"398,263
(1.13)","10,976
-"
닭이봉춘천닭갈비,진푸드서비스,37,1,5,0,2,"215,533
(0.61)","5,513
-"
맛나슈퍼,(주)조은음식드림,37,5,0,8,0,"209,232
(0.59)","7,464
-"
달구지막창,(주)달구지푸드,37,5,8,2,1,"127,131
(0.36)","5,234
-"
원당감자탕,(주)나운에프에스,37,4,1,0,0,"349,099
(0.99)","9,513
-"
화화,(주)미소에프엔씨,37,6,0,2,0,"675,269
(1.92)","9,524
-"
바푸리pho베트남쌀국수,(주)비피알,36,4,10,7,6,"204,817
(0.58)","11,643
-"
승승,승승그룹(주),36,36,0,0,0,"440,817
(1.25)","11,535
-"
불불이족발,(주)비앤비푸드시스템,35,2,0,16,1,"196,729
(0.56)","3,329
-"
원조강영숙봉평메밀촌,봉평산골메밀촌,35,7,0,0,0,"0
(0.00)","0
-"
장혁민의 부대찌개,오름푸드,35,3,0,3,1,"316,816
(0.90)","6,646
-"
이백장 돈가스,쿠킹팩토리24,35,35,0,0,0,"0
(0.00)","0
-"
청주본가,(주)영광식품,35,5,4,0,3,"314,845
(0.89)","5,166
-"
한우궁,파워푸드(유),34,5,0,17,5,"226,324
(0.64)","14,327
-"
멘무샤,(주)오리엔탈푸드코리아,34,3,0,6,1,"319,723
(0.91)","13,739
-"
유달리,(주)유달리코리아,34,9,0,6,0,"194,031
(0.55)","8,575
-"
원조설악추어탕,(주)케리온,34,2,0,4,0,"237,758
(0.68)","4,196
-"
콩샌,(유)콩샌,34,5,7,4,0,"97,474
(0.28)","4,225
-"
인기명,(주)인에프앤씨,34,12,0,0,0,"746,034
(2.12)","19,253
-"
뽕잎사랑샤브칼국수보쌈냉면,(주)성신에프씨,33,1,0,6,0,"397,569
(1.13)","8,829
-"
타코비,(주)타코비코리아,33,5,2,10,2,"91,024
(0.26)","14,102
-"
정성찬,(주)제이에스씨컴퍼니,33,25,0,0,2,"322,176
(0.92)","20,291
-"
본가장수촌,(주)본가장수촌,32,4,0,3,0,"0
(0.00)","0
-"
보돌미역,(주)비엔에스에프앤비,32,10,0,2,7,"611,318
(1.74)","13,596
-"
뿅가야채곱창,원에프씨(주),32,17,0,5,0,"57,462
(0.16)","2,621
-"
짬뽕상회,(주)짬뽕상회,31,7,6,0,0,"265,782
(0.75)","6,867
-"
어처구니없는두릉도원북촌순두부,이제이피(주),31,13,0,2,1,"542,396
(1.54)","15,721
-"
달인의찜닭,(주)디아이에프앤비,31,9,0,1,9,"0
(0.00)","0
-"
앗싸곱창,앗싸(주),30,4,1,1,0,"229,508
(0.65)","13,365
-"
하우돈곱창,하우돈곱창,30,3,0,4,2,"213,725
(0.61)","10,426
-"
다기야,(주)씨랩,30,2,0,11,1,"155,720
(0.44)","6,242
-"
79네수육국밥,79푸드컴퍼니(주),29,10,0,1,3,"555,825
(1.58)","10,310
-"
구이가,(주)가업에프씨,29,0,0,6,4,"255,208
(0.72)","6,157
-"
부엉이돈가스,(주)부엉이에프엔비,29,7,6,2,1,"439,031
(1.25)","16,720
-"
갈매기먹짱,(주)씨엠월드에프앤씨,29,2,0,0,2,"118,027
(0.34)","4,371
-"
배달돼지,(주)배달돼지,29,6,5,10,0,"202,504
(0.58)","18,206
-"
무보까국밥,(주)다담,29,4,0,2,0,"395,112
(1.12)","9,180
-"
정든닭발,(주)정든,28,8,0,3,0,"323,451
(0.92)","9,626
-"
커피왕,(주)다다컴퍼니,28,7,1,0,4,"131,899
(0.37)","9,814
-"
순곱이네,(주)순곱이네프랜차이즈,28,5,2,7,1,"193,427
(0.55)","7,990
-"
바르미샤브샤브n칼국수,(주)즐거운세상,27,2,0,1,1,"958,344
(2.72)","8,339
-"
월남쌈김상사,(주)웰빙푸드에프씨,27,2,0,2,2,"529,581
(1.50)","6,557
-"
포차끝판왕,(주)투애니시스템(2NESystem),27,0,8,0,0,"1,019,333
(2.90)","10,512
-"
버거앤프라이즈(Burger&Friez),(주)비엔에프시리즈,27,13,4,3,5,"181,802
(0.52)","8,920
-"
강남교자,(주)강남로하스,27,4,0,2,1,"383,851
(1.09)","16,708
-"
맛있는 오칠구,(주)오칠구,27,0,14,0,0,"160,786
(0.46)","5,572
-"
마루샤브,마루앤F/D,27,1,0,2,3,"1,235,960
(3.51)","7,903
-"
지훈남닭발,지훈남에프앤이(주),26,2,9,0,0,"143,591
(0.41)","6,610
-"
코코샤브,(주)오리엔탈푸드코리아,26,2,0,2,3,"608,091
(1.73)","6,159
-"
엉뚱한상상,파워푸드(유),26,6,0,16,1,"105,633
(0.30)","8,807
-"
닭코치 비어선수,(주)알피,26,18,0,9,2,"119,916
(0.34)","5,419
-"
꼬꼬씨참숯불닭갈비,(주)꼬꼬씨에프,26,13,0,10,1,"56,129
(0.16)","2,677
-"
강창구찹쌀진순대,(주)창구에프앤씨,26,4,0,5,0,"502,465
(1.43)","11,877
-"
투고샐러드(TO GO salad),(주)브로스고,25,7,0,0,2,"200,838
(0.57)","20,711
-"
하노이별,하노이별기흥점,25,3,0,3,2,"303,083
(0.86)","21,356
-"
오징어청춘,(주)청춘,25,1,1,4,2,"780,059
(2.22)","20,740
-"
얌스,(주)새모양에프앤비,25,3,1,0,3,"340,961
(0.97)","21,031
-"
화로상회,(주)하마에프씨,25,18,0,0,1,"689,735
(1.96)","15,724
-"
풍국면,(주)진담,25,12,0,2,3,"481,380
(1.37)","35,871
-"
군자대한곱창,(주)대한푸드,25,25,0,0,1,"1,432,056
(4.07)","42,961
-"
어묵나라,(주)사모,25,11,1,8,0,"369,656
(1.05)","32,664
-"
깨순이김밥,(유)대성물류,25,0,0,1,0,"57,477
(0.16)","3,591
-"
쉬즈베이글 커피,(주)쉬즈베이글,24,16,0,1,2,"319,403
(0.91)","29,036
-"
