브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
최군맥주,(주)빅브라더,27,0,0,10,1,"130,954
(0.44)","9,028
(0.03)"
임창정의 소주한잔,칠삼비브라더스(주),26,5,0,6,1,"633,948
(2.13)","14,654
(0.05)"
일백집 서울포장마차,(주)길품에프엔비,26,26,0,0,0,"0
(0.00)","0
(0.00)"
하루비어,(주)포앤디코리아,24,10,0,5,0,"263,814
(0.89)","9,323
(0.03)"
소소한일상의별난주점,(주)야미,23,0,2,0,0,"148,976
(0.50)","12,079
(0.04)"
코젤다크하우스(KOZELDARKHAUS),(주)케이디코리아,23,4,0,1,1,"284,090
(0.96)","0
(0.00)"
노가리슈퍼,(주)대진에프앤비,23,2,0,1,3,"258,905
(0.87)","15,659
(0.05)"
1도씨맥주(1℃ 맥주),(주)우리듬,22,7,0,5,3,"167,184
(0.56)","7,306
(0.02)"
단골손님,(주)단골손님,22,22,0,0,0,"802,218
(2.70)","17,405
(0.06)"
브라더오뎅,프랜차이즈창업연구소올프랜즈,21,3,0,15,1,"133,312
(0.45)","8,780
(0.03)"
남오토코,(주)더남,21,1,0,11,0,"348,914
(1.17)","11,240
(0.04)"
느린마을양조장&펍,(주)배상면주가,21,4,0,4,2,"466,337
(1.57)","6,758
(0.02)"
개집비어,(주)개집비어,21,1,3,0,0,"203,452
(0.68)","7,217
(0.02)"
가락동 리어카포차,(주)미라크,20,22,0,2,0,"0
(0.00)","0
(0.00)"
맥주바켓(맥주Barket),(주)인토외식산업,20,0,1,7,0,"176,306
(0.59)","4,144
(0.01)"
사나포차,(주)한국창업경제연구소,20,4,0,2,2,"155,535
(0.52)","7,702
(0.03)"
로얄자카르타,(주)청욱,19,9,0,7,1,"262,611
(0.88)","19,876
(0.07)"
청춘연가,(주)에쓰와이프랜차이즈,19,11,1,3,2,"235,245
(0.79)","0
(0.00)"
자갈치브라더스,(주)자갈치브라더스,19,19,0,0,0,"0
(0.00)","0
(0.00)"
링코(RINKO),(주)드링코코리아,19,9,0,0,2,"684,178
(2.30)","6,978
(0.02)"
김작가의 이중생활,(주)별동부대,17,1,2,10,1,"368,844
(1.24)","10,348
(0.03)"
수맥집,㈜와이케이코리아,17,5,2,1,0,"145,195
(0.49)","8,066
(0.03)"
김봉남포장마차,(주)봉남푸드,17,2,0,2,5,"237,199
(0.80)","10,161
(0.03)"
우아한 혼술식당,(주)혼술식당,16,15,0,0,0,"243,607
(0.82)","31,232
(0.11)"
만만코코로,(주)만만연구소,16,7,0,11,2,"531,589
(1.79)","10,287
(0.03)"
인생건어물,(주)승기,15,15,0,0,0,"0
(0.00)","0
(0.00)"
브루웍스,(주)캔즈코리아,15,2,0,2,0,"257,422
(0.87)","6,657
(0.02)"
작업반장,(주)비어프랜드,14,0,0,3,0,"101,227
(0.34)","5,462
(0.02)"
식감이야기,식감이야기석남점,14,7,0,0,0,"316,762
(1.07)","8,062
(0.03)"
사거리식당,코리안브라더,13,3,3,0,0,"607,500
(2.04)","20,053
(0.07)"
와인주막차차,(주)차차,13,5,0,2,2,"385,984
(1.30)","11,351
(0.04)"
도쿄술집,(주)가업에프씨,13,11,0,4,0,"467,230
(1.57)","9,697
(0.03)"
홍스포차,홍스푸드,13,6,0,0,4,"231,455
(0.78)","11,771
(0.04)"
포차스미스,(주)케이케이에프앤비(KKF&B),13,0,0,5,1,"495,225
(1.67)","7,325
(0.02)"
군선생,(주)군선생,12,1,0,1,0,"277,613
(0.93)","11,414
(0.04)"
오비베어(OB BEAR),(주)코리아엔에스,12,0,0,0,0,"154,470
(0.52)","10,728
(0.04)"
노가리까는언니,(주)더신선,12,2,4,0,0,"0
(0.00)","0
(0.00)"
구름공방,(주)인토외식산업,12,0,0,3,0,"175,998
(0.59)","7,151
(0.02)"
짚동가리쌩주,리치푸드(주),11,0,0,6,1,"211,836
(0.71)","5,416
(0.02)"
변사또,엔에프시디사일오,11,0,0,2,0,"0
(0.00)","0
(0.00)"
단골손님,(주)선후,11,11,0,0,0,"0
(0.00)","0
(0.00)"
밀회관,(주)트렌차이즈,11,10,1,0,1,"493,022
(1.66)","18,618
(0.06)"
청춘싸롱,(주)리치메이커,11,0,3,5,0,"431,961
(1.45)","14,696
(0.05)"
비어팩토리,(주)에스와이네트웍스,10,0,3,3,0,"199,171
(0.67)","4,596
(0.02)"
피쉬앤그릴&치르치르,리치푸드(주),10,0,0,0,1,"162,965
(0.55)","5,873
(0.02)"
먹태,엠엔엠에프씨(M&MFC),10,0,2,0,2,"86,655
(0.29)","5,949
(0.02)"
전주포민호맥,(주)호맥생활,10,10,0,0,0,"292,090
(0.98)","12,938
(0.04)"
브로스비어,(주)엔에이치에프,10,6,0,0,0,"212,273
(0.71)","11,043
(0.04)"
필스너하우스(PILSNER HOUSE),(주)엔디홀딩스,10,3,0,0,1,"444,405
(1.49)","10,464
(0.04)"
잔잔,(주)바론에프엔씨,9,5,0,0,0,"737,091
(2.48)","33,815
(0.11)"
펀앤조이오뎅사께,(주)에스씨에프,9,0,0,6,0,"0
(0.00)","0
(0.00)"
철수를차버린영희Beer,(주)와이에이치홀딩스,9,0,0,4,0,"0
(0.00)","0
(0.00)"
똥꼬,(주)맑음푸드,9,0,4,0,0,"211,212
(0.71)","8,265
(0.03)"
부라보맥주,부라보F&B,9,9,0,0,0,"0
(0.00)","0
(0.00)"
무한사케무사,미코에프씨(주),9,1,0,11,0,"353,154
(1.19)","14,299
(0.05)"
쿨럭(coolluck),(주)제이에스인터푸드,9,0,7,0,0,"134,808
(0.45)","3,010
(0.01)"
포차35구역,미코에프씨(주),8,1,0,16,0,"180,165
(0.61)","5,544
(0.02)"
짝태시대,짝태시대,8,2,4,0,0,"168,665
(0.57)","25,015
(0.08)"
맥주활력수,(주)모건파트너스,8,5,0,0,0,"275,745
(0.93)","10,655
(0.04)"
샵도쿄시장,(주)샤프한사람들,8,6,0,0,0,"0
(0.00)","0
(0.00)"
트레비어,(주)트레비브로이,8,2,0,0,0,"255,434
(0.86)","5,540
(0.02)"
전포로 미팅룸,(주)만만연구소,8,9,0,1,0,"849,022
(2.86)","17,724
(0.06)"
토리고야,토리고야패밀리(주),8,0,0,12,0,"670,811
(2.26)","12,172
(0.04)"
와사비,(주)모두가족,7,7,0,0,0,"144,924
(0.49)","3,137
(0.01)"
민혁이네외국포차,(주)맛있게즐기고,7,2,0,4,1,"336,199
(1.13)","10,754
(0.04)"
쓰리몽키즈,(주)세마리원숭이,7,5,0,0,0,"196,667
(0.66)","4,470
(0.02)"
코&타베,(주)비피알,7,7,0,0,0,"734,936
(2.47)","8,251
(0.03)"
와인싸롱뱅뱅,(주)삼조에스피피,7,5,0,1,1,"809,385
(2.72)","18,569
(0.06)"
더한잔,맘에드는F&B,6,2,0,1,3,"451,211
(1.52)","11,021
(0.04)"
금별맥주,금별맥주,6,5,0,0,0,"1,008,372
(3.39)","20,197
(0.07)"
포차왕안춘배,(주)용형,6,4,0,1,0,"193,765
(0.65)","7,829
(0.03)"
꼴목,좋은나무,6,6,0,0,0,"0
(0.00)","0
(0.00)"
KMGM HOLD’EM & EVENT PUB(케이엠지엠홀드이엠앤이벤트펍),(주)케이엠지엠,6,6,0,0,0,"304,192
(1.02)","2,870
(0.01)"
청춘여행,(주)캔즈코리아,6,6,0,0,0,"0
(0.00)","0
(0.00)"
달빛한모금,(주)달빛가족,6,0,1,0,0,"244,015
(0.82)","5,742
(0.02)"
포차플레잉,(주)동행,6,0,0,0,0,"880,119
(2.96)","6,439
(0.02)"
오말짜비어,(주)엠제이인터내셔널,6,1,1,1,0,"90,000
(0.30)","3,249
(0.01)"
회장님댁,회장님댁,5,5,0,0,0,"0
(0.00)","0
(0.00)"
별난아재맥주,농업회사법인(주)별난사람들,5,5,0,0,0,"0
(0.00)","0
(0.00)"
편의점포차핫셰프,(주)비즈플랜비,5,1,0,7,0,"134,885
(0.45)","2,920
(0.01)"
안춘배씨,(주)용형,5,1,0,4,1,"103,482
(0.35)","5,319
(0.02)"
오호리준,오호리준,5,2,0,1,0,"383,315
(1.29)","15,332
(0.05)"
청춘문방구,청춘에프앤비(F&B),5,1,0,0,0,"89,523
(0.30)","7,957
(0.03)"
코키펍(COCKY-PUB),(주)엘브라더스,5,0,0,0,0,"683,788
(2.30)","9,081
(0.03)"
갈매기브루잉,갈매기브루잉(주),5,0,0,0,0,"248,920
(0.84)","8,589
(0.03)"
대국민야시장,(주)프로파트너,5,1,0,2,1,"483,978
(1.63)","8,315
(0.03)"
짱큰대구대가리,짱큰FNC,5,0,2,1,0,"77,766
(0.26)","4,092
(0.01)"
타코락,타코락컴퍼니,5,2,0,0,0,"0
(0.00)","0
(0.00)"
한냥노가리,한냥노가리본사,4,1,0,2,0,"0
(0.00)","0
(0.00)"
육회이야기,(주)쿠킹가이즈,4,0,1,0,0,"0
(0.00)","0
(0.00)"
랜돌프,(주)보틀컴퍼니,4,4,0,0,0,"0
(0.00)","0
(0.00)"
1970 새마을포차,(주)위너스에프앤디,4,4,0,0,0,"0
(0.00)","0
(0.00)"
골목,덕천골목,4,4,0,0,0,"0
(0.00)","0
(0.00)"
롱타임노씨,(주)엘티피에프앤씨,4,4,0,0,0,"0
(0.00)","0
(0.00)"
사쿠라테이엔,사쿠라테이엔,4,7,0,3,0,"0
(0.00)","0
(0.00)"
술바다,DCT컴퍼니,4,1,0,0,0,"0
(0.00)","0
(0.00)"
시장통,(주)수에프씨,3,0,0,2,0,"183,476
(0.62)","8,215
(0.03)"
부타(BUTA)웅,콜리,3,1,0,2,0,"0
(0.00)","0
(0.00)"
레드문,(주)디딤,3,1,0,0,0,"373,360
(1.26)","10,778
(0.04)"
강구항 돗대골뱅이,(주)더동쪽바다가는길,3,3,0,1,0,"0
(0.00)","0
(0.00)"
전씨술방,(주)빅브라더,3,0,0,1,0,"0
(0.00)","0
(0.00)"
맨하탄슈퍼(MANHATTAN SUPERMARKET),(주)엘브라더스,3,3,0,0,0,"0
(0.00)","0
(0.00)"
따다 (ddada),제이.에스(J.S)컴퍼니,3,2,0,0,0,"0
(0.00)","0
(0.00)"
얼맥당,(주)얼맥당,3,3,0,0,0,"0
(0.00)","0
(0.00)"
순돌이네연탄집,순돌이네연탄집,3,1,0,11,0,"0
(0.00)","0
(0.00)"
피쉬앤그릴too,리치푸드(주),3,0,0,0,1,"0
(0.00)","0
(0.00)"
아트몬스터,(주)박앤코파트너스,2,2,0,0,0,"0
(0.00)","0
(0.00)"
서래맥주집,(주)서래스터,2,0,0,1,0,"0
(0.00)","0
(0.00)"
포차썸데이,(주)티에스에프엔씨,2,0,0,5,0,"0
(0.00)","0
(0.00)"
역전총각맥주,미키코리아,2,2,0,0,0,"0
(0.00)","0
(0.00)"
88노가리,(주)88노가리,2,2,0,0,0,"0
(0.00)","0
(0.00)"
여우주막,(주)피에프에스,2,0,0,0,0,"0
(0.00)","0
(0.00)"
강대포식당,제이에스푸드(JS푸드),2,2,0,0,0,"0
(0.00)","0
(0.00)"
미친가리비,미친가리비,2,0,0,0,0,"0
(0.00)","0
(0.00)"
짝태시대,케이제이에프엔씨,2,0,0,0,0,"0
(0.00)","0
(0.00)"
이주사목로청,(주)에스씨에프,1,0,0,2,0,"0
(0.00)","0
(0.00)"
용진집,용진집프랜차이즈,1,0,0,0,0,"0
(0.00)","0
(0.00)"
짱구야학교가자,(주)아지트메이커,1,0,0,0,0,"0
(0.00)","0
(0.00)"
별주막,(주)별네트웍스,1,0,0,0,0,"0
(0.00)","0
(0.00)"
제일회관,(주)바론에프엔씨,1,1,0,0,0,"0
(0.00)","0
(0.00)"
산주막,산,1,0,0,0,0,"0
(0.00)","0
(0.00)"
소로야,(주)사람과사람,1,0,0,0,0,"0
(0.00)","0
(0.00)"
맥주공장,맥공서신점,1,1,0,0,0,"0
(0.00)","0
(0.00)"
동래별장,토리고야패밀리(주),1,0,0,6,0,"0
(0.00)","0
(0.00)"
탁봉순새우양계장,탁봉순새우양계장,1,0,0,0,0,"0
(0.00)","0
(0.00)"
1974 종로호랑이 맥주,(주)종로호랑이에프앤디,1,1,0,0,0,"0
(0.00)","0
(0.00)"
이찌방이야기,(주)이찌방이야기,1,1,0,0,0,"0
(0.00)","0
(0.00)"
서요,수풀림컴퍼니,1,1,0,0,0,"0
(0.00)","0
(0.00)"
빨간맛집,빨간맛집,1,0,0,0,0,"0
(0.00)","0
(0.00)"
오늘술집주다방,타베코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
코리아타운,(주)강경푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
맥주민족,(주)엘에이치지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
미스터포차,(주)훌랄라,0,0,0,0,0,"0
(0.00)","0
(0.00)"
시장을 여는 사람들,시장을여는사람들,0,0,0,0,0,"0
(0.00)","0
(0.00)"
맥주의 전설,(주)맥주의전설,0,0,0,0,0,"0
(0.00)","0
(0.00)"
11010 흥 닭발,11010닭발,0,0,0,0,0,"0
(0.00)","0
(0.00)"
심야식당 치치,(주)한경기획,0,0,0,0,0,"0
(0.00)","0
(0.00)"
이분생,(주)이분생,0,0,0,0,0,"0
(0.00)","0
(0.00)"
혼술식당,혼술식당,0,0,0,0,0,"0
(0.00)","0
(0.00)"
룸비,(주)수봉에프에스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
위더펍우리는더블치킨,(주)신흥푸드바이오,0,0,0,0,0,"0
(0.00)","0
(0.00)"
남쑨이포차,남쑨이포차,0,0,0,0,0,"0
(0.00)","0
(0.00)"
샘물맥주,(유)샘물에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
겜블하우스(GAMBLE HOUSE),(주)더블에스그룹,0,0,0,0,0,"0
(0.00)","0
(0.00)"
"쉼, 어묵 그리고 한잔 술",(주)비엔피컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
탄광맥주,(주)올바른에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아무술집,(주)대건에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
전포여관,(주)팀어반,0,0,0,0,0,"0
(0.00)","0
(0.00)"
훈민정음 한식주점,(주)루덴스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
동백연가,강호에프엔씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
잔들리아,(주)한잔,0,0,0,0,0,"0
(0.00)","0
(0.00)"
