브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
삐사감러브스테이크,삐사감김밥앤러브스테이크(주),3,0,0,3,0,"0
(0.00)","0
(0.00)"
쉐프아이가,쉐프아이가,2,2,0,0,0,"0
(0.00)","0
(0.00)"
화양가옥,(주)바론에프앤씨,2,1,0,0,0,"0
(0.00)","0
(0.00)"
파스타라이더스,더청년,2,2,0,0,0,"0
(0.00)","0
(0.00)"
더몰트하우스,(주)더몰트하우스컴퍼니,2,1,0,0,0,"0
(0.00)","0
(0.00)"
스테이크플러스(THE STEAK PLUS),세양F&B,2,0,0,1,0,"0
(0.00)","0
(0.00)"
이딸리아나,(주)이딸리아나에프엔비,2,2,0,0,0,"0
(0.00)","0
(0.00)"
바삭마차,바삭마차,2,2,0,0,0,"0
(0.00)","0
(0.00)"
비츠비츠,(주)하나에프씨,2,1,0,1,0,"0
(0.00)","0
(0.00)"
버텍스(VERTEX),버텍스,2,1,0,0,0,"0
(0.00)","0
(0.00)"
오말리,㈜다우리미티드,2,2,0,0,0,"0
(0.00)","0
(0.00)"
이태리국시 (Italy guksi),셰프공간컴퍼니(주),2,1,0,0,2,"0
(0.00)","0
(0.00)"
키친랩,(주)유즈코퍼레이션,2,0,0,2,0,"0
(0.00)","0
(0.00)"
미즈컨테이너,(주)에스앤에스코퍼레이션,2,2,0,0,0,"0
(0.00)","0
(0.00)"
윙스버거,(주)찹찹푸드,1,1,0,0,0,"0
(0.00)","0
(0.00)"
보노프,미소육화푸드시스템,1,1,0,0,0,"0
(0.00)","0
(0.00)"
젓가락 스테이크 굽다,농업회사법인젓가락스테이크굽다(주),1,0,0,1,0,"0
(0.00)","0
(0.00)"
이태리벤또,로드다이닝(주),1,0,0,1,0,"0
(0.00)","0
(0.00)"
미트락,넥스터(주)(NEXTERCORP),1,0,0,0,0,"0
(0.00)","0
(0.00)"
엘마노,(주)엘마노,1,0,0,0,0,"0
(0.00)","0
(0.00)"
헤비스테이크,㈜헤비스테이크,1,0,0,0,0,"0
(0.00)","0
(0.00)"
까스맨,더푸드코리아,1,1,0,0,0,"0
(0.00)","0
(0.00)"
쏘렌토,(주)쏘렌토푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피오르달리조,피오르달리조,0,0,0,0,0,"0
(0.00)","0
(0.00)"
본따볼라 BONTAVOLA,(주)꼬레뱅,0,0,0,0,0,"0
(0.00)","0
(0.00)"
조인쉐프뉴욕,(주)승승장구,0,0,0,0,0,"0
(0.00)","0
(0.00)"
뉴욕브레드,(주)어나더해피,0,0,0,0,0,"0
(0.00)","0
(0.00)"
세븐스테이크,(주)프렌즈리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
more.TT,끼니컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
