브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
에그앤벡,(주)참인포텍,0,0,0,0,0,"0
(0.00)","0
(0.00)"
힘난다버거,(주)힘난다,0,0,0,0,0,"0
(0.00)","0
(0.00)"
토스트까페 이순신,(주)이순신,0,0,0,0,0,"0
(0.00)","0
(0.00)"
이삭 위드,(주)이삭,0,0,0,0,0,"0
(0.00)","0
(0.00)"
핫도그브라더스,더브라더스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
세인트그릴(SAINT GRILL),(주)골든하인드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오마이핸즈,(주)비어프랜드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
목동버거,(주)알볼로에프앤씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바겟버거(BAGUETTE BURGER),(주)해냄,0,0,0,0,0,"0
(0.00)","0
(0.00)"
잇츠에그,잇츠에그,0,0,0,0,0,"0
(0.00)","0
(0.00)"
뉴욕핫도그&버그,(주)웰푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스탠딩토스트,(주)마마스푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
비엔나핫도그,(주)제이스타임,0,0,0,0,0,"0
(0.00)","0
(0.00)"
브로스버거(BRO'S BURGER),홍대브로스버거,0,0,0,0,0,"0
(0.00)","0
(0.00)"
햇버거,맛있는연구소,0,0,0,0,0,"0
(0.00)","0
(0.00)"
원투에그,(주)조앤박,0,0,0,0,0,"0
(0.00)","0
(0.00)"
맘스터치,해마로푸드서비스(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
와이쿠페,㈜비프로젝트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
잇투고,(주)에스피씨삼립,0,0,0,0,0,"0
(0.00)","0
(0.00)"
버거타운(BURGERTOWN),버거타운(Burgertown),0,0,0,0,0,"0
(0.00)","0
(0.00)"
버거요(BURGER YO),(주)대경글로벌,0,0,0,0,0,"0
(0.00)","0
(0.00)"
유에프오(UFO),(주)역시,0,0,0,0,0,"0
(0.00)","0
(0.00)"
뉴욕버거,(주)수혁,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아야푸드,(주)아야푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
버거307,버거307,0,0,0,0,0,"0
(0.00)","0
(0.00)"
