브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
마스터키,(주)엠케이컴퍼니,17,2,1,0,1,"319,012
(1.91)","4,702
(0.03)"
멘토즈,(주)공간몬스터,16,15,0,0,0,"0
(0.00)","0
(0.00)"
에스엠천사,(주)에스엠천사,15,1,1,0,2,"311,387
(1.86)","28,914
(0.17)"
촘촘망,(주)텍스토머,15,2,2,0,0,"30,106
(0.18)","0
(0.00)"
포텐스터디카페,포텐스터디카페(4TEN),15,11,0,0,0,"130,218
(0.78)","1,965
(0.01)"
봉봉키즈,(주)봉봉코리아,14,2,0,0,0,"167,955
(1.00)","3,118
(0.02)"
산모피아,(주)산모피아,14,4,9,4,0,"287,330
(1.72)","0
(0.00)"
통툰,(주)함백아이엔씨,14,1,4,0,0,"112,094
(0.67)","2,207
(0.01)"
드림앤가(드림&가),드림가,13,2,1,1,2,"0
(0.00)","0
(0.00)"
크린빌세탁,크린빌세탁,13,2,0,1,1,"51,836
(0.31)","3,840
(0.02)"
황금빗자루,황금빗자루,13,7,0,1,0,"124,620
(0.75)","0
(0.00)"
하트맘케어(Heartmamcare),하트맘케어,13,7,0,0,2,"169,685
(1.02)","8,081
(0.05)"
스마트데이터복구,(주)스마트데이터복구에스디알,12,12,0,0,0,"0
(0.00)","0
(0.00)"
사랑마루,(주)사랑마루,12,0,0,0,0,"1,120,977
(6.71)","3,409
(0.02)"
더공간스터디카페,(주)더공간,11,5,0,0,2,"100,840
(0.60)","1,908
(0.01)"
모던필라테스 대구경북지부,(주)모던필라테스,11,0,2,0,0,"183,518
(1.10)","3,230
(0.02)"
인스케어,(주)인스케어코어,11,0,0,1,0,"142,930
(0.86)","17,398
(0.10)"
아이에이이유학네트,에듀하우스(주),10,0,0,1,0,"82,515
(0.49)","2,752
(0.02)"
방구방역,방구방역,10,7,0,10,0,"81,115
(0.49)","7,981
(0.05)"
홀릭스터디카페,홀릭스터디카페,10,8,0,0,0,"0
(0.00)","0
(0.00)"
인스&슬라임,(주)더캠트사업본부,9,8,0,0,0,"63,115
(0.38)","1,570
(0.01)"
셀디(SELDY),(주)셀디,9,6,0,1,0,"106,330
(0.64)","1,299
(0.01)"
심리카페멘토,(주)느린마을멘토,9,2,0,1,0,"108,599
(0.65)","3,115
(0.02)"
화이트펜슬(white pencil),(주)네오플레너스,9,9,0,0,0,"0
(0.00)","0
(0.00)"
폰케이스몰,(주)씨엠,9,0,0,3,0,"171,472
(1.03)","10,357
(0.06)"
젠요가,(주)젠요가,8,1,0,0,0,"356,776
(2.13)","1,779
(0.01)"
오락카페,(주)패밀리존,8,0,0,1,0,"25,325
(0.15)","962
(0.01)"
스터디카페공간,(주)하드투포겟공간,8,4,0,0,0,"0
(0.00)","0
(0.00)"
비즈온,비즈앤택스(주),8,2,0,0,0,"162,664
(0.97)","2,345
(0.01)"
우렁각시,라이프매직케어협동조합,8,8,0,0,0,"27,311
(0.16)","3,072
(0.02)"
한양아이소리,(주)한양아이소리,8,1,0,0,0,"0
(0.00)","0
(0.00)"
디아망,㈜네오플레너스,8,1,0,0,0,"177,826
(1.06)","1,422
(0.01)"
헬로스마일(HELLOSMILE),(주)헬로스마일,8,2,0,2,1,"220,240
(1.32)","4,257
(0.03)"
크라스플러스(cras+),(주)굿디자인플랜,7,0,0,1,1,"160,360
(0.96)","1,781
(0.01)"
HOTELIV,(주)이웃벤처,7,7,1,0,0,"0
(0.00)","0
(0.00)"
키네스성장센터,(주)키네스,7,0,0,0,0,"286,067
(1.71)","4,307
(0.03)"
더하노이풋앤바디,(주)더하노이,6,6,0,0,0,"0
(0.00)","0
(0.00)"
씨엔티 스터디센터,씨엔티테크(주),6,0,0,1,0,"133,437
(0.80)","1,322
(0.01)"
해피헬퍼,(주)해피케어,6,0,0,0,0,"778
(0.00)","51
(0.00)"
슈가맨워크,㈜슈가맨워크,6,3,0,0,0,"0
(0.00)","0
(0.00)"
INTO STUDY PLACE(인토스터디플레이스),(주)인토에스디,6,6,0,0,0,"0
(0.00)","0
(0.00)"
참손길,참손길공동체협동조합,6,0,0,0,1,"277,411
(1.66)","11,086
(0.07)"
브레인트레이닝상담센터,(주)브레인트레이닝센터,6,2,0,0,0,"0
(0.00)","0
(0.00)"
아리엘키퍼,아리엘협동조합,5,5,0,0,0,"0
(0.00)","0
(0.00)"
서당 스터디라운지,(주)서당,5,5,0,0,0,"15,019
(0.09)","2,888
(0.02)"
쉼스파,(주)씨엠에이인터내셔널,5,0,0,1,0,"512,308
(3.07)","7,874
(0.05)"
