브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
케이에이지이영재교육학술원연구실,한국영재교육학술원(주),15,0,0,0,0,"251,618
(1.60)","40,938
(0.26)"
아트파이브,(주)아트체어,14,1,0,1,0,"217,112
(1.38)","4,472
(0.03)"
소리노리(SORINORI),(주)소리노리,13,8,0,0,0,"0
(0.00)","0
(0.00)"
헬렌의마르세이유,(주)헬렌앤제이,13,7,0,1,0,"1,696
(0.01)","0
(0.00)"
지트,(주)지트에듀텍엔드네트워크,13,0,0,1,0,"2,071,025
(13.14)","8,891
(0.06)"
분더바움,분더교육,12,0,0,0,0,"0
(0.00)","0
(0.00)"
이루미독서논술,(주)이루미에듀테크,12,5,0,0,0,"115,016
(0.73)","2,852
(0.02)"
유피학습,(주)유피교육,11,0,0,2,0,"1,582
(0.01)","52
(0.00)"
그린컴퓨터아트학원,(주)지아이티아카데미,11,2,0,1,0,"0
(0.00)","0
(0.00)"
마이퍼스트뮤직,마이퍼스트뮤직,11,4,1,0,0,"144,355
(0.92)","11,881
(0.08)"
고수의 운전면허,(주)제이에프파트너스,10,10,0,0,0,"0
(0.00)","0
(0.00)"
탑코딩에듀,(주)에이치비(HB)네트워크,10,0,0,0,0,"79,451
(0.50)","1,271
(0.01)"
주니퍼실용음악학원,(주)주니퍼아이엔씨,10,0,0,0,0,"98,900
(0.63)","1,920
(0.01)"
책읽는미술관,(주)책읽는미술관,9,2,2,2,1,"0
(0.00)","0
(0.00)"
아이디어트리,한국영재교육학술원(주),9,1,2,0,1,"78,639
(0.50)","0
(0.00)"
하늘을나는그림책,(주)심정민융합교육연구소,9,4,1,0,0,"286,055
(1.82)","4,912
(0.03)"
지니위니,지니위니,8,0,0,1,0,"0
(0.00)","0
(0.00)"
피아노리브레,(주)피아노리브레,8,2,1,1,0,"0
(0.00)","0
(0.00)"
꽃이야 나무야,꽃이야나무야,8,3,0,0,0,"0
(0.00)","0
(0.00)"
토즈스터디랩,(주)피투피시스템즈,8,8,0,0,0,"25,322
(0.16)","513
(0.00)"
집중소,(주)인힘,8,3,0,0,0,"164,934
(1.05)","1,256
(0.01)"
포슬린페인팅Art스쿨(KPAS),포슬린페인팅아트(Art)스쿨,8,2,0,0,0,"26,078
(0.17)","1,034
(0.01)"
