업종(대),업종(중),상호,매출액,매출액증가율
외식,,(주)로열푸드코리아,"5,435,808",13.16%
외식,,(주)동의보감농수산,"5,342,657",64.50%
외식,,(주)핵가족,"5,256,298",-9.66%
외식,,(주)한밭에프앤지,"5,223,768",-14.01%
외식,,(주)제이브이엘,"5,098,831",20.25%
외식,,(주)새모양에프앤비,"5,087,106",-13.12%
외식,,(주)의령소바,"4,996,235",-6.88%
외식,,(주)혜윰에프엔비,"4,991,277",10.86%
외식,,(주)비본코리아,"4,986,736",2.46%
외식,,(주)김덕후컴퍼니,"4,979,557",-4.36%
외식,,(주)김승용에프에스,"4,961,439",산출불가
외식,,(주)티아이코스모스,"4,904,971",-10.57%
외식,,(주)일미리,"4,854,049",-8.86%
외식,,(주)송담,"4,773,630",28.29%
외식,,(주)에이치디푸드,"4,772,765",28.67%
외식,,(주)가인채,"4,736,972",-12.53%
외식,,더블에프엔비(주),"4,711,954",107.82%
외식,,(주)송정푸드,"4,528,346",13.95%
외식,,(주)모닥홀딩스,"4,485,026",-3.14%
외식,,(주)둘레,"4,393,435",3.52%
외식,,(주)그루나무,"4,367,305",58.58%
외식,,(주)유가네,"4,291,432",57.12%
외식,,(주)제이푸드서비스,"4,284,417",28.84%
외식,,설동궁컴퍼니,"4,226,946",84.09%
외식,,(주)더큰,"4,225,383",154.53%
외식,,(주)반반한행복,"4,218,970",121.86%
외식,,(주)고릴라에프앤디,"4,217,531",24.95%
외식,,지강에프앤비(주),"4,216,807",-5.47%
외식,,(유)대동상회,"4,191,757",79.36%
외식,,(주)명가,"4,176,122",-7.38%
외식,,(주)두둑한행복,"4,118,845",-11.20%
외식,,(주)엘에이치지,"4,114,711",6.46%
외식,,(주)케이엠제이코리아,"4,048,374","1,960.21%"
외식,,블루밀,"4,045,481",10.89%
외식,,(주)정금F&C,"4,031,308",31.04%
외식,,(주)다온에프앤비,"3,998,785",45.10%
외식,,(주)하림유통,"3,954,243",18.55%
외식,,(주)바보형제스토리,"3,952,776",7.08%
외식,,(주)맛깔,"3,904,151",10.23%
외식,,케이비엠,"3,899,773",-46.94%
외식,,(주)에스컴퍼니,"3,789,099",-1.17%
외식,,진성,"3,719,780",-1.38%
외식,,(주)코리아푸딩,"3,719,651",-24.68%
외식,,(주)다온에프엔비,"3,706,656",18.75%
외식,,(주)올댓컴퍼니,"3,661,173",2.57%
외식,,(주)참토우,"3,647,889",6.03%
외식,,더블에스푸드(주),"3,647,312",67.70%
외식,,서울물류,"3,630,690",19.56%
외식,,(주)명동,"3,602,601",-7.97%
외식,,리브가푸드시스템(주),"3,595,756",2.32%
외식,,(주)한길상회,"3,553,253",335.09%
외식,,(주)오복푸드,"3,522,399",-44.57%
외식,,(주)미락에프씨,"3,519,108",195.71%
외식,,(주)현백,"3,506,712",83.52%
외식,,(주)다누,"3,501,791",21.60%
외식,,(주)바인인터내셔날,"3,469,186",산출불가
외식,,하율푸드(주),"3,399,592",-0.25%
외식,,농업회사법인구삐(주),"3,347,367",-4.00%
외식,,호세야(주),"3,309,373",-4.42%
외식,,(주)풍년에프씨,"3,300,210",-8.23%
외식,,(주)아라에프엔비,"3,297,480",14.28%
외식,,(주)마스터아이디,"3,240,715",55.96%
외식,,(주)용마을,"3,239,356",-10.14%
외식,,(주)123푸드,"3,187,120",산출불가
외식,,(주)에이치엘코포레이션,"3,180,808",273.55%
외식,,(주)웰푸드컴퍼니,"3,171,987",265.79%
외식,,(주)아라리,"3,144,170",-0.28%
외식,,(주)제이에스일인자,"3,127,748",3.41%
외식,,(유)쌍교프라임농업회사법인,"3,088,387",산출불가
외식,,(주)한결엔터프라이즈,"3,068,390",17.09%
외식,,(주)더맛푸드,"3,047,195",-10.05%
외식,,(주)뉴서진식품,"3,041,333",-2.92%
외식,,(주)한옥집에이치큐,"3,014,364",88.05%
외식,,(주)디케이푸드,"3,009,143",16.02%
외식,,(주)빛솜푸드,"2,989,708",-13.46%
외식,,(주)남도푸드,"2,953,448",34.41%
외식,,(주)8푸드,"2,937,945",-6.19%
외식,,농협회사법인(주)인건,"2,921,171",-8.60%
외식,,(주)비엔에스푸드,"2,913,755",56.29%
외식,,(주)잭팟,"2,907,054",127.50%
외식,,(주)진담에프앤비,"2,892,274","2,761.34%"
외식,,(주)삼교리,"2,863,289",185.81%
외식,,(주)꿈을실현하는사람들,"2,853,102",170.36%
외식,,(주)택이네,"2,832,758",산출불가
외식,,(주)맛있는상상,"2,827,755",-3.42%
외식,,(주)한사랑푸드,"2,819,350",-5.61%
외식,,(주)에스제이푸드시스템,"2,794,846",24.24%
외식,,(주)종춘에프앤비,"2,792,187",0.00%
외식,,(주)지에프포유,"2,741,792",102.93%
외식,,(주)청해,"2,740,303",-3.62%
외식,,(주)오리지날스푼,"2,735,486",-40.11%
외식,,(주)인화에프엔비,"2,709,144",149.68%
외식,,(주)푸드감동을주다,"2,702,250",-2.79%
외식,,(주)케이제이푸드시스템,"2,696,924",-19.09%
외식,,(주)케이더블유프랜차이즈,"2,694,538",-19.08%
외식,,로드다이닝(주),"2,683,672",109.33%
외식,,청기와뼈다귀해장국,"2,656,154",6.97%
외식,,(주)에프엘푸드시스템,"2,599,590",-12.19%
외식,,(주)푸드앤이노베이션,"2,580,841",6.76%
외식,,(주)대신물산,"2,545,627",52.75%
외식,,(주)보성녹돈,"2,530,754",-22.96%
외식,,(주)교동F&B,"2,514,498",-5.49%
외식,,(주)두웰푸드,"2,492,772",-15.00%
외식,,(주)에프앤씨돈가네,"2,459,850",-8.72%
외식,,(주)프레솔,"2,446,715",-35.63%
외식,,삼곱푸드,"2,444,736",산출불가
외식,,조리고,"2,424,727",35.77%
외식,,(주)다자레코리아,"2,377,677",250.03%
외식,,(주)마당쇠,"2,349,647",-1.54%
외식,,디앤디코리아,"2,324,580",-31.60%
외식,,(주)가연푸드,"2,303,508",-22.07%
외식,,(주)홍리에프앤씨,"2,294,101","2,832,123.46%"
외식,,(주)더쉐프,"2,290,881",79.53%
외식,,(주)리더스코리아코퍼레이션,"2,270,317",11.30%
외식,,(주)부대통령,"2,266,627",40.27%
외식,,(주)씨에스에프씨,"2,249,452",-26.88%
외식,,(주)뚝심푸드,"2,226,234",38.24%
외식,,(주)신화식품,"2,224,504",-51.70%
외식,,(주)지에프코리아,"2,220,187",41.11%
외식,,(주)쓰리티에이치이,"2,200,478",산출불가
외식,,(주)강산면옥,"2,167,324",7.90%
외식,,(주)다솥,"2,153,358",680.04%
외식,,(주)일품순두부,"2,149,578",산출불가
외식,,(주)서래스터,"2,144,884",27.46%
외식,,(주)베스트에프앤씨,"2,126,425",-4.94%
외식,,(주)김명자,"2,111,508",52.01%
외식,,패밀리에프엔씨,"2,111,081",산출불가
외식,,(주)다담뜰,"2,101,460",257.17%
외식,,(주)길성이,"2,083,673",-5.85%
외식,,(주)톰앤드,"2,081,258",103.73%
외식,,손수푸드,"2,067,228",13.53%
외식,,(주)다드림에프앤비,"2,051,321",14.66%
외식,,위드몬,"2,049,208",8.69%
외식,,파워푸드(유),"2,049,071",-40.90%
외식,,(주)푸드리아,"2,040,793",4.66%
외식,,(주)우품,"2,026,524",40.06%
외식,,(주)우분트,"2,025,703",46.66%
외식,,(주)지강푸드,"2,022,551",14.20%
외식,,농업회사법인(주)자연식품,"2,013,355",19.48%
외식,,(주)원더파트너스,"1,997,538",102.27%
외식,,해듬(주),"1,970,267",20.65%
외식,,영어조합법인올래씨푸드,"1,960,510",10.04%
외식,,(주)엠케이우성,"1,916,974",-0.40%
외식,,(주)제니스에프앤비,"1,915,444",914.62%
외식,,(주)성경에프앤에스,"1,889,559",-14.74%
외식,,(주)길품에프엔비,"1,880,207","1,254.34%"
외식,,(주)봉화산푸드,"1,878,798",-22.23%
외식,,㈜봉화산푸드,"1,878,798",-22.23%
외식,,두거리푸드,"1,865,499",0.32%
외식,,(주)미래원에프앤씨,"1,864,183",27.25%
외식,,(주)더참맛푸드,"1,863,701",-6.56%
외식,,(주)구야가,"1,850,496",-9.82%
외식,,(주)더맛있는생각,"1,848,229",83.69%
외식,,(주)동해의한우,"1,844,971",-18.58%
외식,,(주)바론에프앤비,"1,838,449",6.82%
외식,,"(주)디케이코리아(D.KKOREACo.,LTD)","1,811,084",32.70%
외식,,미스앤미스터㈜,"1,801,643",-31.05%
외식,,(주)더플러스,"1,782,220",342.30%
외식,,(주)산들그린,"1,773,529",27.85%
외식,,(주)강통에프앤비,"1,768,938",33.58%
외식,,도야족발앤푸드,"1,757,104",산출불가
외식,,(주)엉터리,"1,756,859",산출불가
외식,,농업회사법인(주)엠에스푸드,"1,739,935",-4.36%
외식,,(주)남강푸드시스템,"1,730,676",0.57%
외식,,(주)역전푸드,"1,729,411","4,661.33%"
외식,,(주)예스아이엠에프앤비,"1,725,597",30.70%
외식,,항아리보쌈,"1,722,123",-5.20%
외식,,(주)낭만연구소,"1,721,560",38.64%
외식,,광장갈비,"1,706,964",11.01%
외식,,(주)행복한상상에프앤비,"1,706,735",-26.48%
외식,,(주)육일컴퍼니,"1,692,778",248.75%
외식,,(주)향기나는사람들,"1,688,152",-80.03%
외식,,소문난대구왕뽈찜,"1,681,861",-12.02%
외식,,(주)달콤한세상,"1,680,140",13.19%
외식,,정담유통(주),"1,679,535",141.85%
외식,,(주)제이오푸드,"1,678,488",40.05%
외식,,농업회사법인푸드앤소울(주),"1,651,039",2.08%
외식,,(주)손문에프앤씨,"1,639,973",-14.98%
외식,,(주)스타셀러,"1,637,755",74.35%
외식,,(주)춘향골,"1,623,476",3.07%
외식,,무한버섯나라,"1,614,932",5.41%
외식,,(주)올리브푸드,"1,607,292",116.18%
외식,,(주)방일에프씨,"1,602,938",-1.40%
외식,,㈜만풍농헙회사법인,"1,602,284",65.29%
외식,,(주)미도식품,"1,596,487",14.88%
외식,,(주)오리엔탈썬,"1,593,509",22.53%
외식,,(주)유니쉐프,"1,589,940",111.38%
외식,,(주)오점오,"1,573,778",-0.87%
외식,,(주)엘엔미트,"1,567,376",4.73%
외식,,(주)디비홀딩스,"1,567,163",5.72%
외식,,(주)와촌본가,"1,538,019",-15.00%
외식,,(주)우리모메,"1,529,649",-15.62%
외식,,(주)더블에스그룹,"1,522,464","11,569.97%"
외식,,(주)제이씨엠에프씨,"1,509,252",-35.32%
외식,,(주)이엔에프컴퍼니,"1,506,340",180.78%
외식,,농업회사법인(유)두레,"1,502,885","2,579.42%"
외식,,(주)더미자,"1,502,416",316.80%
외식,,(주)편백가,"1,498,787",47.43%
외식,,(주)화인에프앤비,"1,491,077",-21.76%
외식,,(주)썩세스웨이,"1,472,566","1,377.00%"
외식,,(주)위푸드마켓,"1,469,156",395.92%
외식,,(주)델리앤,"1,466,108",10.26%
외식,,(주)국보푸드시스템,"1,454,310",14.79%
외식,,찬우축산(주),"1,445,728",29.46%
외식,,아이맛이야철판구이,"1,444,588",167.02%
외식,,(주)두레에프앤비,"1,432,950",273.19%
외식,,(주)휴앤지,"1,422,007",9.28%
외식,,(주)진주교방,"1,420,432",9.47%
외식,,형네가게,"1,416,764",46.41%
외식,,(주)미담제작소,"1,409,860","2,962.65%"
외식,,(주)문삼에프앤비,"1,404,454",63.13%
외식,,(주)끼니,"1,403,304",-54.06%
외식,,농부의마음,"1,395,435",산출불가
외식,,김영화부대찌개,"1,394,371",6.17%
외식,,한채쭈꾸미,"1,385,899",467.89%
외식,,(주)더나은에프앤디,"1,383,792","1,455.92%"
외식,,(주)안흥갈비,"1,375,634",-29.90%
외식,,(주)한경코퍼레이션,"1,360,428",-3.25%
외식,,(주)비에프푸드,"1,360,378",14.13%
외식,,㈜차차,"1,343,788",15.99%
외식,,(주)서민상회,"1,340,183",51.66%
외식,,(주)박앤박,"1,328,009",395.21%
외식,,(주)스타프렌차이즈,"1,319,902",135.73%
외식,,쉐프의연구소,"1,311,762",55.14%
외식,,(주)킴스브라더스,"1,309,168",521.08%
외식,,오빠막창,"1,285,853",85.21%
외식,,(주)톡에프앤비,"1,282,786",89.16%
외식,,할매손집밥,"1,273,722",699.05%
외식,,(주)조이에프앤비,"1,270,207",-29.65%
외식,,돼지영농후계자,"1,268,129",-21.23%
외식,,인동주마을,"1,230,086",12.87%
외식,,(주)마시명가,"1,228,814",95.48%
외식,,(주)더도이종가집,"1,224,642",26.85%
외식,,제이엠인터내셔널(주),"1,215,783",9.97%
외식,,(주)대가야,"1,200,317",-13.92%
외식,,(주)아이센스푸드,"1,198,293","2,599.04%"
외식,,(주)에이치엔푸드,"1,193,740","1,884.44%"
외식,,우진정육상회,"1,190,179",35.53%
외식,,(주)미식주,"1,185,790",3.80%
외식,,(주)류가본가,"1,182,749",-1.99%
외식,,(주)엠제이에프앤씨,"1,181,530",-27.49%
외식,,(주)늘보리에프앤씨,"1,180,021",5.19%
외식,,원에프씨(주),"1,173,049",-20.72%
외식,,(주)브라더푸드시스템,"1,169,144",251.43%
외식,,육화미,"1,168,399",산출불가
