업종(대),업종(중),상호,매출액,매출액증가율
외식,,서가네순대국,"501,760",86.08%
외식,,홈메이드푸드,"498,074",-35.54%
외식,,통큰오리착한삼겹,"490,959",-2.54%
외식,,(주)아이언미트,"490,406",-92.07%
외식,,(주)아이언가이즈,"490,406",-92.07%
외식,,대관령푸드,"488,927",-16.80%
외식,,어신코뎅이,"488,392",-1.62%
외식,,조바우가마솥추어탕,"487,524",-7.48%
외식,,(주)본앤쿡코리아,"487,432",-29.18%
외식,,(주)불여시팸,"486,783",52.14%
외식,,제주항통칼치,"482,962",산출불가
외식,,(주)제이오코리아월드,"479,635",산출불가
외식,,정상FC,"475,654",-34.24%
외식,,땡초닭발,"473,323",-12.93%
외식,,(주)야푸드,"470,992",314.26%
외식,,㈜마루바우,"470,970",110.51%
외식,,(주)신교령에프앤비,"470,782",-45.08%
외식,,(주)두리맛푸드,"467,253",-8.99%
외식,,해논산업1,"466,847",-12.19%
외식,,아부찌,"463,427",146.81%
외식,,(주)행복가득,"463,315",산출불가
외식,,전라도이야기,"462,740",6.85%
외식,,(주)포레스트에프앤디,"462,382",산출불가
외식,,BG푸드시스템,"462,344",181.00%
외식,,(주)쿡피플,"460,504",16.60%
외식,,(주)사랑담은,"457,967",-12.91%
외식,,(주)안가,"453,553",112.09%
외식,,도리연닭도리탕,"452,087",5.11%
외식,,일품정,"450,081",7.77%
외식,,(주)씨앤에이치코퍼레이션,"449,907",-30.69%
외식,,(주)미향에프엔비,"448,080",35.41%
외식,,(주)장보고푸드시스템,"446,085",124.80%
외식,,(주)좋은우리,"444,616",산출불가
외식,,(주)두남자컴퍼니,"442,567",-8.60%
외식,,수생목푸드,"442,121",-0.07%
외식,,청진동해장국,"436,631",24.70%
외식,,곱창이최고예요(수송본점),"436,575",산출불가
외식,,(주)동은에프엔씨,"435,700",-13.44%
외식,,다찜민락점,"435,351",9.08%
외식,,(주)고을식품,"435,240",6.20%
외식,,박가네푸드,"433,880",-19.90%
외식,,바보아재막창,"429,115",8.47%
외식,,콩밭뜰,"427,206",116.78%
외식,,(주)한상차림코다리명가,"424,845",산출불가
외식,,(주)피앤피아이앤씨,"424,838",25.90%
외식,,제이원푸드(주),"423,909",3.03%
외식,,해양산,"423,693",2.76%
외식,,마루앤F/D,"422,587",-8.99%
외식,,모던푸드,"421,942",40.04%
외식,,농업회사법인㈜진국본가,"417,821",19.43%
외식,,육소단,"417,155",63.64%
외식,,삼겹식당,"416,906",-40.80%
외식,,(주)웰미가베스트푸드,"415,522",-1.01%
외식,,(주)지케이홀딩스,"413,339",산출불가
외식,,크라운닭발,"412,703",산출불가
외식,,김선하의닭갈비,"410,400",10.55%
외식,,(주)심플맨,"404,433",-60.26%
외식,,(주)값진,"402,777",산출불가
외식,,(주)디저트팩토리,"398,837",-48.26%
외식,,리가든송천점,"397,402",산출불가
외식,,(주)믿고,"393,978",산출불가
외식,,신솔푸드,"392,744",464.95%
외식,,프랜차이즈새늘,"387,575",3.24%
외식,,(주)네오플레이트,"386,712",산출불가
외식,,(주)어업회사법인섬진강다슬기마을,"382,251",27.46%
외식,,국물집,"380,438",51.65%
외식,,(주)신우에프에스,"374,096",201.88%
외식,,(주)축제의나라,"373,559",28.39%
외식,,새벽네시반,"371,771",8.33%
외식,,맛모아식품,"371,046",2.91%
외식,,미코에프씨(주),"368,879",-56.17%
외식,,앗싸푸드,"368,129",250.83%
외식,,영산강오리탕,"367,743",24.68%
외식,,농업회사법인(주)장토,"367,209",-36.63%
외식,,식도락,"364,424",산출불가
외식,,미트준,"363,533",-7.16%
외식,,해방곱창전주본점,"359,943",70.23%
외식,,(주)비에프리테일,"358,027",산출불가
외식,,(주)왔따네푸드,"355,493",산출불가
외식,,서남식품,"355,235",-4.49%
외식,,(주)장수푸드,"350,071",53.13%
외식,,(주)명가람푸드,"348,668",산출불가
외식,,태연푸드(주),"348,174",산출불가
외식,,디오네푸드,"347,634",70.06%
외식,,티티씨에프,"346,596",68.46%
외식,,(주)송화컴퍼니,"345,422",328.64%
외식,,(주)토장원,"344,470",1.55%
외식,,(주)엔티,"343,272",산출불가
외식,,유황F&S,"342,855",41.71%
외식,,(주)착한푸드,"341,018",46.98%
외식,,불위에서노는닭,"341,017",-1.08%
외식,,국산특허마늘곱창막창,"340,065",-1.27%
외식,,마부육전스토리,"339,648",산출불가
외식,,(주)푸름,"339,535",산출불가
외식,,마시굿,"339,230",-38.39%
외식,,대박통,"333,827",3.93%
외식,,지배온에프앤씨,"318,576",-1.66%
외식,,자연감자탕,"313,709",31.83%
외식,,플라워푸드,"312,083",3.20%
외식,,(주)푸드프랜,"306,811",51.75%
외식,,(주)유엔아이에프씨,"304,749",312.54%
외식,,미소육화푸드시스템,"297,951",산출불가
외식,,장패체인사업본부,"297,133",-29.37%
외식,,수니열닭발,"296,387",62.47%
외식,,명동닭튀김,"294,882",199.73%
외식,,(주)더굿,"294,059",산출불가
외식,,씨앤오프렌차이즈(C&O프렌차이즈),"291,748",산출불가
외식,,지앤지푸드,"289,850",-0.42%
외식,,순탄고기,"289,273",산출불가
외식,,화를품은닭본점,"286,097",-11.88%
외식,,한울프랜차이즈,"283,738",-1.83%
외식,,조이박푸드,"283,171",산출불가
외식,,시루유통,"283,000",-14.35%
외식,,따띠(주),"281,336",산출불가
외식,,정통춘천닭갈비,"279,499",-33.28%
외식,,정갈한푸드,"276,256",산출불가
외식,,(주)자작나무형제들,"276,141",산출불가
외식,,동곡꽃게장,"276,018",-16.81%
외식,,낙곱새미장원,"275,503",9.30%
외식,,(주)장인푸드,"273,809",223.28%
외식,,조이식품,"273,740",-23.83%
외식,,고기대군,"272,701",산출불가
외식,,(주)조앤비컨설팅,"271,462",-29.10%
외식,,(주)펜톤,"266,545",-6.07%
외식,,미스터낙지,"265,956",-27.79%
외식,,씨앤에스푸드(C&SFOOD),"263,597",11.19%
외식,,(주)가마솥철마한우곰탕,"262,311",792.21%
외식,,(주)연우디자인,"257,773",-41.03%
외식,,(주)육콩푸드,"256,248",37.05%
외식,,본가어탕,"255,936",-6.21%
외식,,봉자막창,"255,871",산출불가
외식,,이안에에프앤비,"255,052",8.48%
외식,,아랑고기국수,"252,211",-22.17%
외식,,경원해물찜아구찜,"251,908",-16.03%
외식,,참한국밥,"249,512",산출불가
외식,,(주)엘알디케이,"248,432",산출불가
외식,,(주)새인,"246,424",168.04%
외식,,야곱293,"245,139",5.66%
외식,,강학구참국밥,"244,555",산출불가
외식,,도니스(주),"244,120",355.20%
외식,,셰프공간컴퍼니(주),"243,418",-41.90%
외식,,(주)백경푸드시스템,"243,254",5.48%
외식,,삼정코리아,"241,976",-26.05%
외식,,(주)티에스케이패밀리,"239,063",174.42%
외식,,오에이치,"236,364",산출불가
외식,,대패장사,"235,209",산출불가
외식,,윤미푸드,"234,937",18.96%
외식,,㈜미담누리,"234,021",510.96%
외식,,㈜두빛,"233,329",0.36%
외식,,수완다다미본점,"231,597",산출불가
외식,,제이앤푸드,"231,153",산출불가
외식,,(주)세신데코,"228,842",-82.73%
외식,,후푸드,"226,961",산출불가
외식,,메밀고개푸드(주),"226,586",10.95%
외식,,(주)친정,"224,509",산출불가
외식,,맛있는영자씨네,"223,706",-26.38%
외식,,(주)시골애,"221,962",-45.85%
외식,,(주)토향,"220,262",-13.74%
외식,,(유)더자반,"220,170",288.17%
외식,,케이더블유에프,"219,576",산출불가
외식,,(주)에스이컴퍼니,"219,572",48.12%
외식,,온천골푸드,"218,316",-31.20%
외식,,제이엠미트,"216,232",산출불가
외식,,(주)믹스쭈에프앤씨,"215,153",488.57%
외식,,(주)디에스푸드시스템,"214,598",133.15%
외식,,대왕보쌈식족발,"213,964",-6.61%
외식,,맛있는에프앤비(F&B),"212,908",-12.79%
외식,,(주)한국인,"205,611",산출불가
외식,,본앤본(주),"205,019",-39.07%
외식,,기린더매운갈비찜,"203,667",26.68%
외식,,(주)포앤씨,"202,108",211.79%
외식,,맛존매콤닭불고기,"201,638",0.18%
외식,,(주)접시고기,"198,513",산출불가
외식,,병만네닭갈비,"198,512",-16.37%
외식,,남궁가족발보쌈,"196,537",산출불가
외식,,(주)공존컴퍼니,"195,236",174.31%
외식,,(주)한국에프앤디,"192,884",161.25%
외식,,착한맘굿쉐프,"192,794",453.91%
외식,,(주)진고집,"192,263",-52.37%
외식,,(주)첨성대,"190,218",28.01%
외식,,해물감자탕,"190,080",-8.66%
외식,,유한회사번지농장푸드,"189,447",산출불가
외식,,(주)은태에프앤비,"188,202",산출불가
외식,,(주)더불어함께하는세상,"187,842",-32.55%
외식,,(주)문래돼지불백,"185,878",40.54%
외식,,(주)갈비꽃,"184,808",-37.01%
외식,,(주)순희에프앤비,"182,731",-44.15%
외식,,유니버셜에프엔씨(주),"178,538",산출불가
외식,,(주)세계네트웍스,"177,675",산출불가
외식,,(주)비어프랜드,"176,463",산출불가
외식,,해장옥(주),"175,157",-56.85%
외식,,제이에스(JS)대원식품,"175,012",산출불가
외식,,에스디에이치푸드,"174,909",산출불가
외식,,(주)라투코리아,"174,037","1,585.10%"
외식,,(주)한울김치도가,"172,116",산출불가
외식,,(주)제이에스와이푸드,"171,740",산출불가
외식,,(주)빨간병아리푸드,"171,502",산출불가
외식,,육식주위에프앤비(주),"168,242",산출불가
외식,,(주)돼지코푸드,"167,648",556.31%
외식,,(주)에이치지푸드,"167,185",179.08%
외식,,떡공방다락,"166,361",0.63%
외식,,명태골,"164,792",11.13%
외식,,(주)낙지볶음개미집,"163,700",-81.42%
외식,,남산에프앤씨,"163,442",-2.84%
외식,,꽃길따라한식비빔밥전문점,"162,481",산출불가
외식,,(주)미화에프앤비,"162,098",산출불가
외식,,(주)올어바웃푸드,"161,327",-2.26%
외식,,(주)노마세야컴퍼니,"160,122",-26.29%
외식,,더화통,"158,819",산출불가
외식,,(주)열선수푸드,"155,869",-32.53%
외식,,(주)일오삼에프씨,"152,308",산출불가
외식,,(주)참편한칭구,"147,509",산출불가
외식,,젠틀푸드,"146,254",산출불가
외식,,두부품은육개장,"145,511",산출불가
외식,,(주)원두프,"144,934",산출불가
외식,,(주)와이에프앤씨글로벌,"143,705",103.41%
외식,,청.해.신,"143,249",산출불가
외식,,(주)와우에프앤에스,"142,728",산출불가
외식,,(주)타임에프앤씨,"141,237",-39.31%
외식,,㈜공존,"140,088",-34.44%
외식,,백락촌,"139,916",-39.53%
외식,,(주)제이씨씨푸드,"138,673",-36.95%
외식,,(주)지엔푸드,"138,471",산출불가
외식,,태성수산,"136,503",산출불가
외식,,일호협동조합,"135,860",46.58%
외식,,꿈을삶는사람들,"135,124",산출불가
외식,,(주)경청에프씨,"134,315",14.30%
외식,,(주)팀웍앤비,"133,352",13.01%
외식,,㈜숯겹살,"133,313",-50.86%
외식,,푸드플러스코리아(주),"131,350",-33.72%
외식,,(주)신진성에프앤비,"131,111",-9.15%
외식,,양마니푸드,"129,657",-13.74%
외식,,대민족,"128,304",산출불가
외식,,(주)비알비에프앤비,"127,501",산출불가
외식,,신선푸드,"127,289",산출불가
외식,,올림엔터프라이즈(OLIMENTERPRISE),"126,864",산출불가
외식,,(주)더조은에프앤비,"125,596",산출불가
외식,,(주)포피플,"125,326",산출불가
외식,,(주)디딤,"125,265",29.12%
외식,,(주)남다름,"123,834",산출불가
외식,,(주)만파식적,"123,654","12,022.94%"
외식,,천사꾸지뽕무한리필,"123,606",산출불가
외식,,(주)신근식푸드,"122,009",산출불가
외식,,막창뚱이,"121,377",산출불가
외식,,(주)프랜몬스터,"118,437",421.22%
외식,,(주)줄벼락,"117,391",산출불가
외식,,(주)마이다스손컴퍼니,"115,594",산출불가
외식,,(주)지니어스,"114,786",42.23%
외식,,(주)소래버섯,"114,702",-5.99%
외식,,쉐프돼지,"113,927",-33.75%
외식,,시래푸드식품,"113,020",-60.89%
외식,,(주)두꺼비에프앤비,"111,663",136.14%
외식,,(주)이동진꼬끼오닭개장,"111,313",산출불가
외식,,태평원(주),"111,133","1,767.78%"
외식,,선한푸드(善韓),"110,536",-22.64%
외식,,(주)국밥쟁이,"110,093",산출불가
외식,,D.RHOLDINGS,"108,898",18.87%
외식,,대신푸드,"107,928",-4.41%
외식,,밥하기싫은날,"103,277",산출불가
외식,,(주)엠브로컴퍼니,"102,147",50.04%
외식,,아라가야냉면석쇠불고기,"96,544",-1.76%
외식,,와이엠씨푸드,"96,445",-14.48%
외식,,(주)호수코리아,"96,135",산출불가
외식,,(유)지민,"95,821",산출불가
외식,,(주)바인에프씨,"93,874",-44.55%
외식,,(주)에프씨봉대박,"91,114",-30.74%
외식,,다감,"90,796",-22.73%
외식,,(주)락원에프앤비,"89,715",산출불가
외식,,홍은이,"88,957",산출불가
외식,,(주)제이엠케이에스,"88,616",28.03%
외식,,(주)케이씨앤컴퍼니,"87,420",산출불가
외식,,(주)솔푸드,"85,737",233.70%
외식,,(주)더원에프엔비,"85,221",산출불가
외식,,미스터쭝,"78,588",산출불가
외식,,와이제푸드,"75,660",산출불가
외식,,(주)상상구르메,"73,323",-82.00%
외식,,(주)사나이에프씨,"72,796",-49.61%
외식,,제이코퍼레이션유한책임회사,"70,792",산출불가
외식,,꾼컴퍼니,"69,672",산출불가
외식,,(주)애드쉐어,"69,192",-66.36%
외식,,(주)유앤아이컴즈,"66,392",-57.56%
외식,,조선38육개장,"66,213",-17.37%
외식,,(주)오아시스에프앤비,"65,219",-78.11%
외식,,(주)명성에프앤비,"64,697",79.85%
외식,,산방에프앤비(주),"62,572",산출불가
외식,,우리안,"61,107",-32.43%
외식,,중앙식품,"60,225",산출불가
외식,,(주)최배달,"59,294",산출불가
외식,,(주)고민하는사람들,"58,835",산출불가
외식,,만호F&B,"58,441",산출불가
외식,,하나에프앤비,"57,774",-68.81%
외식,,한여사에프앤비(F&B),"57,594",-75.13%
외식,,(주)리안,"56,334",-33.43%
외식,,지에프케이,"49,635",산출불가
외식,,(주)비케이컴퍼니,"47,709",산출불가
외식,,베이직푸드(주),"45,954",92.33%
외식,,(주)뉴월드퓨처,"44,489",-44.37%
외식,,(주)해물꽃돈,"43,783",산출불가
외식,,(주)에스이엔에프씨,"43,084",산출불가
외식,,(주)금표에프앤씨,"42,946",산출불가
외식,,위드유(WITHYOU)홈외식,"40,642",산출불가
외식,,(주)더맛,"40,124",산출불가
외식,,(주)제이푸드,"39,241",산출불가
외식,,(주)한마당,"39,181",산출불가
외식,,모박사본점,"37,200",-37.06%
외식,,(주)피와이피에프앤비,"36,770",산출불가
외식,,(주)더광일푸드,"35,963",산출불가
외식,,(주)본가에프앤비,"35,181",245.79%
외식,,유한책임회사다짐에프엔비,"34,572",-54.34%
외식,,(주)둘레쿡스,"34,493",산출불가
외식,,(주)엠디에프시파트너스,"34,053",58.51%
외식,,직화삼겹통,"31,354",산출불가
외식,,(주)오남매푸드,"29,385",산출불가
외식,,(주)제주앤코리아,"28,233",산출불가
외식,,(주)푸른푸드,"27,886",4.01%
외식,,(주)생돈우리,"26,551",-19.46%
외식,,와인컴퍼니,"26,155",산출불가
외식,,(주)하늘샘,"26,071",24.15%
외식,,우리식품,"25,899",산출불가
외식,,(주)찌니호야프랜드,"25,285",산출불가
외식,,솔담,"25,231",-44.98%
외식,,무봉리토종순대국체인본부,"24,545",-42.55%
외식,,(주)한상바오,"24,203",산출불가
외식,,(주)양우돈,"23,250",산출불가
외식,,더만족,"22,763",-86.33%
외식,,(주)뿌리와열매,"22,170","1,034.60%"
외식,,(주)수에프씨,"21,931",-53.68%
외식,,(주)문창식,"21,165",-1.22%
외식,,신정만국밥,"19,623",산출불가
외식,,큰돈쪽쪽갈비,"19,090",-82.26%
외식,,와이지유통,"17,550",산출불가
외식,,(주)케이지컴퍼니,"17,142",산출불가
외식,,(주)더황금푸드,"12,531",산출불가
외식,,(주)펀투비위드,"12,020",-70.05%
외식,,태삼(꾸이점빵),"10,237",산출불가
외식,,장만호에프씨협동조합,"10,136",산출불가
외식,,(주)이에스로지스틱스,"10,000",산출불가
외식,,아침의부엌,"9,849",산출불가
외식,,(주)라온유통,"9,374",산출불가
외식,,(주)쎌빠,"9,075",-18.18%
외식,,(주)맛있는수다,"8,884",-57.45%
외식,,누렁소숯불,"8,718",산출불가
외식,,그놈포차본점,"8,134",산출불가
외식,,미인푸드,"7,975",-65.65%
외식,,(주)통큰가족,"7,828",산출불가
외식,,(주)현쿡,"7,469",산출불가
외식,,밥상편지푸드,"5,063",산출불가
외식,,다사라에프엔비(F&B),"4,298",산출불가
외식,,(주)영주본푸드,"4,009",산출불가
외식,,양가에프앤비,"3,600",산출불가
외식,,아수라불닭발,"2,924",산출불가
외식,,(주)감칠맛,"2,000",산출불가
외식,,푸드마스터트레이딩(FMT),"2,000",산출불가
외식,,목연식당(주),"1,500",-91.18%
외식,,(주)브랜드그라운드,925,산출불가
외식,,지에이치컴퍼니,640,산출불가
외식,,㈜든든컴퍼니,500,산출불가
외식,,(주)씨제이디푸드시스템,0,-100.00%
외식,,(주)장인공방,0,산출불가
외식,,(주)돕,0,-100.00%
외식,,(유)토암,0,산출불가
외식,,(주)옹아리제이에스유통,0,-100.00%
외식,,(주)한고집,0,산출불가
외식,,(주)피디에스컴퍼니,0,-100.00%
외식,,(주)씨티오푸드인터내셔날,0,산출불가
외식,,(주)음식의전당,0,산출불가
외식,,(주)한울,0,-100.00%
외식,,(주)성가,0,산출불가
외식,,햇잎푸드(주),0,산출불가
외식,,강푸드,0,-100.00%
외식,,(주)이여,0,산출불가
외식,,이수푸드빌,0,산출불가
외식,,(주)명진푸드,0,-100.00%
외식,,㈜소부상회,0,-100.00%
외식,,(주)아이에프그룹,0,-100.00%
외식,,(주)조은세상에프엔씨,0,-100.00%
외식,,(주)포트리스,0,-100.00%
외식,,보승FC,0,-100.00%
외식,,(주)다담푸드,0,-100.00%
외식,,브라더푸드,0,-100.00%
외식,,(주)음식생각,0,-100.00%
외식,,(주)뜸들이다,0,산출불가
외식,,(주)와이즈페이퍼,0,산출불가
외식,,(주)엠디엠,0,-100.00%
외식,,(주)지디프랜차이즈,0,산출불가
외식,,솔든코리아,0,산출불가
외식,,(주)더브로즈,0,산출불가
외식,,수촌마을체인본부,0,산출불가
외식,,(주)더하다F&C,0,산출불가
외식,,(주)해밭식품,0,산출불가
외식,,(주)오늘애,0,산출불가
외식,,칠성발효묵은지,0,산출불가
외식,,(주)티온,0,산출불가
외식,,(주)나라찬에프엔비,0,산출불가
외식,,(주)효자푸드,0,산출불가
외식,,(주)엔터글로벌코리아,0,산출불가
외식,,고씨네고추장찌개,0,산출불가
외식,,(주)곽일품농부산촌,0,산출불가
외식,,콩뿌리프랜차이즈(주),0,산출불가
외식,,(주)신송자신마산,0,산출불가
외식,,(주)예스아이엠패밀리,0,산출불가
외식,,(주)리더스에프앤비,0,산출불가
외식,,골든키본,0,산출불가
외식,,(주)제주소나이,0,산출불가
외식,,라온우리협동조합,0,산출불가
외식,,(주)이대감에프앤비,0,산출불가
외식,,집밥e선생,0,산출불가
외식,,(주)제이스21,0,산출불가
외식,,(주)9라파컴퍼니,0,산출불가
외식,,(주)이랜드이츠,0,산출불가
외식,,(주)정일,0,산출불가
외식,,구백가(900家),0,산출불가
외식,,(주)노다웃에프앤비,0,산출불가
외식,,(주)다가본,0,산출불가
외식,,(주)하나에프씨,0,-100.00%
외식,,(주)오투스페이스,"20,213,245,330","97,087.27%"
외식,,(주)더본코리아,"120,090,805",-32.39%
외식,,(주)놀부,"71,633,984",-17.39%
외식,,해피브릿지협동조합,"50,383,318",-1.99%
외식,,(주)소디프비앤에프,"42,097,697",3.30%
외식,,신전푸드시스,"40,874,380",12.03%
외식,,명랑시대외식청년창업협동조합,"37,483,226",9.73%
외식,,(주)에스에프이노베이션,"35,962,885",-7.83%
외식,,(주)아이더스코리아,"31,243,618",85.79%
외식,,(주)이삭,"30,875,707",11.75%
외식,,(주)다른,"28,854,720",94.56%
외식,,(주)에땅,"27,585,060",-15.15%
외식,,(주)죠스푸드,"24,126,327",-4.90%
외식,,(주)바르다김선생,"21,241,787",9.54%
외식,,(주)마마스푸드,"19,548,114",-6.74%
외식,,(주)얌샘,"18,198,126",-10.49%
외식,,(주)한경기획,"17,798,655",55.75%
외식,,(주)나도람에프씨,"16,226,219",-9.57%
외식,,(주)비피알,"12,618,374",-21.50%
외식,,(주)푸드엠코리아,"12,453,449",26.00%
외식,,(주)기영에프앤비,"12,323,496",87.43%
외식,,(주)명인에프엔비,"11,910,410",6.22%
외식,,(주)카모메호스피탈리티그룹,"11,297,300",6.71%
외식,,(주)아이언가이즈,"10,664,027",72.50%
외식,,(주)호경에프씨,"10,419,968",-17.57%
외식,,(주)위드인푸드,"10,371,706",39.83%
외식,,씨지에프(주),"10,165,392",41.16%
외식,,(주)에이티컴퍼니,"10,062,095",6.69%
외식,,(유)신포우리식품,"9,927,631",-5.65%
외식,,(주)에스엘에프앤비,"9,527,545",22.57%
외식,,(주)금해코리아,"9,331,768",145.31%
외식,,(주)오색만찬,"8,900,778",-11.01%
외식,,(주)해피룸,"8,881,200",-28.31%
외식,,(주)쿡앤리빙,"8,635,377",10.12%
외식,,(주)푸름에프앤에스,"7,507,132",-10.45%
외식,,(주)오버플로우,"7,323,561",226.18%
외식,,(주)로봇에프앤비,"7,154,602",-13.93%
외식,,(주)잇츠어스,"6,980,567",69.76%
외식,,(주)와이에프엔씨,"6,824,148",-4.13%
외식,,(주)고반에프앤비,"6,573,243",26.47%
외식,,(주)에쓰와이프랜차이즈,"6,546,932",-18.38%
외식,,(주)빌라드,"6,262,103",30.72%
외식,,(주)지피에프씨,"6,160,390",31.60%
외식,,(주)훌랄라,"6,114,145",-8.43%
외식,,(주)웰빙을만드는사람들,"5,658,761",1.27%
외식,,(주)에이치앤비푸드,"5,354,349",36.78%
외식,,(주)육칠팔,"5,350,545",-33.85%
외식,,(주)오마뎅,"5,310,073",29.89%
외식,,(주)핵가족,"5,256,298",-9.66%
외식,,(주)보성커머스,"5,245,449",2.11%
외식,,가메골푸드㈜,"5,176,448",-25.51%
외식,,(주)이플푸드,"4,973,618",0.32%
외식,,(주)아리랑에프앤비,"4,855,311",-4.75%
외식,,(주)에스지푸드,"4,792,799",19.53%
외식,,(주)신참에프앤씨,"4,783,845",8.57%
외식,,(주)에버리치에프앤비,"4,749,215",-2.80%
외식,,(주)부엉이에프엔비,"4,720,903",32.18%
외식,,(주)미트더석세스,"4,530,059",-7.38%
외식,,(주)우리동네에프앤비,"4,371,230",16.85%
외식,,(주)그루나무,"4,367,305",58.58%
외식,,(주)엘에이치지,"4,114,711",6.46%
외식,,(주)오엠푸드,"4,047,315",43.45%
외식,,(주)미성에프앤씨,"3,942,694",-2.94%
외식,,(주)누들앤푸드,"3,545,932",30.09%
외식,,(주)솔트앤슈가,"3,511,767",19.76%
외식,,(주)수철에프앤비,"3,505,643",-14.87%
외식,,(주)피자헤븐코리아,"3,476,281",-6.57%
외식,,(주)바인인터내셔날,"3,469,186",-11.00%
외식,,두레푸드,"3,463,678",9.76%
외식,,(주)용마을,"3,239,356",-10.14%
외식,,(주)봉원에프앤비,"3,228,575",-26.84%
외식,,(주)지엔에스올떡,"3,146,982",-92.49%
외식,,(주)씨앤푸드스토리,"3,130,592",-3.10%
외식,,(주)비케이홀딩스,"3,122,192",18.34%
외식,,(주)다이닝팩토리,"3,085,411",53.06%
외식,,(주)제이에이치푸드시스템,"3,000,466",-21.73%
외식,,(주)와이엔비푸드,"2,948,450",840.48%
외식,,(주)장상궁,"2,763,784",14.85%
외식,,(주)제이엠푸드,"2,741,764",-24.52%
외식,,(주)원스에프엔비,"2,725,508",-3.68%
외식,,(주)인화에프엔비,"2,709,144",149.68%
외식,,(주)애플김밥,"2,707,013",3.00%
외식,,(주)푸드앤푸레쉬,"2,651,853",-14.72%
외식,,(주)삼봉,"2,562,813",-11.03%
외식,,(주)엔에이치에프,"2,517,140",-6.58%
외식,,(주)퍼스트에이엔티,"2,448,662",-62.10%
외식,,(주)오옛떡,"2,431,079",835.52%
외식,,(주)빅브라더,"2,419,367",64.73%
외식,,(주)보영,"2,205,911",132.14%
외식,,(주)마리킹,"2,204,028",1.21%
외식,,(주)반장푸드,"2,157,987",-12.21%
외식,,(주)브라운에프앤씨,"2,127,574",36.25%
외식,,맛있는놀이터외식사업부(주),"2,089,715",-4.32%
외식,,(주)참조은,"2,078,449",15.68%
외식,,알리바바파트너스(주),"2,048,113",108.42%
외식,,다우에프앤비(주),"2,030,576",130.26%
외식,,(주)원더파트너스,"1,997,538",102.27%
외식,,이심전심(주),"1,906,888",23.22%
외식,,(주)봉화산푸드,"1,878,798",-22.23%
외식,,우럼마에프앤디,"1,860,670",8.48%
외식,,(주)다우림푸드,"1,784,074",-21.18%
외식,,(주)남강푸드시스템,"1,730,676",0.57%
외식,,㈜사이드쇼,"1,718,305",-7.19%
외식,,(주)알피,"1,697,185",-11.46%
외식,,(주)통영청정에프앤비,"1,638,521",18.65%
외식,,(주)찰스푸드,"1,602,223",-13.55%
외식,,(주)구연시스템,"1,570,389",26.49%
외식,,(주)갑원에프에스,"1,547,582",31.57%
외식,,(주)티에스에프엔씨,"1,541,822",-25.88%
외식,,(주)그랜드비스타,"1,522,663",133.28%
외식,,(주)이엔에프컴퍼니,"1,506,340",180.78%
외식,,스타덤블링,"1,494,665",20.42%
외식,,(주)자력갱생,"1,493,189",464.28%
외식,,(주)분식이,"1,492,188",138.90%
외식,,(주)기용,"1,450,007",107.77%
외식,,공공식품,"1,435,676",-25.70%
외식,,(주)아딸,"1,426,480",-24.55%
외식,,형네가게,"1,416,764",46.41%
외식,,(주)북문로키친,"1,349,987",-39.54%
외식,,(주)푸드테이너컴퍼니,"1,337,262",산출불가
외식,,(주)대원어묵,"1,275,109",70.48%
외식,,장호덕손만두,"1,265,022",-22.11%
외식,,히노아스카(주),"1,235,410",112.62%
외식,,(주)스쿨스토어,"1,215,884",-25.84%
외식,,(주)성하식품,"1,199,223",22.86%
외식,,(주)우분트,"1,188,746",55.59%
외식,,(주)제이투케이에프앤비,"1,153,372",166.82%
외식,,인정푸드시스템,"1,136,922",산출불가
외식,,(주)해밀코리아,"1,052,583",5.70%
외식,,(주)오래오래푸드,"1,036,989",산출불가
외식,,(주)오픈스카이앤귀일,"1,019,612",387.77%
외식,,(주)동산만두,"990,289",12.00%
외식,,(주)이노레시피,"959,633",-42.33%
외식,,(주)보용에프앤씨,"955,551",-20.82%
외식,,(주)물과소금,"936,586",86.16%
외식,,(주)오정은,"934,152",3.11%
외식,,(주)미단푸드,"917,765",162.93%
외식,,하늘아래(주),"905,435",526.84%
외식,,(주)브라더푸드,"901,113",471.74%
외식,,(주)와이더잇,"841,057",-0.20%
외식,,(주)덕자네방앗간,"837,664",-24.47%
외식,,다올에프엔씨,"806,867",0.36%
외식,,(주)더블유엔씨,"792,118",산출불가
외식,,㈜바로푸드,"791,810",산출불가
외식,,(주)케이프렌즈,"758,858",-16.37%
외식,,(주)시현2014,"732,162",산출불가
외식,,(주)오리엔트푸드,"708,167",38.14%
외식,,(주)위대한,"693,383",59.92%
외식,,(주)무테키야,"673,628",-11.71%
외식,,(주)마성떡볶이,"665,054",210.31%
외식,,(주)틈새상사,"664,507",-3.72%
외식,,이공비빔국수왕돈까스,"645,142",-2.79%
외식,,마약떡볶이,"640,331",248.51%
외식,,(주)쉐프마인드,"639,074",118.54%
외식,,㈜미미고,"633,695",40.77%
외식,,유자유김치떡볶이,"623,782",산출불가
외식,,(주)혜성푸드빌,"619,653",35.71%
외식,,어우리,"611,399",69.19%
외식,,(주)미셰프,"610,074",304.70%
외식,,(주)한입소반,"556,851",산출불가
외식,,(주)행길,"549,621",2.75%
외식,,(주)이쉐프코리아,"540,134",-18.64%
외식,,일품백송칼국수,"525,039",51.32%
