브랜드,상호,창업비용
찡오언니,찡오언니본점,"35,430
(0.67)"
나눔(Na Num)한끼 애(愛)·찬(饌),대정나눔유통(주),"30,000
(0.57)"
박향희김,농업회사법인한백식품(주),"24,600
(0.47)"
로즈애플(ROSE APPLE),(주)로즈애플,"22,000
(0.42)"
꽃누리,한국화원협동조합연합회,"362
(0.01)"
평균,-,"86,355
(1.00)"
잇다가게X셰프반찬,(주)페이즈커뮤,"174,100
(2.02)"
정관장,(주)한국인삼공사,"159,800
(1.85)"
진삼가,(주)진삼,"133,890
(1.55)"
약석원,(주)약석원농업회사법인,"117,331
(1.36)"
해콩,해콩,"110,660
(1.28)"
초록마을,(주)초록마을,"108,448
(1.26)"
진성엽의 진가네반찬,(주)진가네,"88,450
(1.02)"
착한차가,(주)착한차가,"88,200
(1.02)"
삼대인,백제홍삼(주),"86,120
(1.00)"
삼마5쾌,(주)삼마,"80,000
(0.93)"
한삼인,(주)농협홍삼,"79,840
(0.92)"
허브앤씨드(Herbs&Seeds),허브앤씨드(Herbs&Seeds),"65,250
(0.76)"
간식여왕,간식여왕,"47,200
(0.55)"
현미마을,(주)현미마을,"42,470
(0.49)"
집쿡마켓,(주)디딤,"38,200
(0.44)"
홍삼나라,홍삼나라(주),"37,200
(0.43)"
방콕,㈜바로푸드,"10,890
(0.13)"
에코푸드시스템,(주)에코푸드시스템,"0
(0.00)"
평균,-,"180,122
(1.00)"
텃밭,(주)텃밭,"808,226
(4.49)"
롯데슈퍼,롯데쇼핑(주),"416,490
(2.31)"
Olive Young(올리브영),씨제이올리브영(주),"308,300
(1.71)"
삼촌네슈퍼마켓,삼촌네협동조합,"202,600
(1.12)"
어반리빙,우리디자인,"188,900
(1.05)"
지에스수퍼마켓(GS수퍼마켓),(주)지에스리테일,"143,000
(0.79)"
롯데마켓999(LOTTE market999),롯데쇼핑(주),"140,300
(0.78)"
애니멀고,(주)애니멀고,"114,500
(0.64)"
랄라블라,(주)지에스리테일,"113,000
(0.63)"
국민간식333,(주)국민간식333,"70,720
(0.39)"
네이처컬렉션,(주)더페이스샵,"67,376
(0.37)"
수수아비(B),(주)바구니,"45,650
(0.25)"
펫클럽,(주)펫클럽,"44,280
(0.25)"
싸군Market,싸군마켓,"31,500
(0.17)"
게이트원 스터디카페,(주)에이와그라운드,"7,000
(0.04)"
평균,-,"139,455
(1.00)"
에이스하드웨어,(주)유진홈센터,"4,346,200
(31.17)"
노브랜드,(주)이마트,"745,300
(5.34)"
홈플러스익스프레스,홈플러스(주),"573,400
(4.11)"
푸드머스(KIDS),(주)푸드머스,"492,500
(3.53)"
이마트에브리데이,(주)이마트에브리데이,"479,035
(3.44)"
식스에비뉴,(주)부흥,"440,920
(3.16)"
딩동,제이디아이엔씨(주),"426,800
(3.06)"
오피스알파,알파(주),"398,500
(2.86)"
푸드머스(SL),(주)푸드머스,"381,500
(2.74)"
다이소,(주)아성다이소,"377,300
(2.71)"
판다팜,(주)판다팜,"373,000
(2.67)"
푸드머스(Health & Care),(주)푸드머스,"370,500
(2.66)"
한토이,(주)한국토이즈,"365,300
(2.62)"
오피스넥스(officenex),(주)오피스넥스,"355,200
(2.55)"
반조애(VANZOE),(주)더셀렉티브,"317,560
(2.28)"
드림디포,(주)드림디포,"314,920
(2.26)"
데일리와인,(주)데일리마켓,"313,300
(2.25)"
미니골드,(주)혼,"294,500
(2.11)"
더펫(The Pet),(주)티피코리아,"294,300
(2.11)"
아트박스(ARTBOX),(주)아트박스,"291,600
(2.09)"
맘스맘,(주)맘스맘,"284,587
(2.04)"
앵거스박(Anguspark),(주)피엠플레이스,"282,800
(2.03)"
앵거스박(Anguspark),(주)피엠플레이스,"282,800
(2.03)"
로즈데코,로즈데코,"280,500
(2.01)"
미니소,(주)퍼스트인사이트,"274,350
(1.97)"
이노메싸,(주)이노메싸,"271,700
(1.95)"
벤자민무어페인트(Benjamin Moore Paints),한국벤자민무어페인트(주),"260,100
(1.87)"
다르지오(DARUGIO),(주)다르지오,"257,500
(1.85)"
풀무원(냉장),풀무원식품(주),"222,600
(1.60)"
오피스디포(Office DEPOT),(주)오피스디포코리아,"221,050
(1.59)"
펍큐(PUBCUE),(주)라이또에프앤씨,"217,500
(1.56)"
캐틀하우스,(주)탑브릿지,"212,950
(1.53)"
디씨90안경,디씨90안경체인(주),"212,300
(1.52)"
자연드림,(주)농업법인쿱스토어,"209,141
(1.50)"
모든오피스,(주)모든오피스,"204,600
(1.47)"
드림오피스,(주)드림오피스,"201,506
(1.44)"
렌즈페이스(LENSFACE),한샘스타즈(주),"201,000
(1.44)"
아프리카(AFRICA),(주)아프리카,"198,100
(1.42)"
커버박스,(주)커버박스,"188,900
(1.35)"
풀무원(냉동),풀무원식품(주),"180,800
(1.30)"
펫마트,(주)선진펫,"178,500
(1.28)"
멜랑주,제이앤비(J&B)하우스,"177,850
(1.28)"
알파,알파(주),"177,000
(1.27)"
빙고샵,(주)에스디푸드빙고샵,"176,870
(1.27)"
생활애,좋은세상협동조합,"172,345
(1.24)"
보리네 엠플러스,보리네협동조합,"168,790
(1.21)"
스위스,(주)보화스위스,"168,260
(1.21)"
라치나타,(주)라치나타코리아,"164,500
(1.18)"
박승철위그스투디오,(주)박승철위그랩,"163,120
(1.17)"
아이꿈터,(주)아이꿈터,"160,200
(1.15)"
락앤락플러스(LOCK&LOCK PLUS),(주)락앤락,"160,000
(1.15)"
라프라스(LAPLAS),(주)라프라스,"157,700
(1.13)"
