업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,상상블럭,(주)플레이타임그룹,2014-06-18,6년  6개월
,,블럭버스,(주)다솔코리아,2009-03-06,11년  9개월
,,타요키즈카페,(주)플레이스원,2013-04-24,7년  8개월
,,플레이타임,(주)플레이타임그룹,2001-03-12,19년  9개월
,,짐보리플레이앤뮤직,(주)짐월드,1993-02-01,27년  10개월
,,렘포레(Lamfore),렘포레인재개발연구소,2014-08-28,6년  4개월
,,오르다코리아,(주)오르다코리아,1994-12-01,26년  0개월
,,똑똑블럭,(주)플레이타임그룹,2014-06-18,6년  6개월
,,위즈아일랜드,(주)교원위즈,2003-12-01,17년  0개월
,,맘앤맘마,맘앤맘마,2016-09-19,4년  3개월
,,헬로밀가루,헬로밀가루본사,2017-05-10,3년  7개월
,,키즈스포츠클럽챔피언,(주)플레이타임그룹,2014-12-16,6년  0개월
,,애플트리,(주)플레이타임그룹,2007-09-13,13년  3개월
,,슈슈봉봉,(주)슈슈봉봉프렌즈,2016-07-18,4년  5개월
,,상상노리,(주)플레이타임그룹,2011-10-07,9년  2개월
,,상상스케치,(주)플레이타임그룹,2014-12-15,6년  0개월
,,큐리프리미엄키즈카페,(주)케이아이피엔터테인먼트,2019-04-04,1년  8개월
,,블럭앤퍼즐애플,(주)플레이타임그룹,2014-07-21,6년  5개월
,,모넬로(MONELLO),(주)다담에프엔에스,2017-10-10,3년  2개월
,,슈퍼윙스키즈카페,(주)키즈코리아,2017-07-06,3년  5개월
,,스위밍 키즈,유한회사스위밍키즈,2017-06-01,3년  6개월
,,베이비엔젤스,(주)플레이타임그룹,2013-08-01,7년  4개월
,,미니특공대테마파크,(주)큐브스튜디오,2017-11-23,3년  1개월
,,뽀로로파크,(주)뽀로로파크,2012-03-11,8년  9개월
,,구름빵 플레이타임,(주)플레이타임그룹,2013-08-01,7년  4개월
,,프레리 키즈카페,(주)루치아컴퍼니,2018-06-29,2년  6개월
,,노리 디지털키즈카페,(주)크리스피,2019-07-25,1년  5개월
,,원더볼즈 플레이파크,(주)원더브라더스(WonderBrothers),2015-06-24,5년  6개월
,,베스트키즈,(주)서울랜드,2016-12-10,4년  0개월
,,어울놀이,(주)빅맨,2019-07-01,1년  5개월
,,딸기가좋아,(주)미래엔에듀케어,2014-05-01,6년  7개월
,,키&주파크,(주)플루션,2019-06-05,1년  6개월
,,삐삐하우스,(주)다솔코리아,2009-03-06,11년  9개월
,,키즈사이언스,(주)플레이타임그룹,2005-09-08,15년  3개월
,,더가루,더가루,2016-09-02,4년  3개월
,,쁘띠몽드(PETITMONDE),아이조은(주),2018-08-30,2년  4개월
,,영재들의오후학교,(주)임서영영재교육연구소,--,0년  0개월
,,베베궁,(주)베베궁,2002-10-01,18년  2개월
,,시크릿쥬쥬&또봇 프리미엄키즈카페,(주)열린사람들,2017-12-01,3년  0개월
,,렌쥴리위즈,(주)렌쥴리에듀테인먼트,--,0년  0개월
,,와글아이,(주)아이들,--,0년  0개월
,,키즈카페 키즈몬,(주)케이앤엠파트너스,--,0년  0개월
,,콩순이키즈카페,(주)열린사람들,2020-07-13,0년  5개월
,,베베드클린,(주)베베드클린,--,0년  0개월
,,오감캐슬,해담교육,2013-12-31,7년  0개월
,,해피타임,(주)플레이타임그룹,2009-09-01,11년  3개월
,,베라키즈,(주)베라,2010-02-01,10년  10개월
,,The Swan(더스완),더스완(Theswan),--,0년  0개월
,,홈오감놀이 노리들노리쌤,노리노리,2018-12-15,2년  0개월
,부동산중개,평균,-,-,6년  10개월
,,리맥스,(주)리맥스코리아,2014-01-01,6년  11개월
,,센추리21,(주)센추리21코리아,2018-04-20,2년  8개월
,,엠브이피빌딩닷컴,엠브이피빌딩중개프랜차이즈(주),2009-12-01,11년  0개월
,,킹스마겐,킹스마겐글로벌(주),--,0년  0개월
,,에이스합동공인중개사사무소,에이스합동공인중개사사무소,--,0년  0개월
,임대,평균,-,-,3년  4개월
,,플랜트,(주)플랜트스터디카페,2017-10-01,3년  2개월
,,플스빌,더캠트사업본부,2018-01-13,2년  11개월
,,열공스터디카페,(주)열공스터디카페,2017-10-10,3년  2개월
,,이랑한복,이랑한복,2017-07-01,3년  5개월
,,알파박스(ALPHABOX),알파박스,2017-07-22,3년  5개월
,,키친42,(주)시그널,2019-09-01,1년  3개월
,,더프라자골프스튜디오,(주)더프라자,--,0년  0개월
,,모두의 주방,(주)모두벤쳐스,--,0년  0개월
,,GARAGE KITCHEN(개러지키친),(주)개러지키친,--,0년  0개월
,,쏘플 파티룸,(주)소셜패밀리,--,0년  0개월
,,KITCHEN WORKS(키친웍스),(주)에스앤엘웍스,--,0년  0개월
,,피크닉109,씨제이컨설팅(주),2020-03-01,0년  9개월
,,스마트탑오피스,(주)에이치엠크리에이션,--,0년  0개월
,숙박,평균,-,-,7년  8개월
,,야자,(주)야놀자에프앤지,2011-08-09,9년  4개월
,,브라운도트호텔,(주)야놀자에프앤지,2015-07-23,5년  5개월
,,얌(YAM),(주)야놀자에프앤지,2011-12-23,9년  0개월
,,넘버25(NO.25),(주)야놀자에프앤지,2016-03-15,4년  9개월
,,호텔여기어때(HOTEL여기어때),(주)위드이노베이션,2016-10-10,4년  2개월
,,케이-게스트하우스(k-guesthouse),(주)나라365,2015-10-01,5년  2개월
,,게스트하우스포유,에스엠마스터(주),2013-09-06,7년  3개월
,,호텔에비뉴(H AVENUE),(주)야놀자에프앤지,2015-07-06,5년  5개월
,,호텔더하운드(HOTEL THE HOUND),(주)야놀자에프앤지,2016-01-01,4년  11개월
,,비클래시(BE CLASSY),(주)쇼플레이스,2018-08-01,2년  4개월
,,골든튤립,골든튤립코리아(주),2015-11-20,5년  1개월
,,휴식,(주)휴식,2019-03-04,1년  9개월
,,호텔명품,엠에이치디자인그룹(주),--,0년  0개월
,,베스트루이스해밀턴호텔,(주)베스트루이스해밀턴디자인그룹,--,0년  0개월
,,더블스테이,(주)더블스테이,--,0년  0개월
,,리조텔 거기조아,(주)리조텔,--,0년  0개월
,,로얄튤립,골든튤립코리아(주),--,0년  0개월
,,낭만스테이,(주)아이센스에프앤비,--,0년  0개월
,,작심하우스,(주)아이엔지스토리,--,0년  0개월
,,튤립인,골든튤립코리아(주),--,0년  0개월
,유아,평균,-,-,10년  8개월
,,꼬마대통령,(주)네오플레너스,2015-09-01,5년  3개월
,,노래하는크레용,(주)에듀프라임,2020-01-10,0년  11개월
,,엘뽀레,(주)킨더몬떼,2015-09-07,5년  3개월
,,리틀마운틴,(주)리틀마운틴,--,0년  0개월
,,키다모 키즈레스토랑,(주)케이앤엠파트너스,2018-12-14,2년  0개월
,,에듀앤,에듀앤컴퍼니,--,0년  0개월
,스포츠,평균,-,-,4년  6개월
,,골프존파크(GOLFZON PARK),(주)골프존,2016-08-01,4년  4개월
,,점핑하이,(주)점핑하이,2016-10-22,4년  2개월
,,curves,(주)커브스코리아,2006-07-30,14년  5개월
,,스트라이크존(STRIKEZON),(주)뉴딘콘텐츠,2016-03-01,4년  9개월
,,리얼야구존,(주)리얼야구존,2016-04-16,4년  8개월
,,레전드야구존,(주)클라우드게이트,2018-03-28,2년  9개월
,,스포애니,(주)케이디스포츠,2011-12-01,9년  0개월
,,아메리카요가,(주)아메리카요가,2009-09-01,11년  3개월
,,모던필라테스MPI,(주)엠피아이모던필라테스,2015-01-15,5년  11개월
,,킹콩점프,(주)친구사이,2012-09-01,8년  3개월
,,단월드,(주)단월드,2009-02-19,11년  10개월
,,케이닥터바디시스템,(주)효전,2013-04-30,7년  8개월
,,에스엔피이(SNPE) 바른자세척추운동,(주)한국바른자세연구원,2016-10-13,4년  2개월
,,점핑머신,점핑머신,2019-03-18,1년  9개월
,,존케이지빌리어즈,노리인터랙티브(주),2016-12-01,4년  0개월
,,케어필라테스,빅사이트,2010-03-02,10년  9개월
,,바디채널(BODYCHANNEL),(주)바디채널,2015-07-28,5년  5개월
,,아리아(ARIA)센터,(주)프랜조이,2016-05-16,4년  7개월
,,레전드히어로즈,(주)클라우드게이트,2018-02-10,2년  10개월
,,브라보 퍼블릭 스크린골프,(주)퍼블릭스크린골프,2018-11-18,2년  1개월
,,포시즌필라테스,(주)소울앤바디,2016-10-07,4년  2개월
,,4차원균형 다이어트요가,한국건강리더십교육원,2013-01-10,7년  11개월
,,피크바이짐,피크바이짐영통점,2017-05-20,3년  7개월
,,14일동안,(주)십사일동안,2006-05-01,14년  7개월
,,이브필라테스,(주)이브필라테스,2017-01-03,3년  11개월
,,랩스휘트니스,랩스컴퍼니,2016-04-01,4년  8개월
,,에이치엠풋살파크 (hm futsal park),(주)에이치엔에스,2016-03-21,4년  9개월
,,작당,(주)올댓메이커,2018-03-05,2년  9개월
,,리윰필라테스,(주)이제이에이치앤씨,2015-08-25,5년  4개월
,,수성아트복싱클럽,수성아트복싱클럽체인본사,2015-10-05,5년  2개월
,,모던필라테스 부산경남지부,모던필라테스,2015-05-04,5년  7개월
,,제로키니,제로키니,2017-01-21,3년  11개월
,,공브라더스,(주)공브라더스,2013-11-11,7년  1개월
,,W필라테스,W필라테스영통,2016-09-01,4년  3개월
,,몸이야,(주)몸이야,2016-07-01,4년  5개월
,,핏플러스휘트니스,(주)대성에프앤지,2016-04-01,4년  8개월
,,갤러리골프아카데미,(주)디비홀딩스,2018-10-01,2년  2개월
,,벤투스CC,(주)타임앤플레이스,2018-06-02,2년  6개월
,,폴인기구필라테스 & PT,폴인기구필라테스&PT,2019-06-01,1년  6개월
,,에소르핏,(주)47컴퍼니,2019-07-01,1년  5개월
,,타워필라테스,타워아카데미,2014-08-01,6년  4개월
,,아이비키즈스포츠,(주)아이비그룹,2016-02-03,4년  10개월
,,팀터틀랫휘트니스,(주)티스포츠컴퍼니,2020-04-28,0년  8개월
,,지티에스(GTS)골프아카데미,(주)지티에스골프,2017-07-12,3년  5개월
,,위드스포츠,위드컬쳐,2019-07-09,1년  5개월
,,필라테스플랫폼,필라테스플랫폼,2018-05-01,2년  7개월
,,에소르핏더온필라테스,(주)47컴퍼니,2019-07-01,1년  5개월
,,스마트짐,스마트짐,2018-11-22,2년  1개월
,,요조바디라인,요조홀딩스(주),2014-05-10,6년  7개월
,,요가유즈바이필라테스,유즈필라테스,2017-07-12,3년  5개월
,,이야스위밍,(주)이야에듀,2019-05-13,1년  7개월
,,애니필라,(주)애니필라,2020-03-13,0년  9개월
,,이야짐,(주)이야에듀,2019-05-13,1년  7개월
,,무토관,(주)무카스,2019-08-18,1년  4개월
,,머시써짐,머시써짐,2016-07-29,4년  5개월
,,랩스,(주)더랩스코리아,2019-08-01,1년  4개월
,,에이원테니스,에이원테니스,2017-12-04,3년  0개월
,,킴스요가,김성수요가,2016-10-11,4년  2개월
,,아놀드홍휘트니스,(주)티에이핏,2015-01-01,5년  11개월
,,이룸골프,(주)이룸,2017-07-18,3년  5개월
,,렛츠팟(Letspot),(주)케이제이이노베이션,--,0년  0개월
,,여우공간필라테스,여우공간필라테스,2020-03-11,0년  9개월
,,컬링당구,(주)모컴테크,--,0년  0개월
,,바디엔지니어스 24,바디엔지니어스,2020-07-04,0년  5개월
,,퍼스트스킬,퍼스트스킬,2020-01-03,0년  11개월
,,리본필라테스,리본필라테스,--,0년  0개월
,,엘츠필라테스,(주)비엠코퍼레이션,--,0년  0개월
,,스카이요가쿨라,스카이요가쿨라,2014-02-01,6년  10개월
,,복타,한국복타스포츠케어센터,--,0년  0개월
,,월드클래스홀덤클럽,(주)제이와이케이,--,0년  0개월
,,코코필라테스,(주)코코컴퍼니,--,0년  0개월
,,애니타임 피트니스,(주)모던휘트니스코리아,--,0년  0개월
,,파파골프,지엠에이(주),2020-04-18,0년  8개월
,,숨(S.U.M)댄스테라핏컴퍼니,숨(S.U.M)댄스테라핏컴퍼니,--,0년  0개월
,,브라보캐롬클럽(BRAVO CAROM CLUB),(주)타임앤플레이스,2020-04-16,0년  8개월
,,전풋볼아카데미(JEON Football Academy),전풋볼아카데미(JEONFootballAcademy),--,0년  0개월
,,비욘드바디,(주)비에이치디컴퍼니,2017-02-01,3년  10개월
,,핏걸,(주)핏걸,--,0년  0개월
,,타겟골프(Target Golf),(주)모컴테크,--,0년  0개월
,,팀윤짐플러스,(주)팀윤,2017-01-14,3년  11개월
,,스매싱존,(주)티엘인더스트리,--,0년  0개월
,,펀앤점프줄넘기아카데미,펀앤점프줄넘기아카데미본사,2018-05-01,2년  7개월
,,나디아요가,나디아요가,2017-02-08,3년  10개월
,,굿볼스튜디오,굿볼아카데미(주),2020-04-01,0년  8개월
,,킹콩로라,(주)친구사이,--,0년  0개월
,,아트필라테스(ARTPILATES),아트필라테스(ARTPILATES),2018-05-31,2년  7개월
,,해피빌(happybil),(주)해피빌리어드,2019-03-01,1년  9개월
,,보니따필라테스,보니따필라테스수원망포점,--,0년  0개월
,,스크린댄스방,(주)모컴테크,--,0년  0개월
,,스토래지 풋살,(주)에이블한,2020-04-24,0년  8개월
,이미용,평균,-,-,7년  8개월
,,리안,미창조(주),2001-07-26,19년  5개월
,,세이프존,(주)엑손알앤디,2019-09-01,1년  3개월
,,블루클럽,(주)토마토디앤씨,1998-06-02,22년  6개월
,,박승철헤어스투디오,(주)피에스씨네트웍스,1997-05-17,23년  7개월
,,벤자롱스파,제이엔씨벤자롱(주),2008-08-24,12년  4개월
,,토리헤어,(주)토리,2011-08-22,9년  4개월
,,구피샵,(주)에스엘에스탑,2011-07-20,9년  5개월
,,이철헤어커커,(주)커커,1999-07-10,21년  5개월
,,이가자헤어비스,(주)뷰티끄레아,1995-03-01,25년  9개월
,,에이치스타일(H-STYLE),로얄파트너스(주),2009-05-01,11년  7개월
,,로이드밤,(주)휴이엠컴퍼니,2014-03-01,6년  9개월
,,약손명가,(주)약손명가외1,2017-03-11,3년  9개월
,,미플아미아,(주)미플네이처,2005-01-01,15년  11개월
,,박준뷰티랩,(주)피엔제이,1995-08-28,25년  4개월
,,제오헤어,(주)뷰쎄,2002-11-11,18년  1개월
,,포쉬네일,아름다운비젼,2006-12-18,14년  0개월
,,지노헤어(XINO HAIR),(주)지노홀딩스,2016-12-08,4년  0개월
,,이훈헤어칼라,(주)이연에프비,2005-01-01,15년  11개월
,,보그 (VOG),(주)브이오지코리아,2013-02-14,7년  10개월
,,헤어망고,(주)에이치엠코리아,2016-04-15,4년  8개월
,,아이디헤어,(주)아이디뷰티,2006-12-19,14년  0개월
,,아이디헤어,(주)아이디뷰티,2006-12-19,14년  0개월
,,염색이야기,우리들체인,2015-06-12,5년  6개월
,,헬로우컷,에이치앤씨(H&C),2015-05-24,5년  7개월
,,리소헤어(LISOHAIR),(주)엘케이아이,2016-03-21,4년  9개월
,,오다헤어,(주)헤어플래닛,2008-09-22,12년  3개월
,,modshair,(주)엠에이치프로페셔날,2008-06-01,12년  6개월
,,빨간코끼리,빨간코끼리(R&E),2015-04-24,5년  8개월
,,몰디브태닝,몰디브태닝컴퍼니,2017-01-01,3년  11개월
,,디아르떼보스헤어,(주)휴이엠컴퍼니,2018-10-10,2년  2개월
,,얼짱몸짱,(주)뷰피플,2004-05-01,16년  7개월
,,더맑은스킨,(주)플랜에이컴퍼니,2016-05-30,4년  7개월
,,스킨포유,에스앤비코리아(주),2006-06-01,14년  6개월
,,골든네일,(주)플랜에이컴퍼니,2009-09-15,11년  3개월
,,헤어12.5,(주)코아띠,2012-11-01,8년  1개월
,,미랑컬헤어,아름네트웍스(주),2003-03-03,17년  9개월
,,SBS아카데미뷰티스쿨,(주)미지에듀,2012-02-15,8년  10개월
,,레드헤어 COOL,레드헤어,2014-04-13,6년  8개월
,,조으다헤어,(주)조으다,2019-08-01,1년  4개월
,,닥터수,(주)닥터수,2014-10-16,6년  2개월
,,프리미엄살롱세종,(주)미용그룹세종,2001-03-05,19년  9개월
,,헤어아티스트엠,(주)헤어아티스트엠,2011-10-10,9년  2개월
,,닥터모락,(주)닥터모락,2016-10-01,4년  2개월
,,이미호아이래쉬(이미호eyelash),이미호아이래쉬,2011-07-20,9년  5개월
,,어반그라운드헤어(urbangroundhair),(주)가나안홀딩스,2015-10-02,5년  2개월
,,펠리아 뷰티살롱,(주)펠리아,2010-07-15,10년  5개월
,,헤어아떼,(주)더비앤에이치,2017-02-13,3년  10개월
,,탑스칼프,비오엠코스메틱(주),2014-11-01,6년  1개월
,,금단비가,(주)금단비가,2009-03-24,11년  9개월
,,에리카헤어,(주)에리카,2020-04-13,0년  8개월
,,아미치0.3,(주)다모생활건강,2005-03-01,15년  9개월
,,아이벨르팜므(I Belle Femme),(주)디이노,2014-01-24,6년  11개월
,,헤어팡팡,에스앤피컴퍼니,2017-04-01,3년  8개월
,,차홍룸(CHAHONG ROOM),(주)씨에이치인터내셔널,2017-08-25,3년  4개월
,,닥터스칼프,(주)닥터스칼프,2009-07-01,11년  5개월
,,쟈끄데상쥬,(주)디이노,1993-06-04,27년  6개월
,,토니앤가이,(주)케이앤씨서비스,2011-03-20,9년  9개월
,,고정현헤어,(주)고헤어,2013-03-01,7년  9개월
,,위뷰티,(주)위뷰티,2013-05-15,7년  7개월
,,헤어1380,(주)더비앤에이치,2017-04-17,3년  8개월
,,휴이엠헤어,(주)휴이엠컴퍼니,2019-04-01,1년  8개월
,,꾸아퍼스트,꾸아몽드(주),2011-05-01,9년  7개월
,,예신,(주)예신건강가꾸기,2011-11-24,9년  1개월
,,가인미가,(주)가인미가그룹,2012-03-21,8년  9개월
,,커틸다헤어살롱,㈜열펌공화국,2018-01-05,2년  11개월
,,헤솔두피클리닉스,(주)에코마인,2008-08-01,12년  4개월
,,루루앤아이래쉬,루루앤아이래쉬,2013-03-01,7년  9개월
,,스파나무,(주)뷰티컴바인,2016-01-01,4년  11개월
,,뉴욕비비,(주)뷰티베리,2012-01-02,8년  11개월
,,버블스토리,(주)펀키즈코리아,2006-05-04,14년  7개월
,,사틴헤어,(주)사틴,2008-04-01,12년  8개월
,,닥터포헤어,(주)휴메이저,2013-02-01,7년  10개월
,,드라포레(De La foret),(주)포레,2017-05-01,3년  7개월
,,헤어팰리스(Hair Palace),로얄파트너스(주),2009-05-01,11년  7개월
,,자미한,자미한미용학원,2016-07-02,4년  5개월
,,박공헤어,(주)피에스씨네트웍스,2016-12-31,4년  0개월
,,라뷰티코아,(주)라뷰티코아,2014-03-01,6년  9개월
,,이진헤어,(주)이진뷰티,2015-04-09,5년  8개월
,,뽑자 슈가링,비에프오코리아(B.F.OKOREA),2019-02-14,1년  10개월
,,이경민포레,(주)포레,2007-05-01,13년  7개월
,,김송정머리터,김송정머리터,2020-05-29,0년  7개월
,,순수,(주)순수패밀리,2018-03-07,2년  9개월
,,부르힐에스테틱,브라이트피플,2016-08-22,4년  4개월
,,키웰(KEYWELL),(주)사이,2011-06-17,9년  6개월
,,칩꾸아프,플랑크타임(주),2015-04-02,5년  8개월
,,젠틀루뉴욕,(주)이엑스피코리아,2017-12-20,3년  0개월
,,코라인(KOHRAIN),KOHRAIN코라인,2015-05-18,5년  7개월
,,더블유엠에스테틱두피센터,더블유엠에스테틱시지점,2017-10-01,3년  2개월
,,시카고왁싱,엠제이부티끄(주),2016-12-27,4년  0개월
,,엣지태닝,엣지태닝가맹본부,2019-04-15,1년  8개월
,,하루두피 (Haru Scalp),(주)루틸코리아,2018-11-12,2년  1개월
,,헤어7반장,(주)코아띠,2019-05-30,1년  7개월
,,더세리(THE SERI),(주)세리앤코,2005-10-14,15년  2개월
,,김찬월가모,(주)김찬월가모랩,2004-12-01,16년  0개월
,,큐헤어(Q HAIR),(주)큐에이치,2015-10-22,5년  2개월
,,휴앤진,(주)휴앤진,2015-03-30,5년  9개월
,,시원하오,더케이웰니스,2016-11-30,4년  1개월
,,헤어그라피,(주)피에스씨네트웍스,2010-12-01,10년  0개월
,,미인가,미인가,2010-11-01,10년  1개월
,,ZS HAIR SALON (제트에스헤어살롱),ZAS,2017-11-15,3년  1개월
,,디탐(D.Tam),디탐,2019-01-01,1년  11개월
,,차홍아르더,(주)씨에이치인터내셔널,2012-07-06,8년  5개월
,,지케이네일(GK네일),(주)위드코,2017-12-14,3년  0개월
,,브로우돌(Brow-Doll),브로우돌,2019-01-22,1년  11개월
,,제니하우스(jennyhouse),(주)제니하우스,2013-11-30,7년  1개월
,,제니웨딩뷰티(jenny wedding beauty),(주)제니하우스,2013-08-16,7년  4개월
,,미휴,카이스트제1호연구소기업엠피위즈(주),2017-09-25,3년  3개월
,,유미코리아뷰티,(주)한국미용전문그룹유미코리아,2019-11-05,1년  1개월
,,에센슈얼,(주)케이앤씨서비스,2011-05-11,9년  7개월
,,아이벨르,(주)디이노,2002-08-20,18년  4개월
,,오캄(au calme),(주)뷰티끄레아,2020-04-26,0년  8개월
,,샹프리(SHANGPREE),(주)유알지,2016-08-16,4년  4개월
,,채에스테틱,(주)케이뷰티원,2017-04-01,3년  8개월
,,팩하우스,(주)인트코퍼레이션,2019-12-13,1년  0개월
,,론썸헤이드,론썸헤이드,2020-03-31,0년  9개월
,,하다,(주)고헤어,2015-07-11,5년  5개월
,,칼라스파,(주)디에스그룹,2018-02-22,2년  10개월
,,솔루미에스테,㈜지앤제이,2019-04-08,1년  8개월
,,크레이머파리헤어살롱,(주)크래이머코리아,2017-05-01,3년  7개월
,,이환헤어궁,이환헤어궁,2015-07-07,5년  5개월
,,김활란뮤제네프,(주)김활란뮤제네프,2006-07-10,14년  5개월
,,블랭크유(BLANKYOU),(주)수이비뷰티컴퍼니,2018-05-24,2년  7개월
,,엔네일,엔네일춘천지점,2017-04-25,3년  8개월
,,스타일맨,(주)제이엠헤어존,2019-11-12,1년  1개월
,,Du Sol Hair (두쏠헤어),(주)두쏠트렌드,2013-01-04,7년  11개월
,,민낯뷰티,(주)블라썸클라우드,2020-03-25,0년  9개월
,,에즈헤어라운지,(주)디피플,2014-07-04,6년  5개월
,,티나스타일,티나스타일,2020-06-02,0년  6개월
,,CHOPHAIR,씨에이치오피네이션,--,0년  0개월
,,3.4.5 헤어살롱,(주)뷰티투웰브,2016-07-01,4년  5개월
,,닥터모다르,루브젯,2020-05-25,0년  7개월
,,엉클부스,엉클부스,--,0년  0개월
,,RADO,이엘뷰티미용재료,--,0년  0개월
,,반디인하우스,뷰티경영연구소,--,0년  0개월
,,네일바이허슬기,(주)베이바이허슬기,--,0년  0개월
,,화사한,(주)화사한,2020-01-03,0년  11개월
,,어퍼컷,(주)정우인터네셔날,2016-01-28,4년  11개월
,,계서은제이르,계서은제이르,2020-04-07,0년  8개월
,,살롱에이(salon a),(주)키애듀팩토리,--,0년  0개월
,,마들렌 헤어,(주)서진컴퍼니,--,0년  0개월
,,골목미장원,골목뷰티,--,0년  0개월
,,최가을헤어드레서,(주)뷰티레이블,2002-07-01,18년  5개월
,,나이스가이,(주)정우인터내셔널,2001-02-09,19년  10개월
,,장루이다비드(Jean Louis David),(주)제이엘디케이,2013-06-01,7년  6개월
,,더 크라이오테라피,(주)리얼야구존,--,0년  0개월
,,머리샵,머리샵,--,0년  0개월
,,그리니쉬,그리니쉬네일,--,0년  0개월
,,늘담빛,와이에스아이네트웍스,--,0년  0개월
,,결이고은 에스테틱,(주)결이고은,--,0년  0개월
,,마끼에,(주)커커,2013-02-10,7년  10개월
,,레드美컬,레드헤어,--,0년  0개월
,,스파에이르,에이르랩,2016-12-12,4년  0개월
,,핸팅(HANDTING),(주)핸팅,--,0년  0개월
,,르아르채(LEARECHE),(주)더뷰티,2018-02-01,2년  10개월
,,미더베스트(美THE BEST),플랜아우어(PLAN.OUR),--,0년  0개월
,,요조바디라인,(주)제이어포드,2020-09-01,0년  3개월
,,우먼홈케어,우먼홈케어,--,0년  0개월
,,누누,누누,--,0년  0개월
,,프랑크프로보,(주)뷰쎄,2006-01-27,14년  11개월
,,네일닥터(Nail Doctor),(주)네일닥터,2014-11-20,6년  1개월
,,라오나토뷰티스쿨,(주)미지에듀,--,0년  0개월
,,미즈노블,(주)미즈노블미용학원,2014-05-16,6년  7개월
,,스파머시,(주)스파앤컨설팅,2013-09-02,7년  3개월
,,레드폴바버샵,(주)레드폴바버샵,--,0년  0개월
,,찰스리헤어테크,(주)찰스리,--,0년  0개월
,,베이바이허슬기,(주)베이바이허슬기,--,0년  0개월
,,리벨로 바버샵,(주)벨로벨라,--,0년  0개월
,,네일블룸,비엔티에프앤씨,2011-06-23,9년  6개월
,,에스뷰테라,에스씨파트너스(주),2016-12-01,4년  0개월
,,슈슈앤쎄씨,(주)슈슈코스메틱,2018-10-01,2년  2개월
,,라트리헤어,(주)라트리컴퍼니,2020-03-01,0년  9개월
,,슈가헤어디자인숍(SUGAR HAIR DESIGN SHOP),(주)지노홀딩스,--,0년  0개월
,,라비앙르 로즈(LA VIE ENR ROSE),라비앙르로즈,2020-01-05,0년  11개월
,,제이로랑,로랑뷰티,2019-01-15,1년  11개월
,,스위스익스필,스위스익스필,--,0년  0개월
,,엘슈빗,신승원컷앤컷,--,0년  0개월
,,준오헤어,(주)준오뷰티,2003-01-01,17년  11개월
,,탈모야안녕,탈모야안녕,2014-03-09,6년  9개월
,,엘케이엠포레뷰티(LKM foret beauty),(주)포레,2017-01-10,3년  11개월
,,스킨랩엘,(주)스파앤컨설팅,2017-01-13,3년  11개월
,,모양,(주)엠프파트너스,2009-05-25,11년  7개월
,자동차,평균,-,-,8년  5개월
,,블루핸즈(bluehands),현대자동차(주),2007-04-02,13년  8개월
,,마스타,마스타자동차관리(주),1991-01-03,29년  11개월
,,마스타,마스타자동차관리(주),1991-01-03,29년  11개월
,,브이쿨,(주)지알테크,2012-09-17,8년  3개월
,,티스테이션,한국타이어앤테크놀로지(주),2005-03-01,15년  9개월
,,카앤피플,(주)카앤피플,2013-04-13,7년  8개월
,,스미스클럽,(주)스미스클럽,2011-01-10,9년  11개월
,,카젠,(주)카젠,2004-10-27,16년  2개월
,,레디카,마스타자동차관리(주),2006-04-01,14년  8개월
,,레디카,마스타자동차관리(주),2006-04-01,14년  8개월
,,투투정비서비스,투투정비서비스(주),2007-05-08,13년  7개월
,,매직터치,(주)엠티덴트테크,2004-08-20,16년  4개월
,,틴트어카,(주)틴트어카코리아,2009-01-09,11년  11개월
,,소낙스서비스,(주)알레스,2007-03-13,13년  9개월
,,메이저카,(주)메이저카,2010-08-16,10년  4개월
,,덱스크루(DEX CREW),(주)덱스크루,2011-05-21,9년  7개월
,,오토앤(auto&),오토앤(주),2015-06-05,5년  6개월
,,지바트,(주)지코프로,1991-01-05,29년  11개월
,,Detailer明(디테일러명),(주)디테일러명,2019-01-02,1년  11개월
,,카스페이스(CAR SPACE),카스페이스,2016-08-01,4년  4개월
,,바름정비,(주)바름파트너스,2017-11-01,3년  1개월
,,크린테크,(주)크린모어,2017-01-01,3년  11개월
,,에쓰-오일(S-OIL)슈퍼워시(SUPERWASH),오토앤(주),2017-08-24,3년  4개월
,,TS협력자동차검사소,한국교통안전공단,2010-11-01,10년  1개월
,,갓차,(주)갓차,2017-05-01,3년  7개월
,,엠팸,(주)엠팸,2018-04-05,2년  8개월
,,럭스서비스,럭스서비스(LUXEservice)본점,2016-07-31,4년  5개월
,,어제스트,(주)어제스트,2005-06-30,15년  6개월
,,킹콩샤워,(주)킹콩샤워,2018-08-08,2년  4개월
,,도도세차,S.I인터내셔널,2014-05-10,6년  7개월
,,VXST(버텍스 스팀),라미CNP(주),2011-04-16,9년  8개월
,,아이나비프리미엄스토어,팅크웨어(주),2017-09-25,3년  3개월
,,스팀맨,(주)창업맨,2019-03-01,1년  9개월
,,탑앤존,디티코리아,2018-12-10,2년  0개월
,,에스로드,(주)에스엔티,2018-05-01,2년  7개월
,,모토키이(motokii),모토키이(motokii),2018-08-01,2년  4개월
,,이지씨에스스팀파워(EGCS Steam Power),(주)에코그린카스토리,2016-01-13,4년  11개월
