업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,아지야과일가게,(주)아지야,2007-12-11,13년  0개월
,,로즈애플(ROSE APPLE),(주)로즈애플,2017-12-18,3년  0개월
,,찡오언니,찡오언니본점,2015-11-01,5년  1개월
,,박향희김,농업회사법인한백식품(주),2008-06-05,12년  6개월
,,국대가국대과일,(주)국가대표과일촌,2020-04-22,0년  8개월
,,떼구르,떼구르,2015-12-17,5년  0개월
,,오징어파는언니,오징어파는언니,2015-07-16,5년  5개월
,,오가닉 빅마트,농업회사법인오가닉빅마트(주),2015-04-01,5년  8개월
,,사랑한바구니,사랑한바구니,--,0년  0개월
,,한결축산,(주)이연농업회사법인,--,0년  0개월
,,나눔(Na Num)한끼 애(愛)·찬(饌),대정나눔유통(주),2018-03-01,2년  9개월
,,다모여라,(주)다모여라,--,0년  0개월
,,플레르망고,플레르망고,--,0년  0개월
,,담다앤바다를담다,담다,2018-07-11,2년  5개월
,,달콤농장,달콤농장,2020-04-28,0년  8개월
,,맛있는제주,(주)삼다,2014-01-02,6년  11개월
,건강식품,평균,-,-,9년  11개월
,,정관장,(주)한국인삼공사,2004-12-01,16년  0개월
,,초록마을,(주)초록마을,2002-11-16,18년  1개월
,,한삼인,(주)농협홍삼,2007-04-13,13년  8개월
,,홍삼나라,홍삼나라(주),2014-05-07,6년  7개월
,,현미마을,(주)현미마을,2017-03-24,3년  9개월
,,에코푸드시스템,(주)에코푸드시스템,2019-01-01,1년  11개월
,,진삼가,(주)진삼,2011-07-20,9년  5개월
,,진성엽의 진가네반찬,(주)진가네,2010-02-22,10년  10개월
,,착한차가,(주)착한차가,2017-07-01,3년  5개월
,,해콩,해콩,2018-02-01,2년  10개월
,,간식여왕,간식여왕,--,0년  0개월
,,삼대인,백제홍삼(주),--,0년  0개월
,,잇다가게X셰프반찬,(주)페이즈커뮤,--,0년  0개월
,,삼마5쾌,(주)삼마,--,0년  0개월
,,집쿡마켓,(주)디딤,--,0년  0개월
,,방콕,㈜바로푸드,--,0년  0개월
,,약석원,(주)약석원농업회사법인,--,0년  0개월
,,허브앤씨드(Herbs&Seeds),허브앤씨드(Herbs&Seeds),2018-04-01,2년  8개월
,종합소매점,평균,-,-,9년  3개월
,,네이처컬렉션,(주)더페이스샵,2016-07-01,4년  5개월
,,Olive Young(올리브영),씨제이올리브영(주),2010-12-02,10년  0개월
,,지에스수퍼마켓(GS수퍼마켓),(주)지에스리테일,2010-01-15,10년  11개월
,,국민간식333,(주)국민간식333,2019-04-19,1년  8개월
