브랜드,상호,창업비용
케이콜라보김밥∙떡볶이,(주)해지온,"79,600
(1.29)"
오마뎅,(주)오마뎅,"79,250
(1.28)"
델리웨건와작,(주)모음,"79,230
(1.28)"
싸다김밥,(주)참에프앤디,"79,200
(1.28)"
생생제면소,(주)티에스에프엔씨,"78,650
(1.27)"
무적의돈까스,(주)무테키야,"78,600
(1.27)"
알촌,(주)구연시스템,"78,300
(1.27)"
돈가스부띄크,(주)호경에프씨,"78,008
(1.26)"
갈현동할머니떡볶이,가온컴퍼니,"77,500
(1.25)"
부엌19.83,(주)송쓰제너레이션,"76,700
(1.24)"
중앙칼국수,(주)티에스에프엔씨,"76,450
(1.24)"
다다믄,다다믄,"76,250
(1.23)"
남대문가메골손만두,가메골푸드㈜,"75,950
(1.23)"
로봇김밥,(주)로봇에프앤비,"75,700
(1.23)"
한입소반,(주)한입소반,"75,700
(1.23)"
분식쌀롱,동행푸드,"75,600
(1.22)"
135튀김집,(주)대원어묵,"75,000
(1.21)"
바론 캐쥬얼푸드&카페,(주)퍼스트스노우,"74,600
(1.21)"
코끼리 떡볶이,상상마켓,"74,600
(1.21)"
바로그집,(주)빅브라더,"73,500
(1.19)"
소소떡볶이,(주)위대한,"73,390
(1.19)"
떡통령의 빨간철가방,더킹에프엔씨,"73,300
(1.19)"
신만용신가네매운떡볶이,신만용신가네매운떡볶이,"73,150
(1.18)"
열정분식소,해낸오버파워(주),"72,400
(1.17)"
김밥제일가,(주)쿡앤리빙,"72,370
(1.17)"
면장의밥상,(주)오엠푸드,"72,300
(1.17)"
마리야,(주)에스지푸드,"72,100
(1.17)"
국수나무,해피브릿지협동조합,"72,030
(1.17)"
엉클박스,엉클상회,"71,950
(1.16)"
황기순의 칼국수&돈까스,(주)티에스에프엔씨,"71,750
(1.16)"
빨간자전거,빨간자전거,"71,600
(1.16)"
맛있게듬뿍,(주)듬뿍하우스,"71,070
(1.15)"
달토끼의 떡볶이 흡입구역,(주)포즈,"71,050
(1.15)"
보슬보슬,(주)다이닝팩토리,"70,870
(1.15)"
악동통큰떡볶이,악동통큰떡볶이(주),"70,850
(1.15)"
통영청정어묵,(주)통영청정에프앤비,"70,500
(1.14)"
김밥킹,(주)아이윈엔터프라이즈,"70,200
(1.14)"
공수간,(주)놀부,"70,119
(1.13)"
신전떡볶이,신전푸드시스,"70,100
(1.13)"
장상궁김밥,(주)장상궁,"70,100
(1.13)"
평화면옥,(주)쉐프마인드,"70,100
(1.13)"
국대떡볶이,(주)지구당,"69,820
(1.13)"
감탄떡볶이,(주)오투스페이스,"69,800
(1.13)"
구포국수,제이피토탈,"69,750
(1.13)"
투핑거스,(주)에땅,"69,490
(1.12)"
김밥공감,(주)인성에프앤비,"69,430
(1.12)"
서리서리멸치국수,서리서리,"69,190
(1.12)"
요기인,요기,"69,100
(1.12)"
명동할머니국수,(주)봉원에프앤비,"68,980
(1.12)"
마리짱,(주)삼봉,"68,850
(1.11)"
고수라,(주)고수라,"68,000
(1.10)"
이토우야 ITTOUYA,칼스푸드(주),"68,000
(1.10)"
90년생 언니네 떡볶이,(주)미트더석세스,"67,780
(1.10)"
보용만두,(주)보용에프앤씨,"67,650
(1.09)"
상개분식,상개분식,"67,600
(1.09)"
심할머니안흥찐빵만두,어우리,"66,910
(1.08)"
김밥천국,나누리프랜차이즈,"66,900
(1.08)"
정성한줄,(주)해밀코리아,"66,680
(1.08)"
신탕국물떡볶이,소스나라,"66,535
(1.08)"
다가미,다가미전국본점살레안국수,"66,523
(1.08)"
알리바바쏙쏙김밥,알리바바파트너스(주),"66,250
(1.07)"
핵볶이키친,(주)핵가족,"65,910
(1.07)"
김대표 김밥,(주)덕,"65,800
(1.06)"
토마토김밥,(주)푸름에프앤에스,"65,700
(1.06)"
오늘애김밥(오늘愛김밥),(주)오늘애,"65,645
(1.06)"
델리웨건등등,(주)푸드앤푸레쉬,"65,480
(1.06)"
참 좋은 김밥천국,좋은F&C,"65,450
(1.06)"
반장떡볶이,(주)반장푸드,"65,040
(1.05)"
파더스김밥,(주)미셰프,"64,810
(1.05)"
밥맛나는세상,(주)소디프비앤에프,"64,620
(1.05)"
고미고미,고미고미,"64,070
(1.04)"
코미니꼬마김밥,(주)코미니,"63,600
(1.03)"
애플김밥,(주)애플김밥,"63,250
(1.02)"
선릉역매운떡볶이,하늘아래(주),"63,160
(1.02)"
걸작떡볶이치킨,(주)위드인푸드,"63,160
(1.02)"
바푸리국민떡볶이,(주)비피알,"62,700
(1.01)"
레드썬,(주)제이케이푸드,"62,500
(1.01)"
여우愛,(주)퍼스트에이엔티,"62,400
(1.01)"
진미면막국수,진미면막국수,"62,400
(1.01)"
만두여행,(주)인화에프엔비,"62,170
(1.01)"
The 청춘키친,청춘컴퍼니,"61,950
(1.00)"
DININGBOX(다이닝박스),(주)보성커머스,"61,850
(1.00)"
DININGBOX(다이닝박스),(주)보성파워텍,"61,850
(1.00)"
불떡불떡,햇잎푸드(주),"61,650
(1.00)"
할매손충무김밥,(주)할매손,"61,600
(1.00)"
행복유부초밥,(주)지피에프씨,"61,300
(0.99)"
달인칼국수김밥,달인에프엔씨(주),"61,190
(0.99)"
얌샘,(주)얌샘,"61,100
(0.99)"
더 오물오물,(주)모아푸드,"61,070
(0.99)"
핫도그꽈배기스타,제이에스푸드,"61,000
(0.99)"
아싸라비야 매운떡볶이,아싸라비야매운떡볶이,"60,500
(0.98)"
서가원김밥,(주)오색만찬,"60,500
(0.98)"
행컵,(주)혜성푸드빌,"60,500
(0.98)"
채다올김밥,다올에프엔씨,"60,390
(0.98)"
귀일,(주)오픈스카이앤귀일,"60,300
(0.98)"
청춘키친,청춘F&B,"60,300
(0.98)"
강다짐,명랑시대외식청년창업협동조합,"60,000
(0.97)"
쉐프가만든떡볶이,(주)정명에프앤비,"60,000
(0.97)"
맛있는 친구 미친 떡볶이,(주)현푸드,"60,000
(0.97)"
몬나니떡볶이,몬나니,"59,970
(0.97)"
부들부들떡볶이,(주)부들부들,"59,950
(0.97)"
모범떡볶이1976,(주)행길,"59,810
(0.97)"
브이떡볶이126,(주)남강푸드시스템,"59,750
(0.97)"
몬스터김밥,(주)에버리치에프앤비,"59,470
(0.96)"
몬떡,(주)에버리치에프앤비,"59,470
(0.96)"
삼시세끼 꼬마김밥,와이제이건설,"59,300
(0.96)"
김만희떡볶이,김만희떡볶이,"59,200
(0.96)"
떡볶킹,(주)브랜드그라운드,"58,950
(0.95)"
이여사나무김밥,(주)다온코리아,"58,320
(0.94)"
소풍경,(주)나눔드림,"58,200
(0.94)"
만타떡볶이,(주)와이에프엔씨,"58,200
(0.94)"
오백국수,오백제작소,"58,130
(0.94)"
오로지라멘,(주)서로다함께,"58,080
(0.94)"
분식이 이래도 되는가,(주)분식이,"58,000
(0.94)"
이삭토스트,(주)이삭,"57,815
(0.94)"
석관동놀러오새우,석관동놀러오새우,"57,550
(0.93)"
공씨네주먹밥,맛있는놀이터외식사업부(주),"57,380
(0.93)"
미미고,㈜미미고,"57,200
(0.93)"
우리동네면반장,(주)우리동네에프앤비,"57,200
(0.93)"
홍성래특허김밥,홍성래특허김밥,"57,200
(0.93)"
원빙고떡볶이,다보유통,"56,650
(0.92)"
담쏙,(주)다옴케이,"56,554
(0.92)"
바로e생멸치국수,MK에프에스,"56,550
(0.92)"
크앙분식,(주)원더파트너스,"56,350
(0.91)"
우리동네국수집,(주)봉화산푸드,"56,350
(0.91)"
장안우동집,장안우동국수본점,"56,340
(0.91)"
버무리떡볶이,(주)이플푸드,"56,130
(0.91)"
찰스숯불김밥,(주)찰스푸드,"56,000
(0.91)"
그래도고기,(주)와이더잇,"55,680
(0.90)"
분식의신 분신,(주)에스지푸드,"55,600
(0.90)"
단오방,(주)단오푸드,"55,570
(0.90)"
꽈백최선생,(주)최선생,"55,500
(0.90)"
정아니의불타는여고24시떡볶이,(주)불여시팸,"55,050
(0.89)"
오빠네옛날떡볶이,(주)오옛떡,"55,000
(0.89)"
킹콩떡볶이,이심전심(주),"54,950
(0.89)"
든든한육떡,그레이프컴퍼니(주),"54,855
(0.89)"
자매떡볶이,(주)든해자매,"54,450
(0.88)"
씨앗호떡,(주)에스엔인더스트리,"54,450
(0.88)"
오떡,(주)에이치앤비푸드,"54,404
(0.88)"
별애별떡,(주)더푸딩코리아,"54,360
(0.88)"
분식회사 떡심,(주)브라운에프앤씨,"54,100
(0.88)"
땡큐꼬마김밥,(주)해오름에프앤비,"53,900
(0.87)"
응급실국물떡볶이,(주)금해코리아,"53,270
(0.86)"
대한분식,대한분식김보현인,"53,260
(0.86)"
으니의수라간,(주)원스에프엔비,"53,200
(0.86)"
봉천동 진순자 김밥,(주)아리랑에프앤비,"53,190
(0.86)"
참숯불닭발불떡볶이,(주)위드미,"52,930
(0.86)"
리틀꼬마김밥,조은앤푸드,"52,900
(0.86)"
선비꼬마김밥,(주)와이엔비푸드,"52,760
(0.85)"
옆집떡볶이,핫넥스트도어,"52,700
(0.85)"
분식대장,(주)피플푸드,"52,700
(0.85)"
북문로떡볶이,(주)북문로키친,"52,680
(0.85)"
조아저씨김밥,조아저씨김밥,"52,545
(0.85)"
수철이네왕새우튀김,(주)수철에프앤비,"52,230
(0.85)"
텬고,(주)민컴퍼니,"52,160
(0.84)"
마피아떡볶이,밥값계산하는남자들,"52,050
(0.84)"
잇또라멘,(주)와이더잇,"51,950
(0.84)"
신열떡볶이,신열푸드,"51,830
(0.84)"
디델리,(주)디엔에프씨,"50,950
(0.82)"
떡볶당,(주)엔에이치에프,"50,840
(0.82)"
윤옥연할매떡볶이,(주)참조은,"50,620
(0.82)"
떡무꼬빨닭,라이징푸드,"50,550
(0.82)"
기봉이 김밥,㈜기봉이,"50,400
(0.82)"
홍스떡,홍스푸드,"50,358
(0.81)"
라패,(주)라패에프앤비,"50,280
(0.81)"
내가진짜떡볶이다,(주)진짜푸드,"50,100
(0.81)"
석관동떡볶이,(주)오리엔트푸드,"49,700
(0.80)"
밀방떡,형네가게,"49,640
(0.80)"
떡불킹,제이엠제이푸드,"49,500
(0.80)"
남매컵밥,남매컵밥,"49,400
(0.80)"
더 땡초포차,비엘컴퍼니(주),"49,300
(0.80)"
만두혁명,(주)미성에프앤씨,"49,200
(0.80)"
즉석국물떡볶이 달쫀,달쫀,"48,530
(0.79)"
마약떡볶이,마약떡볶이,"48,420
(0.78)"
깨봉이국물떡볶이,깨봉이푸드,"48,400
(0.78)"
일백송칼국수,일품백송칼국수,"48,350
(0.78)"
우리둥지,(주)우리둥지,"48,200
(0.78)"
애플꼬마김밥,(주)애플푸드,"48,100
(0.78)"
로라방앗간,㈜로라컴패니,"48,025
(0.78)"
나는 조선의 떡볶이다,(주)이노레시피,"47,980
(0.78)"
왕순이 주먹밥 김밥,(주)왕순이,"47,600
(0.77)"
눈물떡볶이,(주)눈물패밀리,"47,530
(0.77)"
뽀끼캠프,뽀끼캠프,"47,346
(0.77)"
고고즉석떡볶이,(주)고고푸드,"47,300
(0.77)"
떡볶이스타,스타푸드시스템,"47,300
(0.77)"
일우고고싱떡볶이,일우고고싱떡볶이,"46,880
(0.76)"
마리왕,(주)마리킹,"46,800
(0.76)"
최고강한떡볶이,청우,"46,550
(0.75)"
뿅떡,본가경,"46,450
(0.75)"
무꼬뭐꼬떡볶이,(주)그루나무,"46,300
(0.75)"
김밥천국,(주)정다믄,"46,200
(0.75)"
또박꽈배기,태경물산,"45,800
(0.74)"
오떡후,(주)이엔에프컴퍼니,"45,600
(0.74)"
떡볶이창고,떡볶이창고,"45,450
(0.74)"
미세스복희,(주)자력갱생,"44,942
(0.73)"
딱찌문방구,앤아이앤에프앤비,"44,900
(0.73)"
순이네 떡볶이,(주)아이더스코리아,"44,715
(0.72)"
순이네 떡볶이,(주)아이더스코리아,"44,715
(0.72)"
순이네 떡볶이,(주)아이더스코리아,"44,715
(0.72)"
신참떡볶이,(주)신참에프앤씨,"44,550
(0.72)"
6.25떡볶이,6.25떡볶이,"44,400
(0.72)"
염라떡볶이,(주)잇츠어스,"44,310
(0.72)"
돈페플러스,히노아스카(주),"43,800
(0.71)"
송촌꼬마김밥,송촌꼬마김밥,"43,710
(0.71)"
쿠웨이트떡볶이,(주)엘제이푸드,"43,450
(0.70)"
아수라떡볶이,(주)바른정,"43,200
(0.70)"
더바스켓,(주)성하식품,"43,081
(0.70)"
신존떡볶이,신존F&B힘찬푸드웰,"43,050
(0.70)"
웁스떡볶이,웁스에프앤씨,"42,920
(0.69)"
눈꽃치즈떡볶이,(주)피자헤븐코리아,"42,802
(0.69)"
닭터박강정떡볶이,닭터박,"42,800
(0.69)"
신대장 떡볶이,캡틴신푸드시스템,"42,700
(0.69)"
남문떡볶이,(주)유민에프앤씨,"42,580
(0.69)"
씨앤푸드스토리 청년떡볶이,(주)씨앤푸드스토리,"42,350
(0.69)"
할머니가래떡볶이,(주)나도람에프씨,"42,200
(0.68)"
불오뎅,공공식품,"42,150
(0.68)"
오마이카츠,(주)축제의나라,"42,050
(0.68)"
꽈르띠에,(주)한빛,"42,000
(0.68)"
틈새라면,(주)틈새상사,"41,720
(0.68)"
롤링킹꽈배기,롤링킹,"41,700
(0.67)"
호떡당,(주)그랜드비스타,"41,680
(0.67)"
지지고(GGGO),(주)더블유엔씨,"41,370
(0.67)"
슈퍼떡볶킹,(주)푸드테이너컴퍼니,"41,350
(0.67)"
칠성떡볶이,(주)에쓰와이프랜차이즈,"41,172
(0.67)"
기묘한 떡볶이,태민푸드,"41,150
(0.67)"
중평떡볶이,피비홈푸드중평떡볶이(주),"41,050
(0.66)"
생생돈까스,(주)에버리치에프앤비,"40,950
(0.66)"
개념떡볶이,(주)푸드엠코리아,"40,820
(0.66)"
정가왕만두,정가푸드,"40,700
(0.66)"
쭝일아찌5단계빨강떡,빨강떡볶이엠앤제이식품,"40,700
(0.66)"
사우나 떡볶이,(주)알피,"40,600
(0.66)"
떡군이네떡볶이,신우푸드,"40,600
(0.66)"
갑진즉석,BrotherNewBrand,"40,260
(0.65)"
LA김밥,(주)한국창업경제연구소,"40,150
(0.65)"
떡장군,떡장군본점,"40,100
(0.65)"
최고다최고또먹분식,최고다최고,"40,000
(0.65)"
엉망진창 떡볶이,올림엔터프라이즈(OLIMENTERPRISE),"40,000
(0.65)"
인정국물떡볶이,인정푸드시스템,"39,830
(0.64)"
인정국물떡볶이,두레푸드,"39,830
(0.64)"
장호덕손만두,장호덕손만두,"39,600
(0.64)"
우럼마왕만두,우럼마에프앤디,"39,600
(0.64)"
괴물떡볶이,괴물떡볶이,"39,500
(0.64)"
괴물떡볶이,괴물떡볶이,"39,500
(0.64)"
썸마이 떡볶이,오에이치,"39,400
(0.64)"
신떡,(주)신화에프앤비,"39,390
(0.64)"
중독떡볶이,(주)와이더잇,"39,300
(0.64)"
빨강떡볶이 메이드 바이 신앤군컴퍼니,(주)제이알디,"39,100
(0.63)"
스쿨스토어,(주)스쿨스토어,"39,050
(0.63)"
떡볶이의 품격,(주)아앤유디벨롭,"38,950
(0.63)"
치킨곱하기떡볶이,헤이요푸드,"38,441
(0.62)"
우스떡볶이,우스에프엔비(주),"38,300
(0.62)"
신마녀떡볶이,신마녀F&C,"38,300
(0.62)"
토스트앤후르츠,가지많은나무,"38,220
(0.62)"
킹스꼬마김밥,킹스코리아,"37,920
(0.61)"
8군돈까스&떡볶이,8군푸드,"37,550
(0.61)"
동대문떡볶이동떡,동대문떡볶이동떡하복대점,"37,520
(0.61)"
요런떡볶이,(주)자연애몸,"37,400
(0.61)"
신불떡볶이,(주)신불식품,"37,200
(0.60)"
한입김밥,맛있지요F&C,"37,200
(0.60)"
꾼떡,(주)트로이,"37,080
(0.60)"
밥앤스낵,(주)트로이,"37,080
(0.60)"
고씨네만두공방,스타덤블링,"37,040
(0.60)"
올떡,(주)지엔에스올떡,"36,899
(0.60)"
이땔리방앗간,(주)프라이데이컴퍼니,"36,890
(0.60)"
핫프렌즈 핫도그,(주)위드미,"36,850
(0.60)"
와닭꼬치,(주)푸디웍스랩,"36,845
(0.60)"
떡가계,(주)웰빙을만드는사람들,"36,300
(0.59)"
문's 빨간떡볶이&빨간김밥,MOON푸드,"36,300
(0.59)"
밀크밥버거,(주)오색만찬,"36,300
(0.59)"
감자탑,(주)아이언가이즈,"35,633
(0.58)"
오 숙성돈까스와국수 맛있는여행,(주)오맛있는여행,"35,520
(0.57)"
신국 떡볶이,신국푸드,"35,420
(0.57)"
브라더꽈배기,(주)브라더푸드,"35,200
(0.57)"
삼대떡볶이,티제이파트너즈,"35,200
(0.57)"
알떡,알찬떡볶이,"35,150
(0.57)"
딸부자꼬마김밥,딸부자꼬마김밥,"35,100
(0.57)"
배달의떡볶이,(주)제이투케이에프앤비,"35,100
(0.57)"
신김밥,신김밥&신LA갈비,"34,870
(0.56)"
불스떡볶이,(주)비케이홀딩스,"34,100
(0.55)"
THE끌림떡볶이,백's코리아,"34,100
(0.55)"
박봉자 떡볶이,(주)제이엠푸드,"33,935
(0.55)"
떡깨비,깨비에프앤비(깨비F&B),"33,880
(0.55)"
어묵대장 떡볶이,어묵대장떡볶이푸드,"33,550
(0.54)"
밥깨비,(주)유룩스인터내셔날,"32,890
(0.53)"
신화신가네매운떡볶이,신화,"32,780
(0.53)"
치피떡,(주)생활에프앤비,"32,769
(0.53)"
엄청난떡볶이,엄청난떡볶이,"32,700
(0.53)"
최배달 떡순튀,(주)최배달,"32,681
(0.53)"
맵니떡볶이,정푸드,"32,600
(0.53)"
악동떡볶이,신악동푸드,"32,370
(0.52)"
그늘집,㈜바로푸드,"31,950
(0.52)"
홍그리 떡볶이,(주)케이프렌즈,"31,900
(0.52)"
신나불고,우리안,"31,800
(0.51)"
또뽀끼야,또뽀끼야,"31,700
(0.51)"
007떡볶이,랜드유통,"31,350
(0.51)"
치떠끼,(주)우분트,"31,350
(0.51)"
일품해운대봉가떡볶이,(주)봉가코리아,"31,140
(0.50)"
임떡,임떡,"30,830
(0.50)"
우림칼국수,우림푸드,"30,820
(0.50)"
수준이다른몬스터떡볶이,라온우리협동조합,"30,500
(0.49)"
gre P&T,(주)지알이위더스,"30,041
(0.49)"
삼첩분식,씨지에프(주),"29,620
(0.48)"
최가네크레이지떡볶이,최가네토탈푸드,"29,500
(0.48)"
원래는 치킨집을 할려고 했었다,배달더쿡,"29,500
(0.48)"
조코만삼겹떡볶이,조코만본점,"28,765
(0.47)"
알면 통하는 떡볶이,알통떡볶이,"28,400
(0.46)"
또보겠지 떡볶이집,(주)행복만석,"26,000
(0.42)"
배떡,어메이징피플즈(주),"25,700
(0.42)"
우리할매 떡볶이,제이에스컴퍼니,"25,100
(0.41)"
분식제작소,분식제작소,"25,000
(0.40)"
동산만두,(주)동산만두,"24,730
(0.40)"
한살짜리 꼬마김밥,(주)피플푸드,"23,650
(0.38)"
라면데스요,(주)라면데스요,"23,300
(0.38)"
마신떡볶이,마신떡볶이,"23,100
(0.37)"
달려라달봉이떡볶이,디비코리아,"23,100
(0.37)"
찡떡,찡떡에프앤비,"21,800
(0.35)"
찐분식,(주)아이언가이즈,"20,633
(0.33)"
몬스터떡볶이,진진&몬스터,"20,540
(0.33)"
유흥떡볶이,유흥F&B,"19,250
(0.31)"
오늘도꽈배기,오늘도꽈배기,"18,280
(0.30)"
슬기로운 분식생활,아침의부엌,"17,400
(0.28)"
한신우동,한신우동,"17,000
(0.28)"
뚱볶이,뚱볶이,"14,300
(0.23)"
컵하우스,컵하우스,"13,100
(0.21)"
열혈분식,(주)긱스패밀리인터내셔날,"13,000
(0.21)"
빽떡 X 샨티카레,품바푸드,"12,500
(0.20)"
왕돈까스&왕냉면,(주)오래오래푸드,"12,350
(0.20)"
옷잘입는떡볶이,옷잘입는,"11,550
(0.19)"
쫄면당,(주)인화에프엔비,"10,800
(0.17)"
"떡볶이 참 잘하는집, 떡참",(주)기영에프앤비,"10,700
(0.17)"
신떡순신천할매떡볶이,신떡순신천할매떡볶이,"8,850
(0.14)"
올스타떡볶이,올스타떡볶이,"8,800
(0.14)"
벌떡,(주)시현2014,"8,690
(0.14)"
고기복대장떡볶기,고기복대장떡볶기,"7,450
(0.12)"
갱스터 떡볶이,다우에프앤비(주),"6,300
(0.10)"
부루스타,부루스타,"3,300
(0.05)"
쫄만이,(주)에스엘에프앤비,"2,805
(0.05)"
오진당떡볶이,푸드딜라이트,"2,500
(0.04)"
미식가의우동,(주)조인푸드,"0
(0.00)"
