브랜드,상호,창업비용
평균,-,"61,790
(1.00)"
돈페,히노아스카(주),"337,250
(5.46)"
빌라드스파이시,(주)빌라드,"300,400
(4.86)"
미돈미가,(주)해피룸,"209,600
(3.39)"
뽀뚜루까아저씨,(주)뽀뚜루까에프엔비,"200,750
(3.25)"
사담손만두,(주)제이에이치푸드시스템,"190,221
(3.08)"
두끼,(주)다른,"177,436
(2.87)"
효형제돈까스,효브라더스,"172,400
(2.79)"
스쿨푸드,(주)에스에프이노베이션,"167,300
(2.71)"
스쿨푸드,(주)에스에프이노베이션,"167,300
(2.71)"
마뇨떡볶이,마뇨떡볶이,"165,900
(2.68)"
소가담,(주)센치밀리,"165,210
(2.67)"
대손관,(주)대대손손,"154,200
(2.50)"
가온밀면,밤이먹은약수,"152,400
(2.47)"
사이드쇼,㈜사이드쇼,"147,890
(2.39)"
바르다김선생,(주)바르다김선생,"143,270
(2.32)"
김피라(kimpira),(주)솔트앤슈가,"138,200
(2.24)"
미가람팔팔닭떡볶이,(주)미가람,"137,800
(2.23)"
신포우리만두,(유)신포우리식품,"130,091
(2.11)"
명인만두,(주)명인에프엔비,"127,450
(2.06)"
본만두,본푸드,"125,082
(2.02)"
노랑김밥,(주)엘에이치지,"118,600
(1.92)"
평이담백 뼈칼국수,(주)네오플레이트,"114,430
(1.85)"
한국수,알에스코리아,"114,121
(1.85)"
춘하추동,"춘하추동F&C,동진여관","113,770
(1.84)"
천하,(주)육칠팔,"112,329
(1.82)"
탄탄면공방,(주)에이티컴퍼니,"110,200
(1.78)"
기용,(주)기용,"110,050
(1.78)"
이공국시,이공비빔국수왕돈까스,"109,150
(1.77)"
남도분식,(주)오버플로우,"108,100
(1.75)"
가마솥김밥,(주)도시방앗간,"106,800
(1.73)"
델리칸,포맨컴퍼니,"103,460
(1.67)"
김싱싱밥고슬,(주)에땅,"103,450
(1.67)"
올빼미남산왕돈까스,(주)부엉이에프엔비,"102,460
(1.66)"
용우동,(주)용마을,"101,800
(1.65)"
미월당,(주)고반에프앤비,"101,800
(1.65)"
부송국수,부송푸드,"100,800
(1.63)"
바로그집,하나유통,"99,900
(1.62)"
JB FAMILY DELIVERY3(제이비패밀리딜리버리3),제이비패밀리F&B,"99,000
(1.60)"
왕비돈까스,(주)제이비패밀리,"99,000
(1.60)"
맥아더떡볶이,(주)제이비패밀리,"99,000
(1.60)"
노랑분식,(주)제이비패밀리,"99,000
(1.60)"
홍마떡,(주)홍마떡푸드,"98,819
(1.60)"
오하루,(주)하나에프씨,"98,200
(1.59)"
교동우동&김밥,(주)미단푸드,"98,000
(1.59)"
청년다방,(주)한경기획,"97,750
(1.58)"
덕자네방앗간,(주)덕자네방앗간,"96,900
(1.57)"
김밥일번지,(주)금환식품,"96,765
(1.57)"
삼청동궁물떡볶이,(주)삼청동에프앤씨,"95,800
(1.55)"
죠스떡볶이,(주)죠스푸드,"95,690
(1.55)"
오정은A김밥,(주)오정은,"94,710
(1.53)"
무공돈까스,(주)오름에프씨,"94,490
(1.53)"
라이스쉐프,(주)이쉐프코리아,"94,306
(1.53)"
릴라돈가스,릴라식품,"93,750
(1.52)"
고속우동,(주)더본코리아,"93,455
(1.51)"
두레마을우동집,두레푸드시스템,"91,500
(1.48)"
뚱보아저씨 돈가스,뚱보아저씨,"90,000
(1.46)"
보영만두,(주)보영,"89,800
(1.45)"
떡볶이몽테이너,유앤아이컴퍼니,"89,450
(1.45)"
홍미단,(주)크레이지컴퍼니,"89,350
(1.45)"
유자유김치떡볶이,유자유김치떡볶이,"87,150
(1.41)"
미정국수0410,(주)더본코리아,"87,068
(1.41)"
삐사감김밥,삐사감김밥앤러브스테이크(주),"85,800
(1.39)"
송송당,(주)마마스푸드,"85,710
(1.39)"
리김밥,(주)바인인터내셔날,"85,690
(1.39)"
부산어묵,비에프씨F&D,"85,500
(1.38)"
오모리칼국수,(주)오모리,"85,000
(1.38)"
역전우동0410,(주)더본코리아,"84,743
(1.37)"
오별난멸치국수,(주)누들앤푸드,"84,400
(1.37)"
면앤면 추억의 가락국수,(주)갑원에프에스,"83,800
(1.36)"
정동뚝배기,(주)갑원에프에스,"83,800
(1.36)"
마마롤,(주)케이앤디이노베이션,"83,600
(1.35)"
마포만두,(주)다우림푸드,"83,540
(1.35)"
부산명가밀면,부산명가밀면,"83,500
(1.35)"
아딸,(주)아딸,"83,400
(1.35)"
홍대마녀,(주)훌랄라,"83,100
(1.34)"
라밥,(유)에스피에프앤비,"83,100
(1.34)"
수유리우동집,(주)물과소금,"82,500
(1.34)"
미미당,(주)미미에프앤비,"81,950
(1.33)"
김밥의진수,(주)카모메호스피탈리티그룹,"81,650
(1.32)"
마성떡볶이,(주)마성떡볶이,"81,300
(1.32)"
이웃집소녀떡볶이,이웃집소녀쉐프,"80,950
(1.31)"
불땡국수,(주)착한푸드,"80,680
(1.31)"
바푸리,(주)비피알,"80,170
(1.30)"
별에서온떡볶이,비범한녀석들,"80,000
(1.29)"
