브랜드,상호,창업비용
조선짬뽕,(유)케이앤에스오로지,"92,637
(0.84)"
몽짬뽕,(주)에이제이타운,"92,500
(0.84)"
미래식부,(주)미래글로벌코리아,"91,400
(0.83)"
동방불패,(주)브라보이노베이션,"91,110
(0.83)"
팔미엔,팔미엔,"90,800
(0.83)"
탕화쿵푸마라탕,한국탕화쿵푸(주),"90,000
(0.82)"
손오공마라탕,(주)손오공마라탕,"87,800
(0.80)"
피슈 마라홍탕,(주)피슈애프앤씨,"85,700
(0.78)"
허바허바,허바허바,"84,500
(0.77)"
짬뽕10101,(주)고구려푸드,"84,400
(0.77)"
마라내음,길컴퍼니,"81,200
(0.74)"
홍주방,레드립F&B,"79,800
(0.73)"
라화쿵부,회풍식품(주),"79,250
(0.72)"
짬뽕타운,푸얼담식품,"78,900
(0.72)"
장가게 튀김료리집,(주)대한비앤에프,"76,800
(0.70)"
쪽짜장짬뽕,미추홀중식협동조합,"75,600
(0.69)"
마라당,마라당,"73,950
(0.67)"
구구향훠궈,㈜항방,"73,600
(0.67)"
도쿄짬뽕0820,더제이푸드,"73,200
(0.67)"
항방양육관,(주)항방,"73,050
(0.67)"
등초마라탕,(주)등초식품,"69,100
(0.63)"
중화장터,위딜리,"68,900
(0.63)"
신룽푸마라탕,(주)티알제이에프앤비,"68,630
(0.63)"
완뽕,완뽕,"67,450
(0.62)"
장인반점,장인,"67,000
(0.61)"
서울마라,서울마라,"66,350
(0.61)"
짬뽕갑,짬뽕갑,"65,250
(0.60)"
마시내탕수육짜장,(주)마시내,"64,250
(0.59)"
제레미20(Jeremie20),(주)제레미에프엔비,"64,215
(0.59)"
홍짜장,(주)한밭에프앤지,"63,450
(0.58)"
라쿵푸마라탕,(주)마양푸드,"62,300
(0.57)"
홍콩만찬,(주)한국에프에스,"61,900
(0.56)"
하오츠 마라탕,마라탕,"59,400
(0.54)"
사해방탕수육,사해방푸드,"59,400
(0.54)"
쏘핫 마라탕 마라샹궈,쏘투더핫,"55,000
(0.50)"
짬뽕빡쓰,모란푸드,"53,600
(0.49)"
궁짜이,(주)초계명가,"52,600
(0.48)"
마라루,마라루,"52,250
(0.48)"
저스트마라관,도건푸드시스템,"51,860
(0.47)"
놈X4탕수육,티푸드(T푸드),"50,950
(0.46)"
최쉐프의동파육,쉐프의연구소,"48,400
(0.44)"
텐미탕수육,쉐프의연구소,"48,400
(0.44)"
찰스탕수육,쉐프의연구소,"48,400
(0.44)"
마라하오,(주)훠궈하오,"42,600
(0.39)"
정쉐프탕수육&치킨,정쉐프탕수육&치킨,"41,215
(0.38)"
홍탕,(주)홍탕,"39,600
(0.36)"
마라공방,에이치와이코리아(주),"34,700
(0.32)"
탕수육본능,(주)놀부,"33,557
(0.31)"
천리향마라오리,천리향마라오리,"31,800
(0.29)"
엄맛탕,고수의비법,"28,060
(0.26)"
탕수육주는육군짬뽕,위고푸드,"22,625
(0.21)"
바른푸드,바른푸드,"22,550
(0.21)"
바른푸드,바른푸드,"22,550
(0.21)"
라니마라탕,라니푸드,"21,900
(0.20)"
꿔바로우주는 마라탕,라니마라탕,"19,700
(0.18)"
라홍방 마라탕,(주)라홍에프엔비,"10,800
(0.10)"
천상마라탕,천상유통,"4,400
(0.04)"
