브랜드,상호,창업비용
해우리,㈜해우리홀딩스,"191,300
(0.62)"
수라섬,(주)비본코리아,"189,470
(0.61)"
생생4계절,(주)채선당,"189,170
(0.61)"
LA에서 훔친 갈비,(주)오모가리컴퍼니,"189,120
(0.61)"
엉터리생고기,(주)엉터리,"188,700
(0.61)"
반반식당,(주)아라에프엔비,"188,700
(0.61)"
삼백집,(주)휴림,"188,450
(0.61)"
밥하기싫은날 후루룩손칼국수,밥하기싫은날,"188,100
(0.61)"
달인박경규항아리보쌈,항아리보쌈,"187,994
(0.61)"
한올면옥,한올식품(주),"187,550
(0.61)"
백년손님서서갈비,하나에프앤비,"187,000
(0.60)"
묵소,가득찬푸드,"186,900
(0.60)"
우렁두메골,(주)세신데코,"185,400
(0.60)"
오마이양대창,(주)행복한구이세상,"185,180
(0.60)"
호박식당,(주)호박패밀리,"184,690
(0.60)"
푸지막,(주)제이푸드에프씨,"184,610
(0.60)"
소래버섯나라,(주)소래버섯,"183,370
(0.59)"
맛찬들왕소금구이,(주)맛찬들,"182,500
(0.59)"
어신코뎅이,어신코뎅이,"181,000
(0.58)"
내가찜한닭,(주)마이푸드,"180,700
(0.58)"
원조의령소바,(주)의령소바,"180,500
(0.58)"
끝돈,(주)에프씨봉대박,"180,370
(0.58)"
돼지나라,돼지꿈,"179,000
(0.58)"
육장장이,착한맘굿쉐프,"179,000
(0.58)"
미스터쭝,미스터쭝,"178,910
(0.58)"
돕 감자탕전문점,(주)돕,"178,120
(0.57)"
빚은,(주)에스피씨삼립,"177,250
(0.57)"
통큰낙지,남산에프앤씨,"176,000
(0.57)"
반할맛으로 값어치하는 소고깃집,(주)끼니,"176,000
(0.57)"
미스터낙지,미스터낙지,"175,500
(0.57)"
족발꾼,꾼컴퍼니,"175,250
(0.57)"
한상바오와갈비,(주)한상바오,"175,104
(0.57)"
댓짱돈까스,(주)댓짱돈까스,"175,060
(0.56)"
해남김치식당,피플스컴퍼니,"174,700
(0.56)"
망향비빔국수,블루밀,"174,300
(0.56)"
귀품찬,(주)본앤쿡코리아,"173,300
(0.56)"
축제갈비,(주)마루벌,"173,100
(0.56)"
오복미역,(주)오복푸드,"172,750
(0.56)"
파육장,(주)용마을,"172,500
(0.56)"
물고기,원영미트,"172,400
(0.56)"
풍요갈비왕국,통큰오리착한삼겹,"172,323
(0.56)"
마장동김씨,씨컴퍼니,"172,200
(0.56)"
마장동김씨,씨컴퍼니,"172,200
(0.56)"
후원,(주)이랜드이츠,"171,600
(0.55)"
누리마을감자탕,(주)영일유통,"171,300
(0.55)"
쿡감,(주)쿡감,"171,170
(0.55)"
명륜진사갈비,(주)명륜당,"170,940
(0.55)"
수생목,수생목푸드,"170,200
(0.55)"
온누리장작구이,(주)온누리푸드시스템,"169,890
(0.55)"
동곡꽃게장,동곡꽃게장,"169,630
(0.55)"
진원 소우,진원소우,"169,500
(0.55)"
