브랜드,상호,창업비용
평균,-,"108,600
(1.00)"
버거킹(Burger King),(주)비케이알,"551,840
(5.08)"
데어리퀸(Dairy Queen),(주)푸드앤트리트,"519,643
(4.78)"
세인트그릴(SAINT GRILL),(주)골든하인드,"499,500
(4.60)"
케이에프씨(KFC),(주)케이에프씨코리아,"496,555
(4.57)"
피제리아 나인로드,(주)씨엠월드에프앤씨,"494,500
(4.55)"
롯데리아,롯데지알에스(주),"387,956
(3.57)"
브릭버거,(주)씨에프,"292,100
(2.69)"
노브랜드 버거(No Brand Burger),(주)신세계푸드,"237,800
(2.19)"
자니로켓,(주)신세계푸드,"227,195
(2.09)"
파파이스,(주)티에스푸드앤시스템,"212,820
(1.96)"
퀴즈노스서브,(주)유썸,"163,349
(1.50)"
모스버거(MOSBURGER),(주)모스버거코리아,"161,900
(1.49)"
퀸즈블랙,(주)퀸즈블랙강남본점,"145,910
(1.34)"
맘스터치,해마로푸드서비스(주),"139,369
(1.28)"
유에프오(UFO),(주)역시,"139,300
(1.28)"
더제이케이 키친박스,(주)더제이케이푸드스토리,"128,180
(1.18)"
버거요(BURGER YO),(주)대경글로벌,"124,220
(1.14)"
마미쿡,(주)훌랄라,"118,600
(1.09)"
에그셀런트,(주)다이닝팩토리,"117,950
(1.09)"
알리바바버거,알리바바파트너스(주),"117,500
(1.08)"
와이쿠페,㈜비프로젝트,"116,500
(1.07)"
잇투고,(주)에스피씨삼립,"114,200
(1.05)"
바람의핫도그,(주)바람에프앤비,"107,500
(0.99)"
죠샌드위치앤커피,(주)제이에스앤씨,"104,000
(0.96)"
뉴욕버거,(주)수혁,"102,204
(0.94)"
루이스버거,(주)쉐프코리아,"100,100
(0.92)"
미스앤미스터포테이토,(주)도연에프엔씨,"94,950
(0.87)"
힘난다버거,(주)힘난다,"93,100
(0.86)"
스테프핫도그,(주)스테프코리아,"92,917
(0.86)"
도니버거,(주)비비앤,"91,650
(0.84)"
밸런스버거,밸런스버거,"87,500
(0.81)"
조슈아버거팩토리(Joshua Burger Factory),(주)티엠홀딩스,"86,200
(0.79)"
목동버거,(주)알볼로에프앤씨,"82,800
(0.76)"
뉴욕핫도그&버그,(주)웰푸드,"82,420
(0.76)"
88시장버거,(주)88에프엔비,"80,300
(0.74)"
프랭크버거,(주)비피알,"75,900
(0.70)"
버거타운(BURGERTOWN),버거타운(Burgertown),"75,800
(0.70)"
루안바오,(주)씨티씨푸드,"74,900
(0.69)"
바겟버거(BAGUETTE BURGER),(주)해냄,"74,130
(0.68)"
잇츠에그,잇츠에그,"73,860
(0.68)"
브로스버거(BRO'S BURGER),홍대브로스버거,"73,200
(0.67)"
밀플랜비,(주)웨이브,"72,300
(0.67)"
메이젠,(주)메이젠,"71,600
(0.66)"
닛닛버거,농부의마음,"70,100
(0.65)"
델리랩 (Delilab),"델리랩,여우넷","69,900
(0.64)"
뉴욕핫도그앤커피,(주)뉴욕핫도그앤커피,"68,780
(0.63)"
토스트까페 이순신,(주)이순신,"68,285
(0.63)"
홀로스타일(hollostyle),(주)비갠하늘,"66,300
(0.61)"
홀로스타일(hollostyle),(주)비갠하늘,"66,300
(0.61)"
버거307,버거307,"66,250
(0.61)"
이삭 위드,(주)이삭,"64,015
(0.59)"
인기가요,(주)인기가요,"62,500
(0.58)"
지정환피자,(주)정담에프에스,"62,000
(0.57)"
에그앤벡,(주)참인포텍,"61,650
(0.57)"
스탠딩토스트,(주)마마스푸드,"61,510
(0.57)"
SSOJA(쏘자),(주)에스앤비푸드,"61,200
(0.56)"
쑤와리질러,(주)영원푸드,"57,150
(0.53)"
핫도그브라더스,더브라더스,"55,800
(0.51)"
멜팅그릴,(주)제이제이에프앤비,"55,146
(0.51)"
존스버거,좋은사람들,"54,700
(0.50)"
벅스리아,벅스리아푸드시스템,"52,800
(0.49)"
궤도에오르다,궤도에오르다,"52,000
(0.48)"
미스터톡톡(Mr TokTok),(주)두손커머스,"51,100
(0.47)"
너랑나랑핫도그,너랑나랑핫도그,"50,300
(0.46)"
토스피아,(주)푸드넷시스템,"48,970
(0.45)"
에그오리진,(주)코리아케이푸드,"48,437
(0.45)"
낭만,(주)낭만팩토리,"48,200
(0.44)"
666 BURGER,666버거치킨과바람피자,"46,800
(0.43)"
햇버거,맛있는연구소,"46,640
(0.43)"
