브랜드,상호,창업비용
꿉자(KOOPJA),꿉자(KOOPJA),"45,100
(0.42)"
아야푸드,(주)아야푸드,"44,770
(0.41)"
석봉토스트,(주)석봉토스트,"44,200
(0.41)"
비스트로피자,(주)글로비,"43,570
(0.40)"
원투에그,(주)조앤박,"42,200
(0.39)"
아띠몽,(주)솔푸드,"41,040
(0.38)"
핵도그,(주)핵가족,"40,050
(0.37)"
피치버'S,우리푸드시스템,"38,200
(0.35)"
쉐이크포테이토,(주)도남에프앤에프,"38,180
(0.35)"
코끼리가반한핫도그,티에고(주),"36,800
(0.34)"
바른생활샌드위치,(주)제이제이푸드시스템,"34,610
(0.32)"
웰덤치킨,(주)푸디노에프앤디,"34,550
(0.32)"
비엔나핫도그,(주)제이스타임,"34,100
(0.31)"
점순이핫도그앤호떡,점순이핫도그,"31,300
(0.29)"
호봉토스트,(주)호봉푸드시스템,"25,750
(0.24)"
팔팔핫도그,(주)프로젝트비,"25,700
(0.24)"
마녀돈앤파스타,마녀식탁,"20,600
(0.19)"
오마이핸즈,(주)비어프랜드,"6,500
(0.06)"
평균,-,"55,720
(1.00)"
길성이치킨,(주)길성이,"198,120
(3.56)"
꾼닭(koondak),(주)일이축산푸드,"183,500
(3.29)"
꼭그닭치킨,(주)꼭그닭,"179,950
(3.23)"
치맥킹,(주)씨엠케이푸드,"161,200
(2.89)"
허대구 대구통닭,(주)디티에프앤비,"160,183
(2.87)"
코리앗치킨,(주)디딤,"150,335
(2.70)"
조커닭 (Jokerdark),(주)코코브릿지,"149,300
(2.68)"
다사랑,(주)다사랑,"142,800
(2.56)"
참숯불에꾸운닭,참숯으로꾸운닭,"137,855
(2.47)"
오븐에 꾸운 닭,계림F&C,"137,200
(2.46)"
만수통닭,(주)만수에프앤비,"135,600
(2.43)"
치킨처럼,(주)엠에스코리아,"133,900
(2.40)"
부산통닭,SJ원푸드시스템,"132,680
(2.38)"
디떽,(주)엣눅에프티에스,"126,800
(2.28)"
야들리애,(주)제이케이글로벌,"124,220
(2.23)"
밤새우는 닭,(주)맛있는회사,"122,350
(2.20)"
펀비어킹,(주)해리코리아,"122,250
(2.19)"
강정천하,(주)엘에이치지,"118,600
(2.13)"
홍안동,(주)훌랄라,"117,400
(2.11)"
치르치르,리치푸드(주),"115,740
(2.08)"
도담치킨,(주)아지트메이커,"114,400
(2.05)"
치킨더비,(주)치킨더비,"113,650
(2.04)"
치킨678,(주)육칠팔,"110,779
(1.99)"
봉구통닭,보고싶다(주),"110,336
(1.98)"
툭툭 치킨,원앤원(주),"110,030
(1.97)"
마녀치킨,(주)조광식품,"109,494
(1.97)"
94번가,(주)디토코리아,"109,450
(1.96)"
바비후,(주)내일,"109,400
(1.96)"
행복치킨,(주)행복드림,"109,250
(1.96)"
훌랄라숯불치킨,(주)훌랄라,"108,150
(1.94)"
깐부치킨,(주)깐부,"108,000
(1.94)"
마마치킨,(주)엠제이에프앤씨,"107,350
(1.93)"
교촌치킨,교촌에프앤비(주),"106,684
(1.91)"
천수통닭,(주)빅스타푸드,"106,640
(1.91)"
오븐에빠진닭,(주)에땅,"106,590
(1.91)"
양계농장,조이세이(주),"105,040
(1.89)"
치킨퐁,(주)비어프랜드,"103,462
(1.86)"
또이스치킨찜닭,DH유통,"102,400
(1.84)"
충만치킨,(주)충만,"99,850
(1.79)"
뭐꼬뭐꼬,뭐꼬뭐꼬플러스,"99,350
(1.78)"
삼덕통닭,(주)삼덕통닭,"99,075
(1.78)"
큐스,큐스,"98,800
(1.77)"
60계,(주)장스푸드,"97,700
(1.75)"
치킨커플,(주)비엘앤에프,"97,700
(1.75)"
효도치킨,네오아티잔치킨(주),"95,200
(1.71)"
치킨매니아,(주)코리아델로스케이디,"93,840
(1.68)"
꿈을요리하다닭한끼,꿈을요리하다닭한끼,"93,610
(1.68)"
일일치킨(11CHICKEN),(주)브랜드그라운드,"93,600
(1.68)"
김종용누룽지통닭,(주)유앤아이레시피,"93,550
(1.68)"
신이내린닭,(주)라산그룹,"93,500
(1.68)"
아웃닭,(주)테즈,"93,350
(1.68)"
계림원누릉지통닭구이,(주)동천에프앤비,"93,050
(1.67)"
구어바 숮불BBQ 치킨,(주)브랜드그라운드,"91,400
(1.64)"
달&달치킨,달&달치킨,"91,100
(1.63)"
비비큐(BBQ),(주)제너시스비비큐,"90,789
(1.63)"
존슨켄터키,(주)비브라더스,"90,550
(1.63)"
엔칙스치킨,(주)지오에프엔비,"90,000
(1.62)"
군닭400&국수,성공인터내셔널(주),"89,900
(1.61)"
브라보치킨피자,(주)브라보이노베이션,"89,460
(1.61)"
온니닭,온니닭,"88,800
(1.59)"
대한맥주집,대한컴퍼니,"88,000
(1.58)"
이귀환의 진짜한마리통닭,이귀환진짜한마리통닭,"87,800
(1.58)"
꼬레랑,(주)맛나푸드,"87,450
(1.57)"
치킨버스,(주)푸드버스,"86,600
(1.55)"
치킨버스,(주)푸드버스,"86,600
(1.55)"
태권치킨,(주)티케이푸드,"86,250
(1.55)"
쌀쌀맞은닭,(주)바름,"85,840
(1.54)"
숯불에닭,탄계명가,"85,820
(1.54)"
본스치킨,(주)비에이지본스,"85,205
(1.53)"
굽네치킨,(주)지앤푸드,"85,145
(1.53)"
호호닭발,(주)제이앤엠푸드,"84,600
(1.52)"
김진철동래통닭,(주)태진에프앤디,"84,380
(1.51)"
파핑스치킨,(주)태진에프앤디,"84,380
(1.51)"
칠칠켄터키,(주)무진,"83,300
(1.49)"
칠칠켄터키,(주)더쉐프,"83,300
(1.49)"
라라치킨,(주)현우현,"81,650
(1.47)"
다코기,DAKOGI(다코기),"81,320
(1.46)"
추억닭발,추억닭발(본점),"80,650
(1.45)"
안심치킨,(주)안심푸드,"80,320
(1.44)"
불로불러참숯바베큐치킨,불로불러체인본부,"80,200
(1.44)"
비에이치씨(BHC),(주)비에이치씨,"80,130
(1.44)"
계복치,단아한푸드,"79,880
(1.43)"
요치킨,(주)웰빙을만드는사람들,"79,671
(1.43)"
요치킨,(주)웰빙을만드는사람들,"79,671
(1.43)"
픽스치킨(PICKS CHICKEN),픽스치킨(pickschicken),"79,420
(1.43)"
고향통닭,고향통닭,"79,340
(1.42)"
1987금빛통닭,(주)금빛컴퍼니,"78,890
(1.42)"
치키니아,(주)호경에프씨,"78,600
(1.41)"
모던통닭,(주)모던키친컴퍼니,"77,680
(1.39)"
코만도,(주)보배식품,"77,550
(1.39)"
김스타치킨,김스타푸드,"77,350
(1.39)"
무봤나 촌닭,(주)무촌식품,"77,010
(1.38)"
삼통치킨,(주)삼통치킨,"76,800
(1.38)"
보드람 치킨,(주)보드람씨앤알,"75,900
(1.36)"
바비큐보스,조이세이(주),"75,840
(1.36)"
내가 조선의 치킨이고 맥주다,(주)조맥에프앤비,"75,250
(1.35)"
꾸꾸치킨,부강유통,"75,100
(1.35)"
치킨투어237,(주)도연에프앤비,"74,600
(1.34)"
울통치킨,더블유(W)-푸드,"74,600
(1.34)"
맛데이,(주)엘에이치지,"74,500
(1.34)"
더기발한치킨(The기발한치킨),(주)더기발한,"74,300
(1.33)"
한앤둘치킨,(주)더콥,"74,160
(1.33)"
바푸리치킨,(주)비피알,"73,700
(1.32)"
푸드더하기,푸드더하기,"73,400
(1.32)"
햇살치킨,(주)햇살,"73,150
(1.31)"
더블플레이치킨,더블플레이치킨,"72,400
(1.30)"
명동닭튀김,명동닭튀김,"72,346
(1.30)"
치킨뱅이,(주)원우푸드,"72,180
(1.30)"
빛고을닭강정,더빛고을푸드,"72,100
(1.29)"
달감치킨,세아씨앤푸드,"71,750
(1.29)"
홍단,세아씨앤푸드,"71,750
(1.29)"
의춘숯불닭갈비,의춘숯불닭갈비,"71,730
(1.29)"
닭장수후라이드和,(주)주완푸드,"71,500
(1.28)"
코리안바베큐,(주)티비비씨,"71,000
(1.27)"
국민맥주,(주)쭈노에프앤비,"70,850
(1.27)"
바보스,조이세이(주),"70,840
(1.27)"
로스트 보스트 치킨(로보치킨),보스트치킨(boast),"70,750
(1.27)"
치킨살롱,(주)에버리치에프앤비,"70,470
(1.26)"
박군치킨,농업회사법인(주)도도푸드,"70,200
(1.26)"
케이칸치킨,케이칸치킨,"69,950
(1.26)"
놀부옛날통닭,(주)놀부,"69,934
(1.26)"
치킨퐁237,(주)비어프랜드,"69,777
(1.25)"
철인7호,(주)철인에프앤비,"69,650
(1.25)"
알리바바치킨,알리바바파트너스(주),"69,550
(1.25)"
누나홀닭,(주)티앤비코리아,"69,311
(1.24)"
고려통닭,(주)엘에이치지,"69,000
(1.24)"
수준이 다른 치킨,오복가,"68,800
(1.23)"
전국3대치킨 오성통닭,오복가,"68,800
(1.23)"
호박치킨,(주)가업에프씨,"68,450
(1.23)"
몽키스비어,설원식품,"68,210
(1.22)"
손장금닭발,SMS푸드,"68,100
(1.22)"
동수네통닭,칠이칠이치킨,"67,980
(1.22)"
닭광정,(주)한국인,"67,900
(1.22)"
매드후라이치킨,(주)에스씨에프,"67,760
(1.22)"
111치킨,(주)여유와즐거움,"67,650
(1.21)"
서개미치킨,개미치킨,"67,550
(1.21)"
불로만치킨바베큐,(주)불로만,"67,550
(1.21)"
윙글,(주)에스와이네트웍스,"67,450
(1.21)"
꿀닭,조이세이(주),"67,350
(1.21)"
사바사바치킨앤비어,(주)마세다린,"67,300
(1.21)"
명랑한찜닭,그레이프컴퍼니(주),"66,350
(1.19)"
맛닭꼬,(주)꼬꼬에프앤비,"65,850
(1.18)"
꽃꼬댁,키친씨,"65,800
(1.18)"
둘둘치킨,(주)일동인터내쇼날,"65,800
(1.18)"
감탄계숯불치킨,원앤원(주),"65,465
(1.17)"
79치킨,(주)에이치에스푸드,"65,250
(1.17)"
잉치킨,사재,"65,100
(1.17)"
장군닭발,장군닭발,"64,700
(1.16)"
범벅치킨,(주)마리푸드,"64,700
(1.16)"
구어스,(주)델리핸즈,"64,500
(1.16)"
더후라이팬 후라이드 치킨,아이에스크리에이티브,"64,350
(1.15)"
오천사치킨,부강유통,"64,100
(1.15)"
돈치킨,(주)한울,"63,800
(1.15)"
두리아,(주)두리아,"63,490
(1.14)"
치킨뱅3.0,(주)가업에프씨,"62,930
(1.13)"
오!유니통닭,(주)오경,"62,885
(1.13)"
육회한통닭,더블케이컴퍼니,"62,720
(1.13)"
아리아치킨,(주)현인에프앤디,"62,700
(1.13)"
땅땅치킨,(주)프랜푸드,"62,500
(1.12)"
강적,(주)강적에프앤비,"62,300
(1.12)"
사나운치킨,(주)귀남,"62,150
(1.12)"
하이꼬꼬,(주)귀남,"62,150
(1.12)"
쌀통닭,(주)퐁텐,"62,000
(1.11)"
인절미통닭,(주)한국에프에스,"61,900
(1.11)"
치킨방앗간,(주)김가네,"61,600
(1.11)"
정직한통닭,닭대표,"60,575
(1.09)"
구이쟁이꾼,(주)코리아델로스KD,"60,510
(1.09)"
거성치킨,(주)이수푸드빌,"60,300
(1.08)"
오늘통닭,(주)대현푸드빌,"60,200
(1.08)"
킹마니,와이엘에프앤비,"60,000
(1.08)"
청춘명랑치킨,(주)그루터기,"59,938
(1.08)"
갓모어치킨,지엠푸드,"59,650
(1.07)"
양계장집아들,(주)양계장집아들,"59,230
(1.06)"
무궁치킨(MUGUNG CHICKEN),트루프렌드,"59,200
(1.06)"
브라운치킨,(주)비지씨푸드,"59,180
(1.06)"
오커치킨,푸드삼성,"59,080
(1.06)"
푸라닭,(주)아이더스코리아,"58,740
(1.05)"
푸라닭,(주)아이더스코리아,"58,740
(1.05)"
푸라닭,(주)아이더스코리아,"58,740
(1.05)"
푸라닭,(주)아이더스코리아,"58,740
(1.05)"
오후엔치킨,태현에프씨(주),"58,180
(1.04)"
맛카오치킨,그레이프컴퍼니(주),"58,155
(1.04)"
꿀삐닭강정,(주)에스엔인더스트리,"58,100
(1.04)"
소담치킨,(주)정성푸드마스타,"58,100
(1.04)"
무쇠강정,(주)비어프랜드,"58,040
(1.04)"
로타리치킨상회,(주)생활에프앤비,"57,980
(1.04)"
리킨치킨,세음에프앤비,"57,650
(1.03)"
순구치떡,순구,"57,500
(1.03)"
낭만장작,낭만장작누룽지통닭구이,"57,430
(1.03)"
투존치킨,(주)나도람에프씨,"57,290
(1.03)"
네네치킨,(주)혜인식품,"57,150
(1.03)"
치킨연구소,치킨연구소,"57,100
(1.02)"
본가옛날통닭,본가옛날통닭,"57,000
(1.02)"
지코바양념치킨,(주)지코바,"57,000
(1.02)"
동근이숯불두마리치킨,동근이숯불두마리치킨,"56,920
(1.02)"
호치킨,(주)다울에프앤비,"56,608
(1.02)"
호치킨,(주)다울에프앤비,"56,608
(1.02)"
꾸꾸루꾸바베큐,유진물산,"56,088
(1.01)"
치윙스,(주)대경축산,"56,000
(1.01)"
꼬꼬뽀끼,꼬꼬뽀끼,"55,800
(1.00)"
에덴치킨,에덴치킨,"55,800
(1.00)"
용범이네 노상통닭,(주)김승용에프에스,"55,598
(1.00)"
BRD백록담,BRD백록담,"55,350
(0.99)"
대한치킨집,대한컴퍼니,"55,300
(0.99)"
삼십구치킨,39치킨본부,"55,044
(0.99)"
아이러브피자&치킨,㈜더난푸드,"55,000
(0.99)"
치순이통닭,엘제이유통(유),"55,000
(0.99)"
신화불닭발,(주)신화림스,"54,900
(0.99)"
희치킨,희치킨,"54,800
(0.98)"
치킨욜로,치킨욜로(F.D.T.L),"54,800
(0.98)"
똥꼬치킨,(주)에이치와이지푸드,"54,780
(0.98)"
가마꿉,(주)그남자네식품,"53,900
(0.97)"
더착한치킨,더(the)착한,"53,600
(0.96)"
국대후라이드치킨,(주)지구당,"53,509
(0.96)"
노랑통닭,(주)노랑푸드,"53,300
(0.96)"
치킨이남달라,(주)더기발한,"53,260
(0.96)"
꿀마니 닭강정,(주)진성푸드,"53,250
(0.96)"
지랄닭발,(주)더기푸드,"52,800
(0.95)"
치끌림치킨,앗싸푸드,"52,680
(0.95)"
후라이드의 정석,후라이드의정석,"52,600
(0.94)"
아리아리닭강정,(주)세원,"52,500
(0.94)"
치킨히어로,티오엘드림,"52,200
(0.94)"
꼬꼬시티앤제이빅,꼬꼬시티앤제이빅,"52,130
(0.94)"
숯양두마리치킨,다온푸드,"52,050
(0.93)"
치칵치칵,씨케이푸드,"51,930
(0.93)"
중앙시장통닭,세아씨엔푸드,"51,750
(0.93)"
오븐마루,(주)오엠푸드,"51,700
(0.93)"
뿔난닭두마리,뿔난닭체인본부,"51,600
(0.93)"
가마솥옛날시골통닭,옛날시골통닭,"51,600
(0.93)"
치킨과학기술대,(주)디투에프엔비,"51,482
(0.92)"
치특,치특,"51,050
(0.92)"
만년닭강정,(주)만년푸드,"51,050
(0.92)"
한스맘숯불치킨,한스맘숯불치킨,"51,000
(0.92)"
림스치킨,림스상사,"51,000
(0.92)"
전설의치킨,(주)시원전설의푸드,"50,950
(0.91)"
맹스숯불치킨,맹스숯불치킨&포차,"50,950
(0.91)"
솥뚜껑바베큐통닭,(주)시원전설의푸드,"50,950
(0.91)"
핫 게이트 99치킨,(주)영성에프앤비,"50,950
(0.91)"
치킨의민족,(주)아이센스푸드,"50,900
(0.91)"
미친닭,미친닭,"50,776
(0.91)"
가마통,가마통,"50,500
(0.91)"
신동키닭,(주)돈키오태,"50,400
(0.90)"
내맘에두닭,우리푸드시스템,"50,300
(0.90)"
깜닭치킨,깜닭치킨,"50,000
(0.90)"
토닭토닭양념치킨,대흥유통,"49,970
(0.90)"
치킨선수,(주)치킨선수,"49,950
(0.90)"
화통치킨,(주)제이케이푸드,"49,850
(0.89)"
김군네통닭집,(주)폴스타컴퍼니,"49,840
(0.89)"
치킨시대,(주)시대푸드,"49,750
(0.89)"
더후라이팬치킨클럽,아이에스크리에이티브,"49,698
(0.89)"
별별치킨,농업회사법인(주)별난사람들,"49,500
(0.89)"
치킨주막,(주)치킨주막,"49,500
(0.89)"
더치킨(THE치킨),더치킨(THE치킨),"49,450
(0.89)"
바른치킨,(주)이루에프씨,"49,400
(0.89)"
땡큐맘치킨,(주)이루에프씨,"49,400
(0.89)"
신진통닭,(주)신진푸드,"49,380
(0.89)"
부여통닭,(주)에카,"48,960
(0.88)"
이춘봉인생치킨,(주)마스터아이디,"48,730
(0.87)"
투마리나,(주)삼정코리아,"48,300
(0.87)"
앗싸마늘닭,앗싸푸드,"48,200
(0.87)"
홍대찜닭,홍대찜닭,"48,200
(0.87)"
참나무장작구이고영닭,고영닭,"48,190
(0.86)"
제주동우통닭,동우F&C,"48,135
(0.86)"
범프리카인생치킨,범프리카인생치킨,"47,900
(0.86)"
투가이즈(TWO GUYS),투가이즈,"47,630
(0.85)"
김삿갓통닭,(주)공감,"47,550
(0.85)"
김성구의성마늘치킨,김성구의성마늘치킨,"47,500
(0.85)"
용달통닭,용달푸드,"47,100
(0.85)"
독가마 숯불치킨,나라푸드서비스,"47,100
(0.85)"
원흥닭발통닭,원흥닭발통닭,"46,900
(0.84)"
DK Chicken (디케이치킨),디케이팩토리(DKFACTORY),"46,500
(0.83)"
맛있게매운(빨석구)빨간석쇠구이,장인푸드,"46,450
(0.83)"
낭만치킨,(주)로맨틱에프엔비,"46,390
(0.83)"
청년이닭,청년이닭가맹사업본부,"46,200
(0.83)"
용천통닭,용천통닭,"46,200
(0.83)"
더페퍼 치킨식당,㈜대경축산,"46,100
(0.83)"
냠냠숯불두마리치킨,금화푸드.냠냠숯불두마리치킨,"46,100
(0.83)"
815독립핫치킨,강한프랜차이즈(KHFC),"45,950
(0.82)"
농부치킨,(주)참이맛,"45,900
(0.82)"
못말리는파닭,(주)엠엔글로벌,"45,900
(0.82)"
우아한치킨,외식하는사람들(주),"45,780
(0.82)"
쏘닭,(주)더블유앤제이홀딩스,"45,670
(0.82)"
DDC치킨,삼미유통,"45,665
(0.82)"
치킨사냥,치킨사냥푸드,"45,550
(0.82)"
치&강,케이앤씨푸드,"44,830
(0.80)"
노상치킨,(주)실버축산,"44,800
(0.80)"
더블치킨,(주)채선당,"44,625
(0.80)"
그시절옛날통닭,남선씨엔델리,"44,570
(0.80)"
사쿠사쿠,(주)계미락,"44,490
(0.80)"
장모님치킨,장모육계유통,"44,340
(0.80)"
하우스홀드,푸드피아,"44,300
(0.80)"
문진옥숯불바베큐치킨,문진옥숯불바베큐치킨,"44,250
(0.79)"
김순례 닭강정,(주)인푸드,"44,200
(0.79)"
치킨이즈백,(주)하연푸드,"44,050
(0.79)"
조선의 옛날통닭,제이에프앤씨,"44,030
(0.79)"
다가치통닭,(주)다가치,"43,950
(0.79)"
마슬랜,마슬랜,"43,700
(0.78)"
안성파닭,코리아종합식품(주),"43,700
(0.78)"
컬투치킨,(주)컬투에프앤비,"43,570
(0.78)"
따블,(주)다른,"43,406
(0.78)"
본초불닭발,(주)미래원에프앤씨,"43,350
(0.78)"
치킨과 바람피자,치킨과바람피자,"43,120
(0.77)"
와치킨,(주)엘제이푸드,"43,120
(0.77)"
국제통닭,(주)국제에프씨,"43,065
(0.77)"
꼬꼬STORY(꼬꼬스토리),꼬꼬스토리,"42,900
(0.77)"
파리에다녀온치킨,워라벨코퍼레이션,"42,900
(0.77)"
참맛치킨 꿀맛닭강정,(주)참맛푸드,"42,900
(0.77)"
비어(beer)365,(주)비어,"42,900
(0.77)"
킹스타치킨,(주)스타푸드코리아,"42,800
(0.77)"
치몬치킨,(유)행복한형제들,"42,630
(0.77)"
피니치니,(주)그린푸드존,"42,350
(0.76)"
오닭꼬치,(주)오닭꼬치,"42,295
(0.76)"
꼬꼬아찌,(주)세경에프앤비,"42,110
(0.76)"
심여사천북양념통닭,심여사푸드,"42,000
(0.75)"
둘마니치킨,엠앤에이치에프씨,"41,800
(0.75)"
모듬촌닭,지연유통,"41,600
(0.75)"
인생닭강정,달달한인생,"41,590
(0.75)"
빅원치킨,(주)빅원,"41,535
(0.75)"
달봉이치킨,㈜달봉엔터프라이즈,"41,500
(0.74)"
자담치킨,(주)웰빙푸드,"41,250
(0.74)"
치킨신드롬,(주)오앤씨웰푸드,"41,150
(0.74)"
국민마늘치킨,국민마늘치킨본부,"41,150
(0.74)"
치킨특별시,(주)아앤유디벨롭,"41,150
(0.74)"
깜꼬치킨,위더스FC,"41,100
(0.74)"
치풍당당,(주)투케이푸드,"40,700
(0.73)"
치킨89(치킨팔구),(주)우분트,"40,650
(0.73)"
내마음은 파닥파닭,(주)푸드스토리,"40,600
(0.73)"
닭강정총각,이심전심(주),"40,400
(0.73)"
오리지널 팔칠(87')닭강정,팔칠(87')닭강정,"40,150
(0.72)"
치뽁(CHIPPOK),(주)제이투케이에프앤비,"40,105
(0.72)"
치썸chicken(치썸치킨),금화식품(주),"40,060
(0.72)"
오늘도후라이드,올림엔터프라이즈(OLIMENTERPRISE),"40,000
(0.72)"
보람치킨,올림엔터프라이즈(OLIMENTERPRISE),"40,000
(0.72)"
치킨런,(주)티에스컴퍼니,"39,800
(0.71)"
신통치킨,(주)올치에프씨,"39,700
(0.71)"
반반이두통찜닭,반반이F&B(에프앤비),"39,500
(0.71)"
러브미텐더동네치킨,(주)동네사람들,"39,400
(0.71)"
파리에 다녀온 치킨,늘품에프앤씨,"39,400
(0.71)"
고신통닭,(주)어나더푸드컬쳐,"39,383
(0.71)"
진미대왕통닭,대왕통닭,"39,300
(0.71)"
씨에프숯불바베큐치킨,(주)씨에프,"39,050
(0.70)"
쭈노치킨가게,(주)쭈노에프앤비,"38,850
(0.70)"
닭강정공방,닭강정공방본점,"38,850
(0.70)"
지붕위에,지원푸드,"38,850
(0.70)"
디디치킨(DD치킨),(주)디디에프엔비,"38,550
(0.69)"
치킨의발자국,(주)승승기업,"38,450
(0.69)"
닭갈비클라쓰,(주)필드키친,"38,200
(0.69)"
상상치킨,(주)명진푸드,"38,100
(0.68)"
Mr.짱닭치킨,내맘대로골라먹는맛있는짱닭치킨,"38,015
(0.68)"
치킨선생,치킨선생,"37,640
(0.68)"
더썬치킨,(주)더썬컴퍼니,"37,525
(0.67)"
두마리치킨마당,마당엘푸드,"37,370
(0.67)"
치킨人류,(주)비에스비푸드,"37,300
(0.67)"
금동이두마리치킨,금동이푸드,"37,100
(0.67)"
해두리치킨,(주)지와이푸드,"37,000
(0.66)"
세븐치킨,굿웰푸드(세븐치킨),"36,850
(0.66)"
꿀딱,(주)케이원푸드,"36,770
(0.66)"
투마리치킨,(주)미나푸드,"36,695
(0.66)"
만땅치킨,(주)서호에프앤비,"36,650
(0.66)"
오태식해바라기치킨,(주)서호에프앤비,"36,650
(0.66)"
필바든치킨,필푸드,"36,600
(0.66)"
마파치킨,(주)한국창업경제연구소,"36,300
(0.65)"
백년가마솥옛날통닭,현성식품(주),"36,300
(0.65)"
올바른 닭강정,(주)대경축산,"36,200
(0.65)"
가마로강정,(주)마세다린,"36,100
(0.65)"
아이벗치킨,아이프랜드,"36,100
(0.65)"
달닭,(주)참여텍,"35,860
(0.64)"
엠에프씨 멕시칸치킨(MFC 멕시칸치킨),나루에프엔비(나루F&B),"35,800
(0.64)"
836숯불바베큐치킨,팔삼육산업(주),"35,660
(0.64)"
치교치킨,(주)아이언가이즈,"35,633
(0.64)"
오마이치킨,(주)이수푸드빌,"35,550
(0.64)"
치킨리그,㈜이노텍씨엔에스홀딩스,"35,550
(0.64)"
추닭집,패밀리에프앤씨,"35,540
(0.64)"
원봉치킨,신선J.J,"35,500
(0.64)"
치킨연맹,한정푸드,"35,200
(0.63)"
통닭왕,콕에프씨,"35,150
(0.63)"
치킨176℃,제이스퀘어푸드,"35,100
(0.63)"
