브랜드,상호,창업비용
평균,-,"127,546
(1.00)"
키친랩,(주)유즈코퍼레이션,"583,000
(4.57)"
루스트플레이스,㈜메이크어베러(Makeabetter),"492,800
(3.86)"
아인방,(주)새모양에프앤비,"439,000
(3.44)"
CRAZY(크레이지),(주)씨비아이,"396,200
(3.11)"
어나더키친,(주)어나더해피,"389,500
(3.05)"
컨트리맨즈,(주)촌놈인터내셔널,"368,640
(2.89)"
이태리국시 (Italy guksi),셰프공간컴퍼니(주),"329,100
(2.58)"
브라우니70,(주)브라우니웍스,"286,200
(2.24)"
마녀주방,(주)디에프코리아,"275,700
(2.16)"
바네스,바네스코리아(주),"264,700
(2.08)"
맨인더키친(MAN IN THE KITCHEN),(주)다오이앤씨,"256,900
(2.01)"
보나베띠,(주)보나베띠,"255,565
(2.00)"
보나베띠,(주)꼬레뱅,"255,565
(2.00)"
오말리,㈜다우리미티드,"254,900
(2.00)"
화양가옥,(주)바론에프앤씨,"251,350
(1.97)"
피오르달리조,피오르달리조,"238,500
(1.87)"
보노프,미소육화푸드시스템,"228,500
(1.79)"
셰프런(Chef Run),(주)네이버후드,"224,400
(1.76)"
클램(CLAM),(주)씨에프씨(CFC),"221,780
(1.74)"
서가앤쿡,(주)에스앤에스컴퍼니,"221,600
(1.74)"
조인쉐프뉴욕,(주)승승장구,"220,910
(1.73)"
2046팬스테이크,(주)2046팬스테이크,"219,710
(1.72)"
롱브레드,(주)파인푸드컴퍼니,"217,730
(1.71)"
리또르,(주)이밥스,"216,400
(1.70)"
커피만달레이,해운대선셋(주),"214,500
(1.68)"
홍익돈까스,(주)홍익,"199,470
(1.56)"
닐리스(Nilli's),(주)라파미코,"195,740
(1.53)"
more.TT,끼니컴퍼니,"195,250
(1.53)"
인생돈가스,인생돈가스,"195,100
(1.53)"
쏘렌토,(주)쏘렌토푸드,"194,700
(1.53)"
올리앤(Ollien),(주)올앤컴퍼니,"194,400
(1.52)"
잇샐러드,㈜태그린,"193,200
(1.51)"
써니네집(ssunine jib),써니네집본점,"190,900
(1.50)"
뉴욕브레드,(주)어나더해피,"190,000
(1.49)"
더몰트하우스,(주)더몰트하우스컴퍼니,"189,750
(1.49)"
미즈컨테이너,(주)에스앤에스코퍼레이션,"187,100
(1.47)"
일마레카페앤파스타,(주)일마레카페앤파스타,"172,150
(1.35)"
한끼맛있다,(주)쉐프마인드,"167,200
(1.31)"
샤이바나,(주)태그린,"163,600
(1.28)"
젓가락 스테이크 굽다,농업회사법인젓가락스테이크굽다(주),"162,500
(1.27)"
안디아모티볼리 (Andiamo Tivoli),티볼리파스타푸드,"160,100
(1.26)"
파티오42,(주)테그글로벌,"158,200
(1.24)"
김씨화덕,김씨에프엔비(F&B),"157,000
(1.23)"
후쿠오카함바그,푸드리퍼블릭코리아(유),"150,500
(1.18)"
본따볼라 BONTAVOLA,(주)꼬레뱅,"148,000
(1.16)"
SAVOEY(사보에),냉맥집,"143,900
(1.13)"
헌터스문,(주)농협목우촌,"143,100
(1.12)"
헤비스테이크,㈜헤비스테이크,"141,900
(1.11)"
봉대박스파게티,(주)에프씨봉대박,"141,650
(1.11)"
피맥당,피맥당,"139,500
(1.09)"
그레야마더지,그레야마더지,"138,630
(1.09)"
그레야파더지,그레야마더지,"138,630
(1.09)"
스푼스토리,(주)숟가락이야기,"138,600
(1.09)"
오 이탈리안,오이탈리안,"136,100
(1.07)"
슈퍼막셰,마테호른,"135,900
(1.07)"
플라잉볼,(주)플라잉테이블,"134,250
(1.05)"
리틀파스타,(주)쉐프코리아,"133,900
(1.05)"
수페부엌,(주)수페컴퍼니,"133,450
(1.05)"
라이너스바베큐딜리버리,(주)라이너스즈바베큐,"130,000
(1.02)"
미쿡식당,푸드리퍼블릭코리아(유),"129,960
(1.02)"
선식당,(주)선식당,"129,800
(1.02)"
브럭시,(주)볼드4,"129,700
(1.02)"
롤링파스타,(주)더본코리아,"125,010
(0.98)"
코지하우스,(주)스토리에프씨,"124,900
(0.98)"
카페아모제,아모제푸드(주),"120,975
(0.95)"
더그릴썬,(주)엘에이치지,"118,600
(0.93)"
포케포커,㈜태그린,"117,200
(0.92)"
비츠비츠,(주)하나에프씨,"116,100
(0.91)"
양목장 1274-2,㈜램스웨이푸드서비스,"115,805
(0.91)"
뜨돈(DD'DON),(주)나무에프엠디,"115,200
(0.90)"
디들리밥,디들리밥(순천국가정원점),"115,110
(0.90)"
고메돈까스,(주)고메푸드,"112,200
(0.88)"
엘마노,(주)엘마노,"109,550
(0.86)"
에그베리11(eggberry11),(주)이루라퍼시픽,"107,750
(0.84)"
엘마노한끼,(주)엘마노,"106,200
(0.83)"
빠레뜨한남,(주)이트렌디,"105,950
(0.83)"
스파게티스토리까르보네,(주)인토외식산업,"104,740
(0.82)"
스떼이끄300g,(주)푸디아,"104,684
(0.82)"
비밀더비스트로(BMEAL THE BISTRO),(주)푸드홀릭스,"104,500
(0.82)"
뮤토랍스타,(주)뮤토트레이딩,"102,770
(0.81)"
리미니,(주)이랜드이츠,"101,800
(0.80)"
닐리,(주)엔아이에프앤씨,"101,700
(0.80)"
미트볼라운지,(주)더에이그룹,"101,650
(0.80)"
낭만장사꾼,낭만장사꾼,"99,000
(0.78)"
파스타부오노바,원푸드,"98,500
(0.77)"
줄리브,(주)줄리앤줄리아,"98,500
(0.77)"
바삭마차,바삭마차,"97,600
(0.77)"
빈체로,(주)에스씨케이,"94,900
(0.74)"
다락마을프리미엄(Darak Maeul Premium),(주)다락마을,"94,850
(0.74)"
세븐스테이크,(주)프렌즈리,"92,450
(0.72)"
코브라피자&파스타(cobra pizza&pasta),"(주)블랙드래곤푸드빌(BLACKDRAGONFOODVILLE,Inc.)","91,650
(0.72)"
미태리,(주)트루팜,"91,152
(0.71)"
아날로그키친,(주)더에이그룹,"90,650
(0.71)"
미트락,넥스터(주)(NEXTERCORP),"89,900
(0.70)"
버텍스(VERTEX),버텍스,"89,800
(0.70)"
깔보냐,(주)티앤엠디,"89,500
(0.70)"
훗스테이크,디티푸드,"88,800
(0.70)"
돈까스 BROS,브로스에프앤비,"87,150
(0.68)"
그 : 숲,수풀림컴퍼니,"86,900
(0.68)"
이태리식당,이태리식당,"86,400
(0.68)"
더블글라스(DOUBLE GLASS),(주)와이엔알,"86,400
(0.68)"
정든밤,(주)삼덕로드,"85,800
(0.67)"
모모스테이크,(주)시작,"79,000
(0.62)"
코레아경양식,상도알앤디(R&D),"77,250
(0.61)"
리얼파스타,리얼파스타,"75,950
(0.60)"
정씨함박,정씨함박에프앤비,"75,900
(0.60)"
동성로매콩돈까스와 냉면,동성로매콩돈까스와냉면,"75,480
(0.59)"
오내모,오늘내일모레,"73,480
(0.58)"
샐러왓치,그레야마더지,"71,915
(0.56)"
필리스테이크,(주)필리스테이크,"70,360
(0.55)"
윙스버거,(주)찹찹푸드,"68,540
(0.54)"
파스타라굿찌,그레야마더지,"67,615
(0.53)"
괴짜쉐프 파스타,(주)긱스에프앤비,"66,550
(0.52)"
바로쿡스파게티스토리,(주)바로쿡닷컴,"65,800
(0.52)"
바로쿡스파게티스토리,(주)바로쿡닷컴,"65,800
(0.52)"
행복이있는그곳돈까스식당,더셰프코리아,"65,030
(0.51)"
반미리,반미리(BanhmiLee),"62,400
(0.49)"
왓츠피데,(주)왓츠피데,"62,152
(0.49)"
온정생돈까스,온정돈까스,"61,960
(0.49)"
삐사감러브스테이크,삐사감김밥앤러브스테이크(주),"61,600
(0.48)"
쑝쑝돈까스,(주)에스에스피씨(SSPC),"60,069
(0.47)"
은하별,은하별,"58,650
(0.46)"
파스타몽,(주)쉐프마인드,"58,300
(0.46)"
이딸리아나,(주)이딸리아나에프엔비,"57,660
(0.45)"
시로이돈까스,알이100코리아(주),"57,200
(0.45)"
까스맨,더푸드코리아,"55,030
(0.43)"
따숩,따숩,"54,250
(0.43)"
스테이크플러스(THE STEAK PLUS),세양F&B,"53,810
(0.42)"
착한파스타,㈜착한에프앤비,"53,350
(0.42)"
스탠딩스테이크,(주)푸디아,"53,270
(0.42)"
쉬림진,쉬림진,"53,150
(0.42)"
놀라운 오부리또,놀라운오부리또,"52,800
(0.41)"
헝그리브라더스,규니스컴퍼니,"51,610
(0.40)"
떡꼬기&스테이크제트,(주)고홈푸드,"50,840
(0.40)"
스파게티스토리,(주)스토리푸드,"50,620
(0.40)"
파스토보이(pastoboy),(주)우주소년,"50,070
(0.39)"
스테이크존,쉐프의연구소,"48,400
(0.38)"
돈카츠마켙,돈카츠마켙,"48,100
(0.38)"
이태리벤또,로드다이닝(주),"44,625
(0.35)"
퐁당카츠,(주)이엔에프컴퍼니,"44,000
(0.34)"
딜스테이크,(주)이엔에프컴퍼니,"43,900
(0.34)"
너도나도파스타,㈜태그린,"43,450
(0.34)"
이땔리면옥,(주)프라이데이컴퍼니,"41,710
(0.33)"
