브랜드,상호,창업비용
쉐프아이가,쉐프아이가,"41,200
(0.32)"
파스타라이더스,더청년,"38,850
(0.30)"
스푼필라프,(주)다다코퍼레이션,"38,500
(0.30)"
셰프리푸드트럭,(주)프렌즈리,"36,680
(0.29)"
웰돈까츠,백's코리아,"34,100
(0.27)"
돈샐,돈샐F&B,"34,000
(0.27)"
돈까스본능,(주)놀부,"33,557
(0.26)"
이태리면가게,(주)맛있는도전,"33,000
(0.26)"
요녀석,(주)아라에프엔비,"33,000
(0.26)"
착한파스타,착한파스타,"29,500
(0.23)"
아키바돈카츠With카레,굿라이스(GoodRice),"27,700
(0.22)"
돈갓,(주)참쉬운푸드솔루션,"25,000
(0.20)"
멕시칸라이브그릴,딜리버키친,"13,780
(0.11)"
파치비,이심전심(주),"11,800
(0.09)"
파스타입니다,웨스턴하우스,"10,800
(0.08)"
