브랜드,상호,창업비용
평균,-,"99,619
(1.00)"
너티차일드,(주)디앤지컴퍼니본,"1,554,900
(15.61)"
무스쿠스(MUSCUS),(주)리향인터내셔널,"1,310,550
(13.16)"
바이킹스,(주)바이킹그룹,"689,350
(6.92)"
원웨이,(주)바이킹그룹,"615,950
(6.18)"
풀잎채,(주)풀잎채,"588,689
(5.91)"
바르미샤브샤브n칼국수,(주)즐거운세상,"581,600
(5.84)"
종로상회,(주)씨엠씨에프씨,"523,500
(5.26)"
훠궈야,(주)굿맨프리미어파트너스,"523,360
(5.25)"
마루샤브,마루앤F/D,"415,200
(4.17)"
사리원,(주)사리원,"400,750
(4.02)"
948키친(948Kitchen),(주)948에프엔비,"400,600
(4.02)"
심민속촌,에코푸드(주),"395,100
(3.97)"
우텐더,(주)우텐더코리아,"384,100
(3.86)"
전원숯불,전원숯불갈비,"372,000
(3.73)"
테이트모던,(주)원앙에프앤비,"370,750
(3.72)"
스푼더스트릿,(주)오리지날스푼,"363,100
(3.64)"
착한전복,(주)두둑한행복,"351,500
(3.53)"
로니로티,(주)엘케이푸드글로벌,"329,150
(3.30)"
스푼더마켓,(주)오리지날스푼,"327,600
(3.29)"
쭈꾸미킹,(주)엠제이오,"321,400
(3.23)"
겟201(GET201),NC에프앤비(F&B),"306,900
(3.08)"
황금소,(주)한창이앤피,"306,600
(3.08)"
코코샤브,(주)오리엔탈푸드코리아,"304,800
(3.06)"
공룡고기,(주)다이노에프에스,"297,450
(2.99)"
오스푼,(주)오리지날스푼,"296,470
(2.98)"
눈꽃대패,눈꽃푸드,"287,200
(2.88)"
본구이,(주)본앤푸드코리아,"285,800
(2.87)"
몽뜨레셰프 인더키친 패밀리 레스토랑,(주)제이앤피몽뜨레,"285,400
(2.86)"
아자부,(주)에스와이인터네셔날,"282,000
(2.83)"
감성대패,감성대패,"281,300
(2.82)"
복어잡는사람들,에스제이푸드시스템,"274,000
(2.75)"
정든낙지,정든푸드,"270,300
(2.71)"
아라쭈꾸미,(주)중원에프씨,"269,225
(2.70)"
에쎄레젤라또,(주)에쎄레,"266,830
(2.68)"
팬아시아(Pan Asia),(주)팬아시아다인힐,"262,970
(2.64)"
연타발,(주)행복한구이세상,"254,125
(2.55)"
후쿠오카모츠나베,푸드리퍼블릭(주),"253,500
(2.54)"
