브랜드,상호,창업비용
일등카레,카레식당이토야암사동본점,"85,500
(0.75)"
마마돈,굿펠라스(goodfellas),"84,950
(0.75)"
하코야,(주)엘에프푸드,"84,720
(0.74)"
훈쿡,훈쿡,"84,200
(0.74)"
우성돈까스,우성F&D,"83,500
(0.73)"
긴꼬리초밥,케어푸드,"83,410
(0.73)"
이치류.양심,(주)양우돈,"82,550
(0.72)"
25카츠,(주)델리치랩,"82,300
(0.72)"
DON돈까츠,DON돈까츠,"81,900
(0.72)"
마요네즈 (mayonnaise),팀보트FC,"81,750
(0.72)"
노군식당,(주)리앤브라더스컴퍼니,"81,650
(0.72)"
미뜨보루,굿펠라스(goodfellas),"81,200
(0.71)"
겐로쿠우동,겐로쿠우동,"80,900
(0.71)"
유리카모메,(주)광장,"80,330
(0.70)"
고레카레,(주)고레코리아,"80,000
(0.70)"
소노야,(주)공영식품,"79,800
(0.70)"
폴인카츠,㈜폴인에프앤씨,"79,500
(0.70)"
고레가참치,인우코,"79,300
(0.70)"
다카라함바그,(주)다카라푸드,"79,000
(0.69)"
새벽회,(주)탑에프앤비,"78,150
(0.69)"
수제돈까스 금파,(주)요리비,"78,100
(0.69)"
이케멘 돈카츠,나미공작소,"78,010
(0.68)"
이바네돈까스,(주)산내들코리아,"77,800
(0.68)"
가마카레,(주)아트푸드,"77,800
(0.68)"
히메노라멘,(주)잘만든,"77,525
(0.68)"
나베야,나베야돈까스,"77,000
(0.68)"
유부남,(주)청년부름,"76,885
(0.67)"
마마도마,굿펠라스(goodfellas),"76,800
(0.67)"
멘무샤조이,(주)오리엔탈푸드코리아,"76,755
(0.67)"
소미돈까스,소미돈까스,"76,250
(0.67)"
멘야유메미르,1830피자협동조합,"76,030
(0.67)"
고쿠텐,(주)진에프앤비,"76,000
(0.67)"
돈카춘,푸드케미,"75,700
(0.66)"
히노아지,(주)젠푸드,"75,600
(0.66)"
고칸,(주)대건에프앤비,"75,580
(0.66)"
호키네 유부,(주)이음글로비즈,"75,400
(0.66)"
고우,(주)사무라이글로벌,"74,810
(0.66)"
이자카야 게다(げた),운치상회,"74,500
(0.65)"
텐동요츠야,텐동요츠야,"73,500
(0.64)"
가츠몽,(주)가츠몽,"73,500
(0.64)"
행복한초밥 행초,행복한사람들,"73,500
(0.64)"
오이시라멘,오이시라멘,"73,290
(0.64)"
코소코소,흥인푸드,"73,000
(0.64)"
25센치,이오에프씨(주),"71,500
(0.63)"
카모메,(주)카모메호스피탈리티그룹,"71,300
(0.63)"
원카츠,더블유컴퍼니,"70,200
(0.62)"
무라,(주)무라,"69,100
(0.61)"
수코미치,수기획,"69,000
(0.61)"
겐코,(주)겐코에프엔비,"68,450
(0.60)"
긴자료코,긴자료코상수점,"68,100
(0.60)"
치라시스시,(주)본푸드시스템,"67,500
(0.59)"
야한식당,야한식당,"67,150
(0.59)"
카네마야(kanemaya),쿠산코리아(주),"66,800
(0.59)"
돈bro,돈bro,"66,800
(0.59)"
스타동,스타동패밀리,"66,550
(0.58)"
야미가,(주)제이더블유푸드코리아,"66,240
(0.58)"
주인의주방,(주)트리플에이컴퍼니,"65,150
(0.57)"
본까쓰델리카페,(주)본푸드시스템,"65,000
(0.57)"
본까쓰미니스탠드,(주)본푸드시스템,"65,000
(0.57)"
스시카츠,스시카츠,"64,950
(0.57)"
만푸쿠,만푸쿠,"64,700
(0.57)"
모바소바,모밀방,"63,390
(0.56)"
테루,(주)이랜드이츠,"63,319
(0.56)"
켄비멘리키,(주)라보아테나,"61,700
(0.54)"
멘야마쯔리,멘야마쯔리(주),"61,400
(0.54)"
히야꾸,히야꾸,"61,380
(0.54)"
홈팝참치,(주)동심컴퍼니,"60,500
(0.53)"
아찌라멘,아찌라멘,"60,200
(0.53)"
불당시장,불당시장,"59,870
(0.53)"
돈까스파티,(주)에버리치에프앤비,"59,470
(0.52)"
심야라멘트럭,심야라멘트럭,"59,431
(0.52)"
유미카츠,(주)호윤크리에이티브,"59,100
(0.52)"
회락,회락,"57,800
(0.51)"
어부 김호권의 청년어부,(주)청년에프앤씨,"57,470
(0.50)"
혼다라멘,(주)리오컴퍼니,"56,350
(0.49)"
쿠벤(KU·BEN),(주)아이딜홈,"54,900
(0.48)"
야간얼큰우동,(주)다다컴퍼니,"54,362
(0.48)"
마싰는끼니,(주)최고식품카페아라,"53,900
(0.47)"
라멘천하,(주)중앙에스앤씨,"53,820
(0.47)"
열도분식,모두푸드시스템,"53,761
(0.47)"
동명 카츠,(주)던케이투에스,"53,315
(0.47)"
심야오뎅,(주)골든스트릿,"52,390
(0.46)"
마카나이,(주)더준푸드원,"51,700
(0.45)"
지구당,(주)지구당,"50,225
(0.44)"
미친돈까스,미친사람들,"49,850
(0.44)"
도쿄라멘,(주)초심에프앤씨,"49,630
(0.44)"
면뽑는라멘,쉐프의연구소,"48,400
(0.42)"
메이쇼우동,(주)율,"47,520
(0.42)"
배터지는생동까스,(주)진진에프씨,"46,100
(0.40)"
쿡플,프런치코리아,"43,851
(0.38)"
어참치,어참치,"43,580
(0.38)"
미카츠가,미가,"41,800
(0.37)"
