브랜드,상호,창업비용
평균,-,"97,559
(1.00)"
유생촌,(주)유생촌푸드,"385,300
(3.95)"
그린하노이,(주)바로에프에스,"289,700
(2.97)"
토마틸로,비컨홀딩스(주),"244,350
(2.50)"
크래프트브루,크래프트브루(CRAFTBREW),"231,800
(2.38)"
카츄마마,(주)케이브릿지,"227,090
(2.33)"
번패티번,(주)엠브이다이닝,"194,510
(1.99)"
게이트나인(GATE9),(주)게이트에프앤비,"189,750
(1.94)"
일공공샤브,(주)일공공코리아,"185,400
(1.90)"
반포식스,(주)테이스티컴퍼니,"185,400
(1.90)"
생어거스틴,(주)늘솜,"184,250
(1.89)"
포베이,(주)포베이,"178,000
(1.82)"
분짜라붐,(주)별동부대,"175,000
(1.79)"
씨에스피 르사이공,(주)씨에스피푸드,"171,870
(1.76)"
띤띤,(주)띤띤,"167,250
(1.71)"
그릴타이,(주)테이스티컴퍼니,"160,100
(1.64)"
존쿡델리미트,㈜존쿡,"158,680
(1.63)"
나이쏘이(NAISOI),(주)제이이글로벌,"154,900
(1.59)"
바나나테이블,바나나립(주),"146,900
(1.51)"
포보스,(주)아시아푸드리퍼블릭,"141,400
(1.45)"
포호아,포호아코리아(주),"139,200
(1.43)"
리틀파파포(Little PAPA Pho),(주)피엠씨에프앤비,"137,500
(1.41)"
하와이새우트럭,(주)하와이팩토리,"136,600
(1.40)"
메콩타이,(주)메콩타이컴퍼니,"135,215
(1.39)"
아시아문,(주)이랜드이츠,"135,124
(1.39)"
코코크랩,(주)오리엔탈푸드코리아,"134,100
(1.37)"
분짜라임,(주)오리엔탈푸드코리아,"134,100
(1.37)"
호아빈,(주)오리엔탈푸드코리아,"132,650
(1.36)"
인더비엣,인더비엣,"126,918
(1.30)"
샌드위밋,(주)존쿡,"126,888
(1.30)"
뎁짜이,(주)엔씨코리아푸드,"126,200
(1.29)"
마법주방,(주)마법주방에프앤비,"125,925
(1.29)"
돈부리 파스타,(주)에디블,"123,200
(1.26)"
월쌈,(주)엘에이치지,"118,600
(1.22)"
포센,(주)엘에이치지,"118,600
(1.22)"
벱비엣(BEPVIET),(주)벱비엣,"109,500
(1.12)"
스테이크어스,(주)이랜드이츠,"108,000
(1.11)"
도스타코스,(주)도스타코스,"105,000
(1.08)"
양육점,(주)서다에프엔씨,"103,870
(1.06)"
미분당,(주)미분당,"100,920
(1.03)"
르번미(Lebunmie),(주)세지푸드,"97,700
(1.00)"
컴포(co'm PHO),컴포,"97,050
(0.99)"
더램(THE램),더램,"94,850
(0.97)"
방콕익스프레스,(주)와이에스에프엔비,"94,650
(0.97)"
Emoi(에머이),(주)에머이,"92,835
(0.95)"
트로이카 (TROIKA),트로이카,"92,750
(0.95)"
마루돈스텍,마루돈스텍,"91,850
(0.94)"
퍼틴(phothin),(주)퍼틴코리아,"88,750
(0.91)"
알로하포케,알로하포케,"87,150
(0.89)"
파쎄오(fahxeo),(주)루아,"85,720
(0.88)"
포세븐,(주)오리엔탈푸드코리아,"85,650
(0.88)"
포케올데이,포케올데이{Pokeallday),"85,300
(0.87)"
철판목장,(주)케이미트선왕,"83,520
(0.86)"
chefdog,(주)디에이치그룹,"83,400
(0.85)"
보스턴 샐러드 하우스,(주)썬플라워네트웍스,"82,950
(0.85)"
애버리진 파이어 핫도그,(주)썬플라워네트웍스,"82,950
(0.85)"
미각양꼬치,(주)미각,"82,200
(0.84)"
엉클인더키친,(주)플랜지,"81,650
(0.84)"
핵밥,㈜핵가족,"80,000
(0.82)"
스몰하노이,지에스에프엔씨,"78,650
(0.81)"
포트리스,(주)포트리스,"76,800
(0.79)"
포로이,(주)포로이,"76,000
(0.78)"
63도카츠,㈜하나컴퍼니,"73,800
(0.76)"
경성양꼬치,(주)천지,"72,300
(0.74)"
싸와디식당,(주)위드런,"71,500
(0.73)"
크레이프라이언,(주)아이푸드팜,"68,790
(0.71)"
도스마스,(주)도스마스,"68,000
(0.70)"
겟커리인타이,그레야마더지,"67,615
(0.69)"
월면가,엠아이비코리아,"67,350
(0.69)"
샐러비 (Salaby),샐러비(Salaby),"67,350
(0.69)"
홍대쌀국수,홍대쌀국수,"66,900
(0.69)"
램플러스,(주)제이에이치,"66,000
(0.68)"
반미 362,(주)케이푸드코리아코퍼레이션,"65,621
(0.67)"
달링스테이크,달링스테이크,"64,606
(0.66)"
하노이포베트남쌀국수,(주)티엘에프앤씨,"64,250
(0.66)"
핵스테이크,(주)핵가족,"63,500
(0.65)"
우마이라무,에이비씨팜(ABCFARM),"62,950
(0.65)"
